Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Alignment	Cognatesets	Source
0	sky	adon1237	Lamaholot-Adonara	Austronesian	Adonara	ˈkɜlɜ	nan	nan	datasets/lmhadmk20150518wordlist.tsv
0	sky	cent2245-hewa	Hewa	Austronesian	Flores	kəleŋ	nan	nan	datasets/hwamk20150514wordlist.tsv
0	sky	lama1278	Lamaholot-Lewoingu	Austronesian	Flores	ˈkəlqŋ	nan	nan	datasets/lmhlimk20150524wordlist.tsv
0	sky	sika1262	Sika	Austronesian	Flores		nan	nan	datasets/skihf2013wordlist.tsv
0	sky	keda1252	Kedang	Austronesian	Lembata	ʔɛ'leŋ	nan	nan	datasets/kedmk20150521wordlistchanges201507.tsv
0	sky	keda1252	Kedang	Austronesian	Lembata	ʔɛ'leŋ	nan	nan	datasets/kedmk20150521wordlist.tsv
0	sky	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	kəˈləm	nan	nan	datasets/lhhf2015clembatakalikasawordlist.tsv
0	sky	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	kəˈləm	nan	nan	datasets/lhhf2015clembatakalikasa2015511wordlist.tsv
0	sky	sout2896-lerek	Lerek Lamaholot	Austronesian	Lembata	ˈkələm ˈleva	nan	nan	datasets/lhhf2016lerek2016222wordlist.tsv
0	sky	alor1247-baran	Alorese-Baranusa	Austronesian	Pantar	'laŋi	nan	nan	datasets/aolbaranusamk2003wordlist.tsv
0	sky	idat1237	Idate	Austronesian	Timor	la'lehɑn	nan	nan	datasets/idtmk2002wordlistidate.tsv
0	sky	kema1243	Kemak	Austronesian	Timor	'baʔe'mɔ:	nan	nan	datasets/kemmk2002wordlist.tsv
0	sky	laka1255	Lakalei 	Austronesian	Timor	la'lɛhɑn	nan	nan	datasets/lkamk2002wordlist.tsv
0	sky	mamb1306	Mambai	Austronesian	Timor	'lɛl'lau	nan	nan	datasets/mgmmk2002wordlist.tsv
0	sky	tetu1246	Tetun Dili 	Austronesian	Timor	la'lehɑn	nan	nan	datasets/tdttetundilimk2002wordlist.tsv
0	sky	tetu1245-suai	Tetun Terik-Suai 	Austronesian	Timor	lalɛhaŋ	nan	nan	datasets/tdttetunteriksuaimk20160105wordlist.tsv
0	sky	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	Timor	lalɛhaŋ	nan	nan	datasets/tdtterikviquequemk20160105wordlist.tsv
0	sky	tuku1254	Tokodede	Austronesian	Timor	'ʔɑi 'mɔʔɔ	nan	nan	datasets/tkdmk2002wordlist.tsv
0	sky	atim1239	Abui-Atimelang	Timor-Alor-Pantar	Alor	ahalingtama	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	atim1239	Abui-Atimelang	Timor-Alor-Pantar	Alor	ahalingtama	nan	nan	datasets/abzatimelangas2010wordlist.tsv
0	sky	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	Alor	adi	nan	nan	datasets/abzfuimelangas2010wordlist.tsv
0	sky	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	Alor	adi	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	abui1241-petle	Abui-Petleng	Timor-Alor-Pantar	Alor	a.di( )	nan	nan	datasets/abzpetlenggs201505wordlist.tsv
0	sky	abui1241-petle-o	Abui-Petleng (Orthographic)	Timor-Alor-Pantar	Alor	adi	nan	nan	datasets/abzpetlenggs201505wordlist.tsv
0	sky	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	Alor	ä.'di	nan	nan	datasets/abztakalelanggs201505wordlist.tsv
0	sky	abui1241-takal-o	Abui-Takalelang (Orthographic)	Timor-Alor-Pantar	Alor	adi	nan	nan	datasets/abztakalelanggs201505wordlist.tsv
0	sky	adan1251	Adang-Lawahing	Timor-Alor-Pantar	Alor	la:b	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	hama1240	Hamap-Moru	Timor-Alor-Pantar	Alor	buraŋ	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	Alor	buluŋ	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	Alor	fulɑŋ	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	kira1248	Kiraman	Timor-Alor-Pantar	Alor	oteŋa	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	klon	Klon	Timor-Alor-Pantar	Alor	bulgɛn	nan	nan	datasets/kyohc20151021wordlist.tsv
0	sky	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	Alor	buləgɛn	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	kuii1253	Kui-Moru	Timor-Alor-Pantar	Alor	langin	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	kula1280	Kula	Timor-Alor-Pantar	Alor	apəŋge	nan	nan	datasets/tpghc20151002wordlist.tsv
0	sky	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	Alor	apəŋge(y)a	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	rett1240	Reta	Timor-Alor-Pantar	Alor	buraŋ	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	sawi1256	Sawila	Timor-Alor-Pantar	Alor	ajakani	nan	nan	datasets/swthc20151026wordlist.tsv
0	sky	sawi1256	Sawila	Timor-Alor-Pantar	Alor	ayaakani	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	Pantar	búlaŋ	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	Pantar	bulaŋ	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	blag1240-kulij	Blagar-Kulijahi	Timor-Alor-Pantar	Pantar	bulan	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	Pantar	bulaŋ	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	blag1240-tuntu	Blagar-Tuntuli	Timor-Alor-Pantar	Pantar	buláŋ	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	Pantar	bulang	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	dein1238	Deing	Timor-Alor-Pantar	Pantar	gunnang	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	Pantar	'bulung	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	kaer1234-o	Kaera-Abangiwang (Orthographic)	Timor-Alor-Pantar	Pantar	'buluŋ	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	nede1245	Nedebang	Timor-Alor-Pantar	Pantar	hundus	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	alor1249-sar-adiabang	Sar-Adiabang	Timor-Alor-Pantar	Pantar	bulá	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	alor1249-sar-nule	Sar-Nule	Timor-Alor-Pantar	Pantar	gunaʔ	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	Pantar	bu'lanqul	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	Pantar	gunnang	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	pura1258	Blagar-Pura	Timor-Alor-Pantar	Pura	'buraŋ	nan	nan	datasets/beupuramk20160511wordlist.tsv
0	sky	buna1278	Bunak (Orthographic)	Timor-Alor-Pantar	Timor	nani	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	bunakbobonaro	Bunaq-Bobonaro	Timor-Alor-Pantar	Timor	fa:n	nan	nan	datasets/bfnbobonaromk201601wordlist.tsv
0	sky	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	Timor	'phan	nan	nan	datasets/taplanguagesmay2016.tsv
0	sky	bunaksuai	Bunaq-Suai	Timor-Alor-Pantar	Timor	pha:n	nan	nan	datasets/bfnsuaimk201601wordlist.tsv
0	sky	fata1247	Fataluku	Timor-Alor-Pantar	Timor	nɛl	nan	nan	datasets/ddgmk20160112wordlist.tsv
0	sky	maka1316	Makasae	Timor-Alor-Pantar	Timor	lɔ:	nan	nan	datasets/mkzmk20160112wordlist.tsv
0	sky	wers1238	Wersing	Timor-Alor-Pantar	Timor	ajakɛŋ	nan	nan	datasets/kvwhc20151026wordlist.tsv
0	sky	kola1287	Wersing-Kolana	Timor-Alor-Pantar	Timor	ayakeng	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	adon1237	Lamaholot-Adonara	Austronesian	Adonara	ˈrɜra	nan	nan	datasets/lmhadmk20150518wordlist.tsv
1	sun	cent2245-hewa	Hewa	Austronesian	Flores	ləro	nan	nan	datasets/hwamk20150514wordlist.tsv
1	sun	lama1278	Lamaholot-Lewoingu	Austronesian	Flores	ˈləraː	nan	nan	datasets/lmhlimk20150524wordlist.tsv
1	sun	keda1252	Kedang	Austronesian	Lembata	lɔ'jɔ	nan	nan	datasets/kedmk20150521wordlistchanges201507.tsv
1	sun	keda1252	Kedang	Austronesian	Lembata	lɔ'jɔ	nan	nan	datasets/kedmk20150521wordlist.tsv
1	sun	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	luˈvak	nan	nan	datasets/lhhf2015clembatakalikasawordlist.tsv
1	sun	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	luˈvak	nan	nan	datasets/lhhf2015clembatakalikasa2015511wordlist.tsv
1	sun	sout2896-lerek	Lerek Lamaholot	Austronesian	Lembata	ˈluvak ləˈd͡ʒau	nan	nan	datasets/lhhf2016lerek2016222wordlist.tsv
1	sun	alor1247-baran	Alorese-Baranusa	Austronesian	Pantar	la'ra	nan	nan	datasets/aolbaranusamk2003wordlist.tsv
1	sun	idat1237	Idate	Austronesian	Timor	'lɛlɔ 'mɑtɑn	nan	nan	datasets/idtmk2002wordlistidate.tsv
1	sun	kema1243	Kemak	Austronesian	Timor	'lɛlɔ 'mɑtɑn	nan	nan	datasets/kemmk2002wordlist.tsv
1	sun	laka1255	Lakalei 	Austronesian	Timor	'lɛlɔ 'matɑn	nan	nan	datasets/lkamk2002wordlist.tsv
1	sun	mamb1306	Mambai	Austronesian	Timor	lɛl 'mata	nan	nan	datasets/mgmmk2002wordlist.tsv
1	sun	tetu1246	Tetun Dili 	Austronesian	Timor	'lɔrɔ mɑ'tɑn	nan	nan	datasets/tdttetundilimk2002wordlist.tsv
1	sun	tetu1245-suai	Tetun Terik-Suai 	Austronesian	Timor	loro matan	nan	nan	datasets/tdttetunteriksuaimk20160105wordlist.tsv
1	sun	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	Timor	loro matan	nan	nan	datasets/tdtterikviquequemk20160105wordlist.tsv
1	sun	tuku1254	Tokodede	Austronesian	Timor	'lɛlɔ	nan	nan	datasets/tkdmk2002wordlist.tsv
1	sun	atim1239	Abui-Atimelang	Timor-Alor-Pantar	Alor	wari	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	atim1239	Abui-Atimelang	Timor-Alor-Pantar	Alor	wari	nan	nan	datasets/abzatimelangas2010wordlist.tsv
1	sun	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	Alor	wari	nan	nan	datasets/abzfuimelangas2010wordlist.tsv
1	sun	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	Alor	wari	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	Alor	wär	nan	nan	datasets/abztakalelanggs201505wordlist.tsv
1	sun	abui1241-takal-o	Abui-Takalelang (Orthographic)	Timor-Alor-Pantar	Alor	war	nan	nan	datasets/abztakalelanggs201505wordlist.tsv
1	sun	adan1251	Adang-Lawahing	Timor-Alor-Pantar	Alor	fɛd	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	hama1240	Hamap-Moru	Timor-Alor-Pantar	Alor	fød	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	Alor	wer	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	Alor	uru	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	Alor	wɑtɪ	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	kira1248	Kiraman	Timor-Alor-Pantar	Alor	ber	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	klon	Klon	Timor-Alor-Pantar	Alor	mədi	nan	nan	datasets/kyohc20151021wordlist.tsv
1	sun	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	Alor	mədi	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	kuii1253	Kui-Moru	Timor-Alor-Pantar	Alor	ber	nan	nan	datasets/taplanguagesmay2016.tsv
