ID,Form_ID,Cognateset_ID,Alignment,Source
0,0,6295,b u l - - - u ŋ,LexStat
1,1,6756,w e r - - - -,LexStat
2,2,4545,w u l -,LexStat
3,3,6581,- i b - -,LexStat
4,4,4893,d i l k u,LexStat
5,5,1680,w e r -,LexStat
6,6,4557,l a l a m i -,LexStat
7,7,10795,k u m i,LexStat
8,8,1722,- o t o r i ŋ o l o m i -,LexStat
9,9,9975,d i l e l e,LexStat
10,10,1700,h o l o -,LexStat
11,11,1360,l aː b,LexStat
12,12,10574,s oː m i -,LexStat
13,13,5328,- - - n ui - -,LexStat
14,14,5354,l aː b,LexStat
15,15,7240,h a r i b,LexStat
16,16,4143,m e r e ʔ,LexStat
17,17,2051,- t ij - o k o -,LexStat
18,18,2776,l aː b,LexStat
19,19,5640,m ɔ - l,LexStat
20,20,4670,b i n i,LexStat
21,21,3465,b i n - - - - i - -,LexStat
22,22,10280,b a ŋ - e m e,LexStat
23,23,3973,w aʔa - i,LexStat
24,24,87,p e l iʔi - -,LexStat
25,25,3493,l o w o,LexStat
26,26,6672,w i - -,LexStat
27,27,1568,k oʔo i,LexStat
28,28,1537,t o n k a r,LexStat
29,29,10336,dʒ i ʔ,LexStat
30,30,5988,t a ŋ - - - - -,LexStat
31,31,10340,b o - - b o,LexStat
32,32,2738,- - - b ʊ b uj -,LexStat
33,33,2833,t a - p a h a ʔ,LexStat
34,34,2403,b u t u ʔ,LexStat
35,35,2984,d i l,LexStat
36,36,5669,- dʒ e ʔ,LexStat
37,37,5664,je - - - - ʔ -,LexStat
38,38,1043,oː j,LexStat
39,39,5731,s i w a ŋ,LexStat
40,40,4339,s - p a d a -,LexStat
41,41,383,b a l i ŋ b oʔo b oj,LexStat
42,42,6506,k a b a - -,LexStat
43,43,987,p e h e ʔ,LexStat
44,44,6626,t i b o -,LexStat
45,45,1826,b a l i ŋ,LexStat
46,46,845,k o b o r i ŋ,LexStat
47,47,347,uː l,LexStat
48,48,3911,d u r - -,LexStat
49,49,1436,s i w a ŋ,LexStat
50,50,4464,b l o n i,LexStat
51,51,4833,b a t a ŋ,LexStat
52,52,2493,- - a w a l -,LexStat
53,53,6365,aː b - - b ə n e ʔ o,LexStat
54,54,6365,a w a l b ə n e ʔ o,LexStat
55,55,2501,- - - - - - - - m ɔ l -,LexStat
56,56,4719,p a r a -,LexStat
57,57,1299,w aʔa j,LexStat
58,58,3172,- uj k a w a l,LexStat
59,59,3172,w uj k a w a l,LexStat
60,60,5902,w oi tʲ o -,LexStat
61,61,3117,l uj - u,LexStat
62,62,3607,b a ŋ,LexStat
63,63,10023,oː j,LexStat
64,64,513,oː j,LexStat
65,65,5366,- - l i p,LexStat
66,66,1901,j aʔa - - r,LexStat
67,67,7004,uw a ʔ,LexStat
68,68,5688,- m e - - - n,LexStat
69,69,10059,- - - t i ʔ,LexStat
70,70,494,t i b aʔa i,LexStat
71,71,4046,t i b e h e ʔ,LexStat
72,72,849,- a t - - - - - - - - a ŋ - -,LexStat
73,73,2531,h aː,LexStat
74,74,5395,l oj o ʔ,LexStat
75,75,5706,h a l iʔi - - ŋ,LexStat
76,76,2955,t i p i r i,LexStat
77,77,5998,- o k o w a l -,LexStat
78,78,3705,h aː l a,LexStat
79,79,3712,h aː l a - m e m e,LexStat
80,80,1485,h aː l a m eː - -,LexStat
81,81,5517,h aː l a ʔ,LexStat
82,82,8860,- - - t eʔe - -,LexStat
83,83,8843,- - - - t eʔe - -,LexStat
84,84,649,b u - - - ʔ,LexStat
85,85,655,m o tʃ o ʔ,LexStat
86,86,4152,ʔ o w i - -,LexStat
87,87,1129,n a - s a ŋ,LexStat
88,88,6803,w a l a - - l,LexStat
89,89,1047,b e n k o w -,LexStat
90,90,6882,m o l -,LexStat
91,91,6748,dʒ o - b -,LexStat
92,92,1575,b o t i ʔ,LexStat
93,93,1471,b o t i̥ k a w a l,LexStat
94,94,1376,w a - ʔ - -,LexStat
95,95,3308,o l k ui l,LexStat
96,96,4253,h aʔa i,LexStat
97,97,6732,- n o w,LexStat
98,98,4446,m o t o ŋ b e h e,LexStat
99,99,3245,p u ʔ,LexStat
100,100,456,p e t e - - - - - - ŋ,LexStat
101,101,471,m oʔo - - i,LexStat
102,102,4367,b e ʔ - -,LexStat
103,103,5199,- - t a k e l e,LexStat
104,104,3847,- - - - t o ŋ -,LexStat
105,105,884,t o ŋ b a l,LexStat
106,106,538,- u t u -,LexStat
107,107,538,h u t u -,LexStat
108,108,3550,m aʔa i,LexStat
109,109,4497,- - t ɔ ʔ,LexStat
110,110,5863,t a ŋ - - - - -,LexStat
111,111,2276,- - t a m a r a,LexStat
112,112,827,- - tl - - o p o ʔ,LexStat
113,113,5467,k e n e m e,LexStat
114,114,6769,l a t u t o ŋ - - - -,LexStat
115,115,6769,l a t u t o ŋ s e l e,LexStat
116,116,6899,t e - ŋ - - n ui -,LexStat
117,117,743,u̥ w i - - -,LexStat
118,118,3382,d e m u l u,LexStat
119,119,4177,ʔ o m a t oʔo -,LexStat
120,120,3298,a t oʔo k e n e w e,LexStat
121,121,2224,- a h a ʔ -,LexStat
122,122,4327,o w a ʔ k ʊ r i,LexStat
123,123,6658,- a t - - - oʔo - -,LexStat
124,124,3349,- - l oː ŋ - - -,LexStat
125,125,3335,l o ŋ k ə r iʔi k e n e w e,LexStat
126,126,813,- - o - m u r u -,LexStat
127,127,2246,- t e - ŋ,LexStat
128,128,2024,- a w - - - e l,LexStat
129,129,4953,- - t o m b oj -,LexStat
130,130,4687,t a t a -,LexStat
131,131,1202,h a r a w a h a,LexStat
132,132,4163,- o m i - t a p o r o,LexStat
133,133,6916,t a w e - h e -,LexStat
134,134,6916,t a w e - h e ŋ,LexStat
135,135,9996,t a l e b - -,LexStat
136,136,4797,ʔ o d o - - l o,LexStat
137,137,6144,t a b e l e,LexStat
138,138,331,- a t a ŋ - - - - - -,LexStat
139,139,331,h a t a ŋ - - - - - -,LexStat
140,140,2443,t a t a ŋ p aʔa - - - -,LexStat
141,141,2458,h a t a ŋ k - - u s i ŋ,LexStat
142,142,890,- o t o ʔ -,LexStat
143,143,4765,t ə p u s u - - -,LexStat
144,144,5228,t oː t - - - -,LexStat
145,145,10249,h aː l,LexStat
146,146,6950,t oː t k o w ai,LexStat
147,147,4078,h e ʔ a w a,LexStat
148,148,3428,e k u k a r,LexStat
149,149,3898,h e w u r u,LexStat
150,150,395,t a - m o t o - - -,LexStat
151,151,6261,p i - k u - l -,LexStat
152,152,6472,t e b a h a,LexStat
153,153,5592,k a tʃ - - - - - -,LexStat
154,154,5936,k oː t,LexStat
155,155,7264,p a l a ŋ -,LexStat
156,156,2381,t o w a h a t i t ej oʔo,LexStat
157,157,1449,t e ŋ m aʔa l a,LexStat
158,158,1417,s uj a h a ʔ,LexStat
159,159,5240,- n o - m - n oʔo -,LexStat
160,160,4736,- t o n i - -,LexStat
161,161,1175,k - oi k aʔa i -,LexStat
162,162,4356,l o t i s i n i,LexStat
163,163,10653,k o b o s i n i,LexStat
164,164,3693,n o l o t i,LexStat
165,165,10549,n o k o b o -,LexStat
166,166,4608,n i w - - i,LexStat
167,167,4608,n i w i k oj,LexStat
168,168,2297,n i m i ŋ k oj,LexStat
169,169,5090,n o k oj m o t,LexStat
170,170,10867,n o k oj - - - - - d iʔi,LexStat
171,171,915,ʔ o w o l,LexStat
172,172,6320,n o m i ʔ - a s o w o,LexStat
173,173,4061,w eʔe - - ŋ,LexStat
174,174,5584,- - t oi ɲ,LexStat
175,175,283,b i n a ŋ t a -,LexStat
176,176,1874,b e l,LexStat
177,177,5256,b i - - ʔ,LexStat
178,178,1140,s i - u,LexStat
179,179,5383,d u l - -,LexStat
180,180,4201,t e - k - o -,LexStat
181,181,1232,h o l - m e n e m e,LexStat
182,182,1765,- o l,LexStat
183,183,1765,h o l,LexStat
184,184,2932,dʒ i k uj p aʔa,LexStat
185,185,525,m e r e r e ŋ,LexStat
186,186,6849,ʔ o l p aʔa,LexStat
187,187,2543,h a b - -,LexStat
188,188,6071,a b m o t i,LexStat
189,189,10411,t oː b,LexStat
190,190,1605,b aʔa - - - i,LexStat
191,191,4531,h a l e s e -,LexStat
192,192,10095,dʒ i k u,LexStat
193,193,10114,dʒ i k u,LexStat
194,194,685,s i - u - - - -,LexStat
195,195,10609,a w i t i ŋ,LexStat
196,196,3554,- a m ʊ ʔ u,LexStat
197,197,6397,m o - n -,LexStat
198,198,5977,p a l i -,LexStat
199,199,5977,p a l - dʒ,LexStat
200,200,2125,- - - d o ʔ,LexStat
201,201,2125,s i u d o ʔ,LexStat
202,202,2097,k a r eʔe,LexStat
203,203,1001,p o p oʔo,LexStat
204,204,2709,l e b e ŋ,LexStat
205,205,4588,- - k iʔi n,LexStat
206,206,307,l e ʔ i l i ŋ,LexStat
207,207,3150,s o n o,LexStat
208,208,6529,k e l e l e ŋ b a ŋ b a ŋ,LexStat
209,209,3370,- - - k oi - ɲ,LexStat
210,210,4303,w e r i ŋ,LexStat
211,211,2627,- - - t e m e l e -,LexStat
212,212,4279,w eu,LexStat
213,213,602,- - t ə m eʔe i - - -,LexStat
214,214,668,m o t i ʔ,LexStat
215,215,6344,k - aʔa - i -,LexStat
216,216,5047,l u w u ŋ a n,LexStat
217,217,4878,d e w e w e r,LexStat
218,218,5005,t e m - aʔa w,LexStat
219,219,10811,k o w o l - - o,LexStat
220,220,10821,l a w a t a,LexStat
221,221,4010,m - - a r ai ɲ,LexStat
222,222,4023,o w a k a r iʔi ŋ,LexStat
223,223,3571,w e r b u n i - - -,LexStat
224,224,1384,m aʔa - - b -,LexStat
225,225,3011,n oʔo - -,LexStat
226,226,431,- - j a - h a ʔ,LexStat
227,227,2974,- u t u l u,LexStat
228,228,2185,d o k o h o,LexStat
229,229,10385,b r eʔe,LexStat
230,230,1963,t aʔa - - t a,LexStat
231,231,1984,w e r p oi l dʒ,LexStat
232,232,6114,l aː m a -,LexStat
233,233,7148,t eʔe j,LexStat
234,234,1666,d i l k uʔu,LexStat
235,235,4102,d i je l e,LexStat
236,236,1841,n a k a r oʔo -,LexStat
237,237,1308,m ə d u l u ŋ,LexStat
238,238,6074,n a m a ŋ -,LexStat
239,239,772,k u m u -,LexStat
240,240,3404,t ə r oj - o,LexStat
241,241,4112,w e l e ŋ,LexStat
242,242,6689,k ə b u l u -,LexStat
243,243,10520,- p eʔe r e ŋ -,LexStat
244,244,1588,k a b u l u,LexStat
245,245,10757,- a s a l a - -,LexStat
246,246,5618,- - - t e n a ŋ,LexStat
247,247,5743,b oː n i -,LexStat
248,248,702,m aʔa - - l - - - a -,LexStat
249,249,6782,d e l e w e ŋ,LexStat
250,250,6492,a l - s u ŋ,LexStat
251,251,6492,- l u s u ŋ,LexStat
252,252,5872,- - m aʔa l a -,LexStat
253,253,2608,s ə l oj -,LexStat
254,254,6378,- - - - - - d u l u - -,LexStat
255,255,715,l aʔa - - - - n a,LexStat
256,256,10469,- w e l e -,LexStat
257,257,5422,- t e n e -,LexStat
258,258,3205,m o l m o l,LexStat
259,259,10776,b a ʔ oi l - -,LexStat
260,260,6201,m a r o r i,LexStat
261,261,6187,m aʔa l a,LexStat
262,262,6162,m a l a ʔ,LexStat
263,263,7153,d o l - t - - aʔa t a,LexStat
264,264,7153,d o l o t - - aʔa t a,LexStat
265,265,3677,o m s i l i,LexStat
266,266,719,- e ɲ dʒ a h a ʔ,LexStat
267,267,1750,a w e l p ə l aʔa,LexStat
268,268,5961,b a r oi tʲ,LexStat
269,269,248,- e k e r iʔi ŋ,LexStat
270,270,9132,e d u n u -,LexStat
271,271,8431,m e ʔ e h e,LexStat
272,272,9317,- - a - - m u n i ŋ - -,LexStat
273,273,9600,u t u n u t,LexStat
274,274,8631,- ʔ e l - -,LexStat
275,275,8631,- ʔ e l w e,LexStat
276,276,9348,m o t i ŋ,LexStat
277,277,8701,t aʔa r a,LexStat
278,278,9304,m o p o,LexStat
279,279,9808,t o h o ʔ,LexStat
280,280,9781,- a r e - - n t ʊ h o,LexStat
281,281,7341,- - - t e w i - l i -,LexStat
282,282,7352,- a - - - - - - w i l i -,LexStat
283,283,9265,- - m i h i -,LexStat
284,284,9462,t o h o m i,LexStat
285,285,9821,l aʔa - - w,LexStat
286,286,9047,t eʔe - - ŋ,LexStat
287,287,9549,h o - l o ŋ -,LexStat
288,288,8273,l i l i - -,LexStat
289,289,8158,m uj - - u -,LexStat
290,290,8187,k o l o -,LexStat
291,291,8105,- a m uj - u ʔ -,LexStat
292,292,8091,- - - dʒ i n a -,LexStat
293,293,8135,- n a - k o r i,LexStat
294,294,8132,n aʔa - - d i -,LexStat
295,295,7811,- n a - d o w o,LexStat
296,296,9835,- - l a m - -,LexStat
297,297,9835,n a l a m - -,LexStat
298,298,9167,n a - s a r o t o -,LexStat
299,299,8767,- w o tʃ o ŋ - - -,LexStat
300,300,7485,n oʔo i ɲ,LexStat
301,301,8027,- - m i n i -,LexStat
302,302,8332,m e r - ʔ e n e -,LexStat
303,303,9903,l u h u ʔ,LexStat
304,304,7767,m a ʔ - - -,LexStat
305,305,8647,j aː - - l a,LexStat
