Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	ahaliŋtama	nan	a h a l i ŋ t a m a	('sky', 'atim1239', 'ahaliŋtama')	datasets/abzatimelangas2010wordlist.tsv		
1	sun	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	wari	nan	- w a r - - - - i - -	('sun', 'abui1241-fuime', 'wari')	datasets/abzatimelangas2010wordlist.tsv		
2	moon	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	ije	nan	- - i - j e -	('moon', 'abui1241-fuime', 'ije')	datasets/abzatimelangas2010wordlist.tsv		
3	star	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	fir	nan	- - - - - f i r - - - -	('star', 'abui1241-fuime', 'fɪri')	datasets/abzatimelangas2010wordlist.tsv		
3	star	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	fɪr	nan	- - - - - f ɪ r - - - -	('star', 'abui1241-fuime', 'fɪri')	datasets/abzatimelangas2010wordlist.tsv		
4	night	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	tuŋtama	nan	t u ŋ t a m a	"('night', 'abui1241-takal', ""tun.'tä.mä"")"	datasets/abzatimelangas2010wordlist.tsv		
5	day	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	tadeŋ	nan	t a d e ŋ	('day', 'abui1241-fuime', 'tadeŋ')	datasets/abzatimelangas2010wordlist.tsv		
7	morning	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	fala:kda	nan	f a l a: k d a	('morning', 'atim1239', 'fala:kda')	datasets/abzatimelangas2010wordlist.tsv		
8	yesterday	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	tuwola	nan	t u w o l a	('yesterday', 'atim1239', 'tuwola')	datasets/abzatimelangas2010wordlist.tsv		
10	tomorrow	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	aˈkun	nan	a ˈk u n -	('tomorrow', 'abui1241-fuime', 'akuni')	datasets/abzatimelangas2010wordlist.tsv		
11	day after tomorrow	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	ajoku	nan	- - - - - - - - - ayo - - k u - -	('day after tomorrow', 'abui1241-fuime', 'ajoku')	datasets/abzatimelangas2010wordlist.tsv		
12	twilight; dawn	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	ari: dape	nan	a r i: _ d a - p - - e	('twilight; dawn', 'abui1241-fuime', 'arida pe')	datasets/abzatimelangas2010wordlist.tsv		
13	cloud	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	tabo	nan	t a b o - - - -	"('cloud', 'abui1241-takal', ""tä.be̞ä.'kil"")"	datasets/abzatimelangas2010wordlist.tsv		
14	wind	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	timoi	nan	t i m oi -	('wind', 'abui1241-fuime', 'timoi')	datasets/abzatimelangas2010wordlist.tsv		
15	rain	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	anui	nan	- a n ui - - - - - - -	('rain', 'abui1241-fuime', 'anui')	datasets/abzatimelangas2010wordlist.tsv		
17	rainbow	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	ho	nan	h o	('rainbow', 'atim1239', 'ho')	datasets/abzatimelangas2010wordlist.tsv		
18	thunder	atim1239	Abui-Atimelang	Timor-Alor-Pantar	3Alor, 2Central	adi: damalai dia	nan	a d i: _ d a m a l ai _ d ia	"('thunder', 'abui1241-takal', ""ä.'di dä.mui.'dä"")"	datasets/abzatimelangas2010wordlist.tsv		
