Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	adi	ɟa but	nan	('sky', 'abui1241-fuime', 'adi')	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
1.0	sun	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	wari	nan	nan	('sun', 'abui1241-fuime', 'wari')	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
2.0	moon	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	ija	nan	nan	('moon', 'abui1241-ulaga', 'ija')	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
3.0	star	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	fir lakai	also gave firi	nan	('star', 'abui1241-ulaga', 'fir lakai')	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
4.0	night	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	akuni	kampung kalunan (bahasa pantai)	nan	('night', 'abui1241-ulaga', 'akuni')	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
5.0	day	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	lieŋ	nan	nan	('day', 'abui1241-ulaga', 'lieŋ')	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
6.0	year	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	tuŋ	nan	nan	('year', 'abui1241-petle', 'tuŋ')	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
7.0	morning	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	nalukaŋ	nan	nan	('morning', 'abui1241-ulaga', 'nalukaŋ')	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
8.0	yesterday	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	afe	nan	nan	('yesterday', 'abui1241-ulaga', 'afe')	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
8.0	yesterday	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	ave	nan	nan	('yesterday', 'abui1241-ulaga', 'afe')	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
9.0	day before yesterday	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	tuona ari	nan	nan	('day before yesterday', 'abui1241-ulaga', 'tuona ari')	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
