Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’burɑŋ	nan	nan	('sky', 'adan1251-otvai', '’burɑŋ')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
1.0	sun	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’fed	nan	nan	('sun', 'adan1251-otvai', '’fed')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
2.0	moon	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’ul	nan	nan	('moon', 'adan1251-lawah', 'hu:l')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
3.0	star	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’ibiŋ	nan	nan	('star', 'adan1251-otvai', '’ibiŋ')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
4.0	night	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’panaʔ	nan	nan	('night', 'adan1251-otvai', '’panaʔ')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
5.0	day	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’fed	nan	nan	('day', 'adan1251-otvai', '’fed')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
6.0	year	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’tun	nan	nan	('year', 'adan1251-otvai', '’tun')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
7.0	morning	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	la’lamiʔ	nan	nan	('morning', 'adan1251-lawah', 'lalami')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
8.0	yesterday	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	u’faŋmiʔ	lit. ‘two days ago’	nan	('yesterday', 'adan1251-otvai', 'u’faŋmiʔ')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
9.0	day before yesterday	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	o ta’rɛŋalo ’miʔ	nan	nan	('day before yesterday', 'adan1251-lawah', 'ʔotariŋ alumi')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
10.0	tomorrow	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	di’lɛl	nan	nan	('tomorrow', 'adan1251-lawah', 'dilɛlɛ')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
11.0	day after tomorrow	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’alo	nan	nan	('day after tomorrow', 'adan1251-otvai', '’alo')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
12.0	twilight; dawn	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’dil la’lamiʔ	nan	nan	('twilight; dawn', 'adan1251-otvai', '’dil la’lamiʔ')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
13.0	cloud	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	ta’fiʔiŋ	nan	nan	"('cloud', 'abui1241-takal', ""tä.be̞ä.'kil"")"	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
14.0	wind	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	ha’mɔi	nan	nan	('wind', 'abui1241-fuime', 'timoi')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
15.0	rain	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’nɔi	nan	nan	('rain', 'adan1251-otvai', '’nɔi')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
16.0	drizzle	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’nɔi ’reʔreʔ	nan	nan	('drizzle', 'adan1251-otvai', '’nɔi ’reʔreʔ')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
17.0	rainbow	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’haʔ boʔ	da’ʔud =  ‘sound’	nan	('rainbow', 'adan1251-lawah', 'haʔaboʔo')	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
