Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian	4Timor, 1West	neno	nan	nan	('sky', 'amar1273-kotos', 'neno')	datasets/aozowenedwards2016wordlistuabmetoamarasi.tsv		
1	sun	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian	4Timor, 1West	manas	nan	nan	('sun', 'amar1273-kotos', 'manas')	datasets/aozowenedwards2016wordlistuabmetoamarasi.tsv		
2	moon	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian	4Timor, 1West	funan	nan	nan	"('moon', 'alor1247-baran', ""'fulaŋ"")"	datasets/aozowenedwards2016wordlistuabmetoamarasi.tsv		
3	star	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian	4Timor, 1West	kfuu	nan	nan	('star', 'amar1273-kotos', 'kfuu')	datasets/aozowenedwards2016wordlistuabmetoamarasi.tsv		
4	night	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian	4Timor, 1West	fai	nan	nan	('night', 'amar1273-kotos', 'fai')	datasets/aozowenedwards2016wordlistuabmetoamarasi.tsv		
5	day	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian	4Timor, 1West	neno	nan	nan	('day', 'amar1273-kotos', 'neno')	datasets/aozowenedwards2016wordlistuabmetoamarasi.tsv		
6	year	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian	4Timor, 1West	toon	nan	nan	('year', 'amar1273-kotos', 'toon')	datasets/aozowenedwards2016wordlistuabmetoamarasi.tsv		
7	morning	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian	4Timor, 1West	kiku	nan	nan	('morning', 'amar1273-kotos', 'kiku')	datasets/aozowenedwards2016wordlistuabmetoamarasi.tsv		
7	morning	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian	4Timor, 1West	nmeu n-fi:n	nan	nan	('morning', 'amar1273-kotos', 'nmeu n-fi:n')	datasets/aozowenedwards2016wordlistuabmetoamarasi.tsv		
8	yesterday	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian	4Timor, 1West	afi na:	nan	nan	('yesterday', 'amar1273-kotos', 'afi na:')	datasets/aozowenedwards2016wordlistuabmetoamarasi.tsv		
10	tomorrow	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian	4Timor, 1West	nokaʔ	nan	nan	('tomorrow', 'amar1273-kotos', 'nokaʔ')	datasets/aozowenedwards2016wordlistuabmetoamarasi.tsv		
11	day after tomorrow	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian	4Timor, 1West	nmeu	nan	nan	('day after tomorrow', 'amar1273-kotos', 'nmeu')	datasets/aozowenedwards2016wordlistuabmetoamarasi.tsv		
12	twilight; dawn	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian	4Timor, 1West	kimuʔ	twiliɡht	nan	('twilight; dawn', 'amar1273-kotos', 'kimuʔ')	datasets/aozowenedwards2016wordlistuabmetoamarasi.tsv		
