Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
1	sun	p-alor1249	proto-AP	Timor-Alor-Pantar		*wadi	nan	w a d i - - -	('sun', 'abui1241-fuime', 'wari')	datasets/greenbook/proto-AP.tsv		
2	moon	p-alor1249	proto-AP	Timor-Alor-Pantar		*wur	nan	nan	('moon', 'abui1241-fuime', 'ije')	datasets/greenbook/proto-AP.tsv		
3	star	p-alor1249	proto-AP	Timor-Alor-Pantar		*jibV	nan	j i b V	('star', 'abui1241-fuime', 'fɪri')	datasets/greenbook/proto-AP.tsv		
15	rain	p-alor1249	proto-AP	Timor-Alor-Pantar		*anur	nan	- a n u - r	('rain', 'abui1241-fuime', 'anui')	datasets/greenbook/proto-AP.tsv		
26	mountain	p-alor1249	proto-AP	Timor-Alor-Pantar		*buku	nan	b u k u	('mountain', 'abui1241-fuime', 'buku')	datasets/greenbook/proto-AP.tsv		
28	village	p-alor1249	proto-AP	Timor-Alor-Pantar		*haban	nan	h a b a n -	('village', 'adan1251-lawah', 'baŋ ʔɛme')	datasets/greenbook/proto-AP.tsv		
32	stone	p-alor1249	proto-AP	Timor-Alor-Pantar		*war	nan	w a r -	('stone', 'abui1241-fuime', 'vi')	datasets/greenbook/proto-AP.tsv		
35	water (fresh)	p-alor1249	proto-AP	Timor-Alor-Pantar		*jira	nan	- j i r a	('water (fresh)', 'abui1241-fuime', 'je')	datasets/greenbook/proto-AP.tsv		
36	sea; sea water	p-alor1249	proto-AP	Timor-Alor-Pantar		*tam	nan	t a m - - - - - -	('sea; sea water', 'abui1241-fuime', 'tama')	datasets/greenbook/proto-AP.tsv		
37	wave	p-alor1249	proto-AP	Timor-Alor-Pantar		*bob	nan	b o b -	('wave', 'abui1241-fuime', 'fou')	datasets/greenbook/proto-AP.tsv		
43	garden	p-alor1249	proto-AP	Timor-Alor-Pantar		*magad(a)	nan	m a g a d -	"('garden', 'alor1249-sar-a', ""ma'xar"")"	datasets/greenbook/proto-AP.tsv		
45	road; path; way	p-alor1249	proto-AP	Timor-Alor-Pantar		*jega	nan	j e g a -	('road; path; way', 'blag1240-bama', 'iga')	datasets/greenbook/proto-AP.tsv		
54	spear	p-alor1249	proto-AP	Timor-Alor-Pantar		*qaba(k)	nan	q a b a -	"('spear', 'abui1241-takal', ""kä.'fäk"")"	datasets/greenbook/proto-AP.tsv		
63	mat	p-alor1249	proto-AP	Timor-Alor-Pantar		*bis	nan	b i s - -	('mat', 'adan1251-lawah', 'bahu')	datasets/greenbook/proto-AP.tsv		
67	fire	p-alor1249	proto-AP	Timor-Alor-Pantar		*hada	nan	h a d a	('fire', 'abui1241-fuime', 'ara')	datasets/greenbook/proto-AP.tsv		
68	smoke	p-alor1249	proto-AP	Timor-Alor-Pantar		*bunaq	nan	b u n a - - q -	('smoke', 'adan1251-lawah', 'awai banoʔo')	datasets/greenbook/proto-AP.tsv		
82	(thatch) roof	p-alor1249	proto-AP	Timor-Alor-Pantar		*wai	nan	nan	"('(thatch) roof', 'abui1241-takal', ""'wäj"")"	datasets/greenbook/proto-AP.tsv		
83	roof thatch	p-alor1249	proto-AP	Timor-Alor-Pantar		*amen	nan	a m e - - n -	('roof thatch', 'abui1241-fuime', 'ameŋ')	datasets/greenbook/proto-AP.tsv		
84	tree	p-alor1249	proto-AP	Timor-Alor-Pantar		*tei	nan	#NAME?	('tree', 'adan1251-lawah', 'ti')	datasets/greenbook/proto-AP.tsv		
92	fruit	p-alor1249	proto-AP	Timor-Alor-Pantar		*is(i)	"""Note similarity with proto-Austronesian *isiʔ ‘contents’, indicating that this may be a loan"" (Klamer 2014)"	- i s - - - - - - -	('fruit', 'alor1249-sar-a', 'ʤit')	datasets/greenbook/proto-AP.tsv		
100	to plant (yam)	p-alor1249	proto-AP	Timor-Alor-Pantar		*mudin	to plant' (general)	- m u d i n - -	('to plant (yam)', 'baka1276', 'mudiŋ')	datasets/greenbook/proto-AP.tsv		
101	to plant (rice)	p-alor1249	proto-AP	Timor-Alor-Pantar		*mudin	to plant' (general)	#NAME?	('to plant (rice)', 'adan1251-lawah', 'mudiŋ')	datasets/greenbook/proto-AP.tsv		
102	betel nut; areca	p-alor1249	proto-AP	Timor-Alor-Pantar		*bui	nan	nan	('betel nut; areca', 'abui1241-fuime', 'fu')	datasets/greenbook/proto-AP.tsv		
103	betel vine	p-alor1249	proto-AP	Timor-Alor-Pantar		*mait	nan	nan	('betel vine', 'abui1241-fuime', 'me:tiŋ')	datasets/greenbook/proto-AP.tsv		
104	lime	p-alor1249	proto-AP	Timor-Alor-Pantar		*hawar	nan	h a w a r -	('lime', 'abui1241-fuime', 'awai')	datasets/greenbook/proto-AP.tsv		
111	sugarcane	p-alor1249	proto-AP	Timor-Alor-Pantar		*huːba	nan	h uː b - a	('sugarcane', 'abui1241-fuime', 'fa')	datasets/greenbook/proto-AP.tsv		
114	coconut	p-alor1249	proto-AP	Timor-Alor-Pantar		*wata	nan	w a t a -	('coconut', 'abui1241-fuime', 'wata')	datasets/greenbook/proto-AP.tsv		
120	bamboo	p-alor1249	proto-AP	Timor-Alor-Pantar		*mari	nan	nan	('bamboo', 'abui1241-takal', 'mäj')	datasets/greenbook/proto-AP.tsv		
121	banana	p-alor1249	proto-AP	Timor-Alor-Pantar		*mogol	nan	nan	('banana', 'abui1241-fuime', 'musa')	datasets/greenbook/proto-AP.tsv		
130	fat	p-alor1249	proto-AP	Timor-Alor-Pantar		*tama	nan	- - - - t a m a - -	"('fat', 'abui1241-takal', ""tä.mä.'dä"")"	datasets/greenbook/proto-AP.tsv		
131	flesh; meat	p-alor1249	proto-AP	Timor-Alor-Pantar		*iser	nan	i s e - r	('flesh; meat', 'amar1273-kotos', 'sisi')	datasets/greenbook/proto-AP.tsv		
132	bone	p-alor1249	proto-AP	Timor-Alor-Pantar		*ser	nan	nan	('bone', 'buna1278-bobon', 'sisal')	datasets/greenbook/proto-AP.tsv		
136	blood	p-alor1249	proto-AP	Timor-Alor-Pantar		*wai	nan	nan	('blood', 'abui1241-fuime', 'we')	datasets/greenbook/proto-AP.tsv		
142	excrement	p-alor1249	proto-AP	Timor-Alor-Pantar		*has	nan	h a s - -	('excrement', 'adan1251-lawah', 'hahaʔ')	datasets/greenbook/proto-AP.tsv		
144	stomach; belly	p-alor1249	proto-AP	Timor-Alor-Pantar		*-tok	nan	nan	('stomach; belly', 'adan1251-lawah', 'atuʔu')	datasets/greenbook/proto-AP.tsv		
147	body hair	p-alor1249	proto-AP	Timor-Alor-Pantar		*mudi	nan	nan	('body hair', 'abui1241-fuime', 'teamur')	datasets/greenbook/proto-AP.tsv		
149	ear	p-alor1249	proto-AP	Timor-Alor-Pantar		*-uari	nan	- u a r i	('ear', 'adan1251-lawah', 'awɛbɛhɛ')	datasets/greenbook/proto-AP.tsv		
150	nose	p-alor1249	proto-AP	Timor-Alor-Pantar		*-mim	nan	#NAME?	('nose', 'p-alor1249', '*-mim')	datasets/greenbook/proto-AP.tsv		
151	mouth	p-alor1249	proto-AP	Timor-Alor-Pantar		*-wa	nan	w a	('mouth', 'kafo1240', 'tɑwɑɑ')	datasets/greenbook/proto-AP.tsv		
154	teeth	p-alor1249	proto-AP	Timor-Alor-Pantar		*-uasin	tooth'	- u a s i n -	('teeth', 'abui1241-fuime', 'taweiti')	datasets/greenbook/proto-AP.tsv		
155	tongue	p-alor1249	proto-AP	Timor-Alor-Pantar		*-lebur	nan	- - l e - b u r -	('tongue', 'adan1251-lawah', 'nalɛb')	datasets/greenbook/proto-AP.tsv		
163	arm	p-alor1249	proto-AP	Timor-Alor-Pantar		*-tan	nan	nan	('arm', 'abui1241-fuime', 'tataŋ')	datasets/greenbook/proto-AP.tsv		
164	hand	p-alor1249	proto-AP	Timor-Alor-Pantar		*-tan	nan	- - t a n - - - - - - -	('hand', 'hama1240', 'nataŋ')	datasets/greenbook/proto-AP.tsv		
167	fingernail	p-alor1249	proto-AP	Timor-Alor-Pantar		*kusin	nan	k u s i n	('fingernail', 'adan1251-lawah', 'ʔataŋ uhuŋ')	datasets/greenbook/proto-AP.tsv		
168	breast	p-alor1249	proto-AP	Timor-Alor-Pantar		*hami	nan	nan	('breast', 'alor1249-sar-a', 'haŋ')	datasets/greenbook/proto-AP.tsv		
172	vagina	p-alor1249	proto-AP	Timor-Alor-Pantar		*-ar	Kemaluan perempuan, same as above.	nan	('vagina', 'alor1249-sar-a', 'ga:r')	datasets/greenbook/proto-AP.tsv		
174	leg	p-alor1249	proto-AP	Timor-Alor-Pantar		*-bat	nan	- - b a t -	('leg', 'adan1251-lawah', 'nɛʔɛw')	datasets/greenbook/proto-AP.tsv		
178	knee	p-alor1249	proto-AP	Timor-Alor-Pantar		*uku	nan	u k u	"('knee', 'alor1249-sar-a', ""gə'fat ku"")"	datasets/greenbook/proto-AP.tsv		
190	person	p-alor1249	proto-AP	Timor-Alor-Pantar		*anin	Not 'manusia' (human being). Elicit 'orang' with a numeral, for example 'ada satu orang, dua orang, tiga orang...'	- - a n - - i n -	('person', 'blag1240-nule', 'ne:nu')	datasets/greenbook/proto-AP.tsv		
191	name	p-alor1249	proto-AP	Timor-Alor-Pantar		*-en(i, u)	nan	e n	('name', 'abui1241-fuime', 'na-ne')	datasets/greenbook/proto-AP.tsv		
