Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'buluŋ	nan	nan	('sky', 'adan1251-otvai', '’burɑŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
1.0	sun	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	wɛr	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
2.0	moon	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ur	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
3.0	star	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	iplaqx	slight fricative sound following the uvular stop	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
4.0	night	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'iqano	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
5.0	day	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	wɛr	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
6.0	year	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	tuŋ	nan	nan	('year', 'abui1241-petle', 'tuŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
7.0	morning	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	qa'naŋ	nan	nan	"('(thatch) roof', 'kaer1234', ""'ma goŋ"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
8.0	yesterday	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	mi'a:g	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
9.0	day before yesterday	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'gɛtraxo	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
10.0	tomorrow	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	u'ruŋ	nan	nan	('axe', 'kaer1234', 'ta:q')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
11.0	day after tomorrow	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'tɛraxo	nan	nan	"('cooked corn', 'kaer1234', ""ba'tar ipi"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
12.0	twilight; dawn	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	qa'naŋ-qa'naŋ	nan	nan	('twilight; dawn', 'alor1249-sar-a', 'ihar gafar')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
13.0	cloud	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bə'na:b	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
14.0	wind	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	qɛu	nan	nan	('bean', 'kaer1234', 'tau')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
15.0	rain	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	aj	nan	nan	"('(thatch) roof', 'kaer1234', ""'ma goŋ"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
16.0	drizzle	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	aj ki'ri-kiri	nan	nan	"('drizzle', 'kaer1234', ""aj ki'ri-kiri"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
17.0	rainbow	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'souk	nan	nan	"('clean', 'kaer1234', ""mu'soiŋ"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
18.0	thunder	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	idu'guruŋ	nan	nan	('axe', 'kaer1234', 'ta:q')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
19.0	lightning	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'ki: ba	nan	nan	('bean', 'kaer1234', 'tau')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
19.0	lightning	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ki:	nan	nan	('bean', 'kaer1234', 'tau')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
20.0	earthquake	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ito'joquŋ	nan	nan	"('earthquake', 'kaer1234', ""ito'joquŋ"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
21.0	fog	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bə'nab 'baxi	nan	nan	"('(thatch) roof', 'kaer1234', ""'ma goŋ"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
22.0	river; stream	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ir boi	nan	nan	('river; stream', 'kaer1234', 'ir boi')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
25.0	lake	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ir get 'wado	large wellspring with the shape of a lake	nan	"('lake', 'kaer1234', ""ir get 'wado"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
25.0	lake	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	u'jui	smaller spring with round shape	nan	"('lake', 'kaer1234', ""ir get 'wado"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
26.0	mountain	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bu'ku:	nan	nan	('and', 'kaer1234', 'etaŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
27.0	hill; ridge	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bu'ku:	nan	nan	('hill; ridge', 'abui1241-fuime', 'buku')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
28.0	village	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	a'baŋ	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
29.0	land; soil	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ma'qxa	nan	nan	"('land; soil', 'kaer1234', ""ma'qxa"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
30.0	Earth	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	par	nan	nan	('Earth', 'alor1249-sar-a', 'por')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
31.0	hole	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	je'ku	nan	nan	('because', 'kaer1234', 'wal si')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
32.0	stone	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	war	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
33.0	coral (rock)	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	qo'qis	nan	nan	"('(thatch) roof', 'kaer1234', ""'ma goŋ"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
34.0	(coral) reef	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	sɛp	nan	nan	('(coral) reef', 'kaer1234', 'sɛp')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
35.0	water (fresh)	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	i:r	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
36.0	sea; sea water	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	tam	nan	nan	('sea; sea water', 'kaer1234', 'tam')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
37.0	wave	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bo:b	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
38.0	foam	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	qa:w	nan	nan	"('(thatch) roof', 'kaer1234', ""'ma goŋ"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
39.0	forest	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	qa'qui	nan	nan	('axe', 'kaer1234', 'ta:q')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
40.0	field	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ur 'gom	lit. (with) grass inside	nan	"('clean', 'kaer1234', ""mu'soiŋ"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
41.0	island	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	par	nan	nan	('island', 'kaer1234', 'par')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
42.0	rice field	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bu'tax	nan	nan	"('rice field', 'kaer1234', ""bu'tax"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
43.0	garden	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	o'roŋ	nan	nan	('(coral) reef', 'kaer1234', 'sɛp')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
44.0	fence	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	wa	nan	nan	('fence', 'kaer1234', 'wa')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
45.0	road; path; way	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ʤu'gut	nan	nan	"('road; path; way', 'kaer1234', ""ʤu'gut"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
46.0	canoe	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ei	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
47.0	sail (n.)	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	a'rai	nan	nan	"('sail (n.)', 'kaer1234', ""a'rai"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
48.0	to sail	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ja'ro	nan	nan	('(coral) reef', 'kaer1234', 'sɛp')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
49.0	fishing hook	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	kaul	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
50.0	fish trap	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bu:b	nan	nan	('(coral) reef', 'kaer1234', 'sɛp')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
51.0	rope	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	sil	nan	nan	('because', 'kaer1234', 'wal si')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
52.0	machete	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	pɛ:d	nan	nan	('(coral) reef', 'kaer1234', 'sɛp')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
53.0	axe	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ta:q	nan	nan	('axe', 'kaer1234', 'ta:q')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
54.0	spear	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	qa'bi	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
55.0	burden stick	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'teuŋ	nan	nan	('(coral) reef', 'kaer1234', 'sɛp')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
56.0	stick; pole	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	tu'kur	nan	nan	('stick; pole', 'abui1241-fuime', 'tukaraŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
57.0	digging stick	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	jag	nan	nan	('(coral) reef', 'kaer1234', 'sɛp')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
59.0	bow	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	u'mat	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
60.0	arrow	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	qulu'but	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
61.0	knife	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	si'ar	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
61.0	knife	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	sə'mering	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
62.0	comb	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	i'maj	nan	nan	"('(thatch) roof', 'kaer1234', ""'ma goŋ"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
63.0	mat	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bis	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
64.0	needle	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ba:ti	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
65.0	clothing	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	i'naqasi	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
67.0	fire	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ad 'wasiŋ	ad= firewood, wasiŋ= be burning	nan	"('chew betel', 'kaer1234', ""'mat si"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
68.0	smoke	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ad ba'na:xo	nan	nan	('1pl excl', 'kaer1234', 'niŋ')	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
70.0	dust; fine earth	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bə'ra:m	nan	nan	"('dust; fine earth', 'kaer1234', ""bə'ra:m"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
71.0	fireplace ash	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bə'ra:m	nan	nan	"('fireplace ash', 'kaer1234', ""bə'ra:m"")"	datasets/jkamk2016latestkaerawordlistcheckedbymkandjiangjune2017.tsv		
