Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	aja'kɛŋ	nan	nan	('sky', 'kola1287', 'ajakeŋ')	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
1	sun	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	wu'di:	nan	nan	('sun', 'abui1241-fuime', 'wari')	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
2	moon	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	u'rak	nan	nan	"('moon', 'wers1238-marit', ""u'rak"")"	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
3	star	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	api'kal	nan	nan	"('star', 'wers1238-marit', ""api'kal"")"	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
4	night	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	m'lɛng	nan	nan	"('night', 'wers1238-marit', ""m'lɛng"")"	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
5	day	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	wu'di tɛŋ	nan	nan	('day', 'adan1251-lawah', 'wɛd saha')	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
6	year	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	wu'lɛl	nan	nan	"('year', 'wers1238-marit', ""wu'lɛl"")"	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
7	morning	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	wu'diŋ'lɛ	nan	nan	('morning', 'kola1287', 'widíŋ le')	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
8	yesterday	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	m'lɛɲa	nan	nan	"('yesterday', 'wers1238-marit', ""m'lɛɲa"")"	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
9	day before yesterday	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	(mleɲa) ɛtɛŋ 'jok	nan	nan	('day before yesterday', 'adan1251-lawah', 'ʔotariŋ alumi')	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
10	tomorrow	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	ma'dali	nan	nan	"('tomorrow', 'wers1238-marit', ""ma'dali"")"	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
11	day after tomorrow	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	ma'dali jale 'ok	nan	nan	"('day after tomorrow', 'wers1238-marit', ""ma'dali jale 'ok"")"	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
12	twilight; dawn	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	də'laŋ g'dap	nan	nan	('twilight; dawn', 'alor1249-sar-a', 'ihar gafar')	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
13	cloud	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	aja'kɛŋ	nan	nan	"('cloud', 'abui1241-takal', ""tä.be̞ä.'kil"")"	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
14	wind	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	lə'pɔŋ	nan	nan	"('wind', 'kelo1247-hopte', ""nə'mɛr"")"	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
15	rain	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	aja 'mai	nan	nan	"('rain', 'sawi1256', ""a'ja me"")"	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
16	drizzle	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	aja m'se	aja mai pidik pidik	nan	('drizzle', 'kula1280-lanto', 'aja’bur')	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
17	rainbow	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	'suka	nan	nan	('rainbow', 'kola1287', 'sukáʔ')	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
17	rainbow	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	anu'ria	nan	nan	"('rainbow', 'wers1238-marit', ""anu'ria"")"	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
18	thunder	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	'mɛk	kɛt'mɛk	nan	"('thunder', 'wers1238-marit', ""'mɛk"")"	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
18	thunder	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	aja'kɛŋ ge'ma	nan	nan	"('thunder', 'wers1238-marit', ""aja'kɛŋ ge'ma"")"	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
19	lightning	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	mɛk	nan	nan	('lightning', 'wers1238-marit', 'mɛk')	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
20	earthquake	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	kɔ'mɛ	nan	nan	('earthquake', 'kama1365', 'komeː')	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
21	fog	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	a'sak	nan	nan	"('fog', 'wers1238-marit', ""a'sak"")"	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
21	fog	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	saku'pul	nan	nan	('fog', 'kola1287', 'sákapul')	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
22	river; stream	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	i'lu	nan	nan	"('river; stream', 'sawi1256', ""'ilu"")"	datasets/kvwhc20151026wlr1884retranscribedbymkjune2017checkedbyjiang.tsv		
