Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	bul'gɛn	nan	nan	('sky', 'adan1251-otvai', '’burɑŋ')	datasets/kyohc20151021wlr1884retranscribedbymkandjiangjune2017.tsv		
1.0	sun	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	mə'di	nan	nan	"('sun', 'kelo1247-hopte', ""mə'di"")"	datasets/kyohc20151021wlr1884retranscribedbymkandjiangjune2017.tsv		
2.0	moon	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	'ʔur	nan	nan	"('moon', 'kelo1247-hopte', ""'ʔur"")"	datasets/kyohc20151021wlr1884retranscribedbymkandjiangjune2017.tsv		
3.0	star	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	'ʔib	nan	nan	"('star', 'kelo1247-hopte', ""'ʔib"")"	datasets/kyohc20151021wlr1884retranscribedbymkandjiangjune2017.tsv		
4.0	night	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ʔa'ka:n	nan	nan	"('night', 'idat1237', ""wɔ'ʔɑr"")"	datasets/kyohc20151021wlr1884retranscribedbymkandjiangjune2017.tsv		
5.0	day	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	mə'di	nan	nan	('day', 'kelo1247-bring', 'mədi')	datasets/kyohc20151021wlr1884retranscribedbymkandjiangjune2017.tsv		
6.0	year	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	'tun	nan	nan	"('year', 'kelo1247-hopte', ""'tun"")"	datasets/kyohc20151021wlr1884retranscribedbymkandjiangjune2017.tsv		
7.0	morning	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ku'kun	nan	nan	('morning', 'amar1273-kotos', 'kiku')	datasets/kyohc20151021wlr1884retranscribedbymkandjiangjune2017.tsv		
8.0	yesterday	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	mə'lɛŋ	nan	nan	('yesterday', 'alor1249-sar-a', 'məlah')	datasets/kyohc20151021wlr1884retranscribedbymkandjiangjune2017.tsv		
9.0	day before yesterday	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ʔi'sɛ: ruk	nan	nan	('day before yesterday', 'buna1278-bobon', 'hile reiˑno')	datasets/kyohc20151021wlr1884retranscribedbymkandjiangjune2017.tsv		
10.0	tomorrow	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	'wra	nan	nan	"('tomorrow', 'kelo1247-hopte', ""'wra"")"	datasets/kyohc20151021wlr1884retranscribedbymkandjiangjune2017.tsv		
11.0	day after tomorrow	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ʔə'ruk	nan	nan	"('day after tomorrow', 'kelo1247-hopte', ""ʔə'ruk"")"	datasets/kyohc20151021wlr1884retranscribedbymkandjiangjune2017.tsv		
12.0	twilight; dawn	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	'kun kun ʔilmikə'raŋ	nan	nan	"('twilight; dawn', 'kelo1247-hopte', ""'kun kun ʔilmikə'raŋ"")"	datasets/kyohc20151021wlr1884retranscribedbymkandjiangjune2017.tsv		
13.0	cloud	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ti 'ʔik	nan	nan	"('cloud', 'kelo1247-hopte', ""ti 'ʔik"")"	datasets/kyohc20151021wlr1884retranscribedbymkandjiangjune2017.tsv		
