Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	rett1240	Reta	Timor-Alor-Pantar	2Reta	buraŋ	buraŋ=mi means  'in the sky'	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
1.0	sun	rett1240	Reta	Timor-Alor-Pantar	2Reta	vid ge:ŋ	lit. 'eye of the day'	nan	('sun', 'rett1240', 'vid ge:ŋ')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
2.0	moon	rett1240	Reta	Timor-Alor-Pantar	2Reta	ʔuru	nan	nan	('moon', 'rett1240', 'ʔuru')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
3.0	star	rett1240	Reta	Timor-Alor-Pantar	2Reta	ʔid	nan	nan	('star', 'rett1240', 'ʔid')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
4.0	night	rett1240	Reta	Timor-Alor-Pantar	2Reta	kakua	lit. ' thing RDP-dark'	nan	('night', 'rett1240', 'kakua')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
4.0	night	rett1240	Reta	Timor-Alor-Pantar	2Reta	ʔil kakua	lit. ' thing RDP-dark'	nan	('night', 'adan1251-lawah', 'dil ʔuʔu')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
5.0	day	rett1240	Reta	Timor-Alor-Pantar	2Reta	vid	nan	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
6.0	year	rett1240	Reta	Timor-Alor-Pantar	2Reta	tuŋ	nan	nan	('year', 'abui1241-petle', 'tuŋ')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
7.0	morning	rett1240	Reta	Timor-Alor-Pantar	2Reta	ko:ko:	lit. 'RDP-cry'	nan	('morning', 'amar1273-kotos', 'kiku')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
8.0	yesterday	rett1240	Reta	Timor-Alor-Pantar	2Reta	mɛlɛŋ	nan	nan	('yesterday', 'alor1249-sar-a', 'məlah')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
9.0	day before yesterday	rett1240	Reta	Timor-Alor-Pantar	2Reta	tɛlɛŋ alɔ	alɔ means 'two'	nan	('day before yesterday', 'adan1251-lawah', 'ʔotariŋ alumi')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
10.0	tomorrow	rett1240	Reta	Timor-Alor-Pantar	2Reta	pe:ŋ	nan	nan	('tomorrow', 'rett1240', 'pe:ŋ')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
11.0	day after tomorrow	rett1240	Reta	Timor-Alor-Pantar	2Reta	alɔ	usually peŋ alɔ 'two tomorrows'	nan	('day after tomorrow', 'rett1240', 'alɔ')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
12.0	twilight; dawn	rett1240	Reta	Timor-Alor-Pantar	2Reta	ʔil tɛkɛ ʤia	thing dark be.located 'dark thing currently'	nan	('twilight; dawn', 'adan1251-otvai', '’dil la’lamiʔ')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
13.0	cloud	rett1240	Reta	Timor-Alor-Pantar	2Reta	banɔ	nan	nan	('cloud', 'buna1278-bobon', 'tahɔ')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
14.0	wind	rett1240	Reta	Timor-Alor-Pantar	2Reta	ʔɛaŋ	nan	nan	('wind', 'rett1240', 'ʔɛaŋ')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
15.0	rain	rett1240	Reta	Timor-Alor-Pantar	2Reta	ʔa:i	nan	nan	('rain', 'rett1240', 'ʔa:i')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
16.0	drizzle	rett1240	Reta	Timor-Alor-Pantar	2Reta	ʔa:i kakiri	'small rain'	nan	('drizzle', 'blag1240-warsa', 'onor kiri-kiri')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
17.0	rainbow	rett1240	Reta	Timor-Alor-Pantar	2Reta	kɛtaŋbaiŋ	nan	nan	"('rainbow', 'alor1247-besar', ""'tata bei-bei"")"	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
18.0	thunder	rett1240	Reta	Timor-Alor-Pantar	2Reta	galagal	nan	nan	('thunder', 'alor1249-sar-a', 'gragar')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
19.0	lightning	rett1240	Reta	Timor-Alor-Pantar	2Reta	ʔil mɛlak	nan	nan	('lightning', 'alor1249-sar-a', 'itimiʤah')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
20.0	earthquake	rett1240	Reta	Timor-Alor-Pantar	2Reta	palika tadili	'earth moves/shifts'	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
21.0	fog	rett1240	Reta	Timor-Alor-Pantar	2Reta	ʔil mɔrɔ	nan	nan	('fog', 'blag1240-bama', 'ilmoró')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
22.0	river; stream	rett1240	Reta	Timor-Alor-Pantar	2Reta	mɔl	nan	nan	('river; stream', 'adan1251-lawah', 'møl')	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
23.0	ice	rett1240	Reta	Timor-Alor-Pantar	2Reta		Malay word is used	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
24.0	snow	rett1240	Reta	Timor-Alor-Pantar	2Reta		Malay word is used	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
25.0	lake	rett1240	Reta	Timor-Alor-Pantar	2Reta	kɔlaŋ ɓa:l	kɔlaŋ might be Malay	nan	"('lake', 'alor1247-besar', ""'kɔlãŋ beiŋ"")"	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
26.0	mountain	rett1240	Reta	Timor-Alor-Pantar	2Reta	adual	nan	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
