ID,Lect_ID,Concept_ID,Form,Segments,Comment,Source
0,kabo1247,sky,buluŋ,b u l u ŋ,,datasets_Kabola_Monbang_tsv
1,kabo1247,sun,wer,w e r,(also day),datasets_Kabola_Monbang_tsv
2,kabo1247,moon,wul,w u l,,datasets_Kabola_Monbang_tsv
3,kabo1247,star,ib,i b,,datasets_Kabola_Monbang_tsv
4,kabo1247,night,dilku,d i l k u,,datasets_Kabola_Monbang_tsv
5,kabo1247,day,wer,w e r,(also sun),datasets_Kabola_Monbang_tsv
6,kabo1247,morning,lalami,l a l a m i,,datasets_Kabola_Monbang_tsv
7,kabo1247,yesterday,kumi,k u m i,,datasets_Kabola_Monbang_tsv
8,kabo1247,day_before_yesterday,otoriŋ olomi,o t o r i ŋ _ o l o m i,,datasets_Kabola_Monbang_tsv
9,kabo1247,tomorrow,dilele,d i l e l e,,datasets_Kabola_Monbang_tsv
10,kabo1247,day_after_tomorrow,holo,h o l o,,datasets_Kabola_Monbang_tsv
11,kabo1247,cloud,la:b,l aː b,(also fog),datasets_Kabola_Monbang_tsv
12,kabo1247,wind,so:mi,s oː m i,,datasets_Kabola_Monbang_tsv
13,kabo1247,rain,nui,n u i,,datasets_Kabola_Monbang_tsv
14,kabo1247,rainbow,la:b,l aː b,(?? same as fog and cloud?),datasets_Kabola_Monbang_tsv
15,kabo1247,thunder,harib,h a r i b,bunyinya,datasets_Kabola_Monbang_tsv
16,kabo1247,lightning,mereʔ,m e r e ʔ,"kilatan, cahaya",datasets_Kabola_Monbang_tsv
17,kabo1247,earthquake,tijoko,t i j o k o,,datasets_Kabola_Monbang_tsv
18,kabo1247,fog,la:b,l aː b,(same as cloud),datasets_Kabola_Monbang_tsv
19,kabo1247,river_stream,mɔl,m ɔ l,,datasets_Kabola_Monbang_tsv
20,kabo1247,mountain,bini,b i n i,,datasets_Kabola_Monbang_tsv
21,kabo1247,hill_ridge,bini,b i n i,,datasets_Kabola_Monbang_tsv
22,kabo1247,village,baŋ eme,b a ŋ _ e m e,,datasets_Kabola_Monbang_tsv
23,kabo1247,soil,waʔai,w a ʔ a i,,datasets_Kabola_Monbang_tsv
24,kabo1247,Earth,peliʔi,p e l i ʔ i,,datasets_Kabola_Monbang_tsv
25,kabo1247,hole,lowo,l o w o,,datasets_Kabola_Monbang_tsv
26,kabo1247,stone,wi,w i,,datasets_Kabola_Monbang_tsv
27,kabo1247,coral_rock,koʔoi,k o ʔ o i,batu (rock) di pantai,datasets_Kabola_Monbang_tsv
28,kabo1247,coral_reef,tonkar,t o n k a r,karang (reef) di dasar laut,datasets_Kabola_Monbang_tsv
29,kabo1247,water,ʤiʔ,dʒ i ʔ,,datasets_Kabola_Monbang_tsv
30,kabo1247,sea,taŋ,t a ŋ,,datasets_Kabola_Monbang_tsv
31,kabo1247,wave,bobo,b o b o,,datasets_Kabola_Monbang_tsv
32,kabo1247,foam,bʊbuj,b ʊ b u j,,datasets_Kabola_Monbang_tsv
33,kabo1247,forest,tapahaʔ,t a p a h a ʔ,,datasets_Kabola_Monbang_tsv
34,kabo1247,field,butuʔ,b u t u ʔ,,datasets_Kabola_Monbang_tsv
35,kabo1247,garden,dil,d i l,,datasets_Kabola_Monbang_tsv
36,kabo1247,road,ʤeʔ,dʒ e ʔ,,datasets_Kabola_Monbang_tsv
37,kabo1247,road,jeʔ,j e ʔ,,datasets_Kabola_Monbang_tsv
38,kabo1247,canoe,o:j,oː j,,datasets_Kabola_Monbang_tsv
39,kabo1247,rope,siwaŋ,s i w a ŋ,,datasets_Kabola_Monbang_tsv
40,kabo1247,machete,spada,s p a d a,,datasets_Kabola_Monbang_tsv
41,kabo1247,axe,baliŋ boʔoboj,b a l i ŋ _ b o ʔ o b o j,,datasets_Kabola_Monbang_tsv
42,kabo1247,spear,kaba,k a b a,,datasets_Kabola_Monbang_tsv
43,kabo1247,burden_stick,peheʔ,p e h e ʔ,"(there was much confusion between ‘burden stick’, ‘bow’ and ‘arrow’; these could be mixed up)",datasets_Kabola_Monbang_tsv
44,kabo1247,stick_pole,ti bo,t i _ b o,(= tree stalk),datasets_Kabola_Monbang_tsv
45,kabo1247,digging_stick,baliŋ,b a l i ŋ,,datasets_Kabola_Monbang_tsv
46,kabo1247,bow,koboriŋ,k o b o r i ŋ,,datasets_Kabola_Monbang_tsv
47,kabo1247,arrow,u:l,uː l,,datasets_Kabola_Monbang_tsv
48,kabo1247,knife,dur,d u r,,datasets_Kabola_Monbang_tsv
49,kabo1247,comb,siwaŋ,s i w a ŋ, (same as rope???),datasets_Kabola_Monbang_tsv
50,kabo1247,mat,bloni,b l o n i,,datasets_Kabola_Monbang_tsv
51,kabo1247,needle,bataŋ,b a t a ŋ,,datasets_Kabola_Monbang_tsv
52,kabo1247,fire,awal,a w a l,,datasets_Kabola_Monbang_tsv
53,kabo1247,smoke,a:b bəneʔo,aː b _ b ə n e ʔ o,,datasets_Kabola_Monbang_tsv
54,kabo1247,smoke,awal bəneʔo,a w a l _ b ə n e ʔ o,,datasets_Kabola_Monbang_tsv
55,kabo1247,ash,mɔl,m ɔ l,(same as river???); ,datasets_Kabola_Monbang_tsv
56,kabo1247,mud,para,p a r a,,datasets_Kabola_Monbang_tsv
57,kabo1247,clay,waʔaj,w aʔa j,,datasets_Kabola_Monbang_tsv
58,kabo1247,gravel,(w)uj ka'wal,uj _ k a w a l,,datasets_Kabola_Monbang_tsv
59,kabo1247,gravel,(w)uj ka'wal,w uj _ k a w a l,,datasets_Kabola_Monbang_tsv
60,kabo1247,sand,woitʲo,w o i tʲ o,,datasets_Kabola_Monbang_tsv
61,kabo1247,grass,luju,l u j u,,datasets_Kabola_Monbang_tsv
62,kabo1247,house,baŋ,b a ŋ,,datasets_Kabola_Monbang_tsv
63,kabo1247,traditional_house,o:j,oː j,(also boat),datasets_Kabola_Monbang_tsv
64,kabo1247,storage_house,o:j,oː j,,datasets_Kabola_Monbang_tsv
