Language ID	Family	Language name (-dialect)	Culture	ISO_code	Internal	Glottolog	Lat	Lon	Region	Description	Comments	languagename	db_Object	MergedLat	MergedLon	ExcelLat	ExcelLon
alor1247	Austronesian	Alorese-Alor 		aol 		alor1247	-8.2555	124.4082	3Alor, 1West			aloresealor	Alorese-Alor 	-8.2555	124.4082	-8.2555	124.4082
alor1247-baran	Austronesian	Alorese-Baranusa		aol 			-8.3613	124.0939	1Pantar, 1West			aloresebaranusa	Alorese-Baranusa	-8.3613	124.0939	-8.3613	124.0939
alor1247-kabir	Austronesian	Alorese-Kabir		aol 			-8.2563	124.2158	1Pantar, 1West			aloresekabir	Alorese-Kabir	-8.2563	124.2158	-8.2563	124.2158
cent2245-hewa	Austronesian	Hewa	hewa		hwa		-8.6109	122.6989	5Flores, 2Central			hewa	Hewa	-8.6109	122.6989	-8.6109	122.6989
idat1237	Austronesian	Idate		idt		idat1237	-8.7719	125.9262	4Timor, 2Central			idate	Idate	-8.7719	125.9262	-8.7719	125.9262
keda1252	Austronesian	Kedang	keda		ked	keda1252	-8.2423	123.7491	8Lembata		Originally listed as Kedang3	kedang	Kedang	-8.2423	123.7491	-8.2423	123.7491
keda1252-leuwa	Austronesian	Kedang-Léuwayang			ked	keda1252			8Lembata		Word list by	kedangleuwayang	Kedang-Leuwayang	0	0	#N/A	#N/A
kema1243	Austronesian	Kemak		kem		kema1243	-8.9729	125.2074	4Timor, 2Central			kemak	Kemak	-8.9729	125.2074	-8.9729	125.2074
laka1255	Austronesian	Lakalei 		lka		laka1255	-8.7719	125.9262	4Timor, 2Central			lakalei	Lakalei 	-8.7719	125.9262	-8.7719	125.9262
adon1237	Austronesian	Lamaholot-Adonara	adon		lmh_ad	adon1237	-8.3757	123.2375	7Adonara			lamaholotadonara	Lamaholot-Adonara	-8.3757	123.2375	-8.3757	123.2375
lh  	Austronesian	Lamaholot-Central Lembata	clem		lh  		-8.4723	123.4361	8Lembata			lamaholotcentrallembata	Lamaholot-Central Lembata	-8.4723	123.4361	-8.4723	123.4361
lama1292	Austronesian	Lamaholot-?	clem		lh  		-8.4723	124.361	8Lembata			lamaholotcentrallembata	Lamaholot-?	-8.4723	124.361	#N/A	#N/A
lama1277-baipi	Austronesian	Baipito		slp	Baipito	lama1277			8Lembata	Baipito, from Keraf (1978)	Keraf might have coordinates	lamaholotbaipito	Baipito	0	0	#N/A	#N/A
lama1277-bama	Austronesian	Bama		slp	Bama	lama1277			8Lembata	Bama, from Keraf (1978)	Keraf might have coordinates	lamaholotbama	Bama	0	0	#N/A	#N/A
lama1277-belan	Austronesian	Belang		slp	Belang	lama1277			8Lembata	Belang, from Keraf (1978)	Keraf might have coordinates	lamaholotbelang	Belang	0	0	#N/A	#N/A
lama1277-botun	Austronesian	Botun		slp	Botun	lama1277			8Lembata	Botun, from Keraf (1978)	Keraf might have coordinates	lamaholotbotun	Botun	0	0	#N/A	#N/A
lama1277-dulhi	Austronesian	Dulhi		slp	Dulhi	lama1277			8Lembata	Dulhi, from Keraf (1978)	Keraf might have coordinates	lamaholotdulhi	Dulhi	0	0	#N/A	#N/A
lama1277-hewa	Austronesian	Hewa		slp	Hewa	lama1277	-8.6109	122.6989	8Lembata	Hewa, from Keraf (1978)	Keraf might have coordinates	lamaholothewa	Hewa	-8.6109	122.6989	-8.6109	122.6989
lama1277-horow	Austronesian	Horowura		slp	Horowura	lama1277			8Lembata	Horowura, from Keraf (1978)	Keraf might have coordinates	lamaholothorowura	Horowura	0	0	#N/A	#N/A
lama1277-ileap	Austronesian	Ile Ape		slp	Ile Ape	lama1277			8Lembata	Ile Ape, from Keraf (1978)	Keraf might have coordinates	lamaholotileape	Ile Ape	0	0	#N/A	#N/A
lama1277-imulo	Austronesian	Imulolo		slp	Imulolo	lama1277			8Lembata	Imulolo, from Keraf (1978)	Keraf might have coordinates	lamaholotimulolo	Imulolo	0	0	#N/A	#N/A
lama1277-kalik	Austronesian	Kalikasa		slp	Kalikasa	lama1277			8Lembata	Kalikasa, from Keraf (1978)	Keraf might have coordinates	lamaholotKalikasa	Kalikasa	0	0	#N/A	#N/A
lama1277-kedan	Austronesian	Kedang		slp	Kedang	lama1277	-8.2423	123.7491	8Lembata	Kedang, from Keraf (1978)	Keraf might have coordinates	lamaholotKedang	Kedang	-8.2423	123.7491	-8.2423	123.7491
lama1277-kiwan	Austronesian	Kiwangona		slp	Kiwangona	lama1277			8Lembata	Kiwangona, from Keraf (1978)	Keraf might have coordinates	lamaholotKiwangona	Kiwangona	0	0	#N/A	#N/A
lama1277-lamah	Austronesian	Lamahora		slp	Lamahora	lama1277			8Lembata	Lamahora, from Keraf (1978)	Keraf might have coordinates	lamaholotLamahora	Lamahora	0	0	#N/A	#N/A
lama1277-lamak	Austronesian	Lamakera		slp	Lamakera	lama1277			8Lembata	Lamakera, from Keraf (1978)	Keraf might have coordinates	lamaholotLamakera	Lamakera	0	0	#N/A	#N/A
lama1277-lamal	Austronesian	Lamalera		slp	Lamalera	lama1277			8Lembata	Lamalera, from Keraf (1978)	Keraf might have coordinates	lamaholotLamalera	Lamalera	0	0	#N/A	#N/A
lama1277-lamat	Austronesian	Lamatuka		slp	Lamatuka	lama1277			8Lembata	Lamatuka, from Keraf (1978)	Keraf might have coordinates	lamaholotLamatuka	Lamatuka	0	0	#N/A	#N/A
lama1277-lewoe	Austronesian	Lewoeleng		slp	Lewoeleng	lama1277			8Lembata	Lewoeleng, from Keraf (1978)	Keraf might have coordinates	lamaholotLewoeleng	Lewoeleng	0	0	#N/A	#N/A
lama1277-lewok	Austronesian	Lewokukun		slp	Lewokukun	lama1277			8Lembata	Lewokukun, from Keraf (1978)	Keraf might have coordinates	lamaholotLewokukun	Lewokukun	0	0	#N/A	#N/A
lama1277-lewog	Austronesian	Lewolaga		slp	Lewolaga	lama1277			8Lembata	Lewolaga, from Keraf (1978)	Keraf might have coordinates	lamaholotLewolaga	Lewolaga	0	0	#N/A	#N/A
lama1277-lewom	Austronesian	Lewolema		slp	Lewolema	lama1277			8Lembata	Lewolema, from Keraf (1978)	Keraf might have coordinates	lamaholotLewolema	Lewolema	0	0	#N/A	#N/A
lama1277-lewop	Austronesian	Lewopenutu		slp	Lewopenutu	lama1277			8Lembata	Lewopenutu, from Keraf (1978)	Keraf might have coordinates	lamaholotLewopenutu	Lewopenutu	0	0	#N/A	#N/A
lama1277-lewot	Austronesian	Lewotala		slp	Lewotala	lama1277			8Lembata	Lewotala, from Keraf (1978)	Keraf might have coordinates	lamaholotLewotala	Lewotala	0	0	#N/A	#N/A
lama1277-lewob	Austronesian	Lewotobi		slp	Lewotobi	lama1277			8Lembata	Lewotobi, from Keraf (1978)	Keraf might have coordinates	lamaholotLewotobi	Lewotobi	0	0	#N/A	#N/A
lama1277-lewuk	Austronesian	Lewuka		slp	Lewuka	lama1277			8Lembata	Lewuka, from Keraf (1978)	Keraf might have coordinates	lamaholotLewuka	Lewuka	0	0	#N/A	#N/A
