ID,Lect,no.,current Form symbol,new Form symbol,Local_Orthography symbol,note,todo,100%,4171,IN,OUT,LEN
4249,+,1,e̞̞ː,,n./a.,,,,,n./a.,e̞̞ː,4
4246,+,53,e̞̞,,n./a.,,,,,n./a.,e̞̞,3
4212,+,14,ãː,,n./a.,See notes doc,,,,n./a.,ãː,3
4284,+,6,ĩː,,n./a.,,,,,n./a.,ĩː,3
4227,+,5,ɔ̃ː,,n./a.,,,,,n./a.,ɔ̃ː,3
4257,+,3,ɛ̃ː,,n./a.,,,,,n./a.,ɛ̃ː,3
4357,+,3,ũː,,n./a.,,,,,n./a.,ũː,3
4248,+,1,ẽː,,n./a.,,,,,n./a.,ẽː,3
4322,+,1,õː,,n./a.,,,,,n./a.,õː,3
4211,+,1318,aː,,n./a.,,,,,n./a.,aː,2
4232,+,889,dʒ,,j,,,,,j,dʒ,2
4202,+,778,ã,,n./a.,See notes doc,,,,n./a.,ã,2
4321,+,402,oː,,n./a.,,,,,n./a.,oː,2
4247,+,389,eː,,n./a.,,,,,n./a.,eː,2
4356,+,385,uː,,n./a.,,,,,n./a.,uː,2
4283,+,336,iː,,n./a.,,,,,n./a.,iː,2
4238,+,263,ẽ,,n./a.,,,,,n./a.,ẽ,2
4239,+,222,e̞,,n./a.,,,,,n./a.,e̞,2
4351,+,204,ũ,,n./a.,,,,,n./a.,ũ,2
4347,+,154,tʃ,,c,,,,,c,tʃ,2
4226,+,127,ɔː,,n./a.,,,,,n./a.,ɔː,2
4318,+,122,õ,,n./a.,,,,,n./a.,õ,2
4256,+,120,ɛː,,n./a.,,,,,n./a.,ɛː,2
4276,+,114,ĩ,,n./a.,,,,,n./a.,ĩ,2
4234,+,79,ɖʐ,,n./a.,,,,,n./a.,ɖʐ,2
4300,+,76,lː,,n./a.,,,,,n./a.,lː,2
4292,+,65,kː,,n./a.,,,,,n./a.,kː,2
4313,+,54,nː,,n./a.,,,,,n./a.,nː,2
4334,+,54,rː,,n./a.,,,,,n./a.,rː,2
4343,+,53,tː,,n./a.,,,,,n./a.,tː,2
4269,+,48,gʲ,,n./a.,,,,,n./a.,gʲ,2
4218,+,44,b̥,,n./a.,,,,,n./a.,b̥,2
4244,+,41,ə̆,,n./a.,,,,,n./a.,ə̆,2
4342,+,39,t̪,,n./a.,,,,,n./a.,t̪,2
4231,+,38,dː,,n./a.,,,,,n./a.,dː,2
4306,+,38,mː,,n./a.,,,,,n./a.,mː,2
4325,+,33,pː,,n./a.,,,,,n./a.,pː,2
4346,+,27,ts,,n./a.,,,,,n./a.,ts,2
4219,+,26,bː,,n./a.,,,,,n./a.,bː,2
4268,+,26,gː,,n./a.,,,,,n./a.,gː,2
4301,+,26,lʲ,,n./a.,,,,,n./a.,lʲ,2
4338,+,24,sː,,n./a.,,,,,n./a.,sː,2
4309,+,20,nˀ,,n./a.,,,,,n./a.,nˀ,2
4262,+,19,g̊,,n./a.,,,,,n./a.,g̊,2
4220,+,18,bβ,,n./a.,,,,,n./a.,bβ,2
4203,+,17,a̘,,n./a.,,,,,n./a.,a̘,2
4296,+,17,lˀ,,n./a.,,,,,n./a.,lˀ,2
4293,+,13,kʰ,,n./a.,,,,,n./a.,kʰ,2
4344,+,13,tʰ,,n./a.,,,,,n./a.,tʰ,2
4352,+,13,u̘,,n./a.,,,,,n./a.,u̘,2
