ID,Name,Description,English,Indonesian,Semantic_Field,Elicitation_Notes,Core_Set,Concepticon_ID,Comment
to_bless,BLESS (verb),,to bless,memberkati,Religion and belief,,,391,
leg,LEG (noun),,leg,kaki,The body,,,1297,
to_play,PLAY (verb),,to play,main,Emotions and values,,,1413,
knee,KNEE (noun),,knee,lutut,The body,,,1371,
fat,FAT (OF MEAT AND FOOD) (adjective),,fat,lemak,The body,,,2449,
forest,FOREST (noun),,forest,hutan,The physical world,,,420,
monitor_lizard,???,,monitor lizard,buaya darat; biawak,Animals,,,???,
seventeen,SEVENTEEN,,seventeen,tujuh belas,Quantity,,,2453,
fish_trap,FISH TRAP (noun),,fish trap,ker,Warfare and hunting,,,389,
to_walk,WALK (verb),,to walk,jalan (kaki),Motion,,,1443,
sky,SKY (noun),,sky,langit,The physical world,,,1732,
thousand,THOUSAND,,thousand,seribuh,Quantity,,,1843,
rice_field,PADDY FIELD (noun),,rice field,sawah,Agriculture and vegetation,,,140,
fingernail,FINGERNAIL (noun),,fingernail,kuku,The body,,,1258,
day_before_yesterday,DAY BEFORE YESTERDAY,,day before yesterday,kemarin dulu,Time,,,1180,
dead,dead,,dead,Mati,,,,,from Keraf
to_sing,SING (verb),,to sing,menyanyi,Speech and language,,,1261,
egg,EGG (noun),,egg,telur,Food and drink,,,744,
two,TWO,,two,dua,Quantity,,,1498,
to_pound_to_beat,POUND (verb),,to pound; to beat,tumbuk,Basic actions and technology,,,354,
hole,HOLE (noun),,hole,lubang,Spatial relations,,,1667,
wall,WALL (noun),,wall,dinding,The House,,,933,
roof_thatch,THATCH (noun),,roof thatch,alang-alang,The house,,,279,
arm,ARM (noun),,arm,tangan,The body,,,1673,
ten,TEN,,ten,sepuluh,Quantity,,,1515,
yesterday,YESTERDAY,,yesterday,kemarin,Time,,,1174,
pig,PIG (CLASSIFIER) (classifier),,pig,babi,Animals,,,2169,
price,PRICE (noun),,price,harga,Possession,,,657,
in,in,,in,Di,,,,,from Keraf
husband,HUSBAND (noun),,husband,suami,Kinship,,,1200,
to_give,GIVE (verb),,to give,beri; kasi,Possession,,,1447,
honey,HONEY (noun),,honey,madu,Food and drink,,,942,
straight,STRAIGHT (adjective),,straight,lurus,Spatial relations,,,1404,
word,WORD (noun),,word,kata,Speech and language,,,1599,
woman,WOMAN (noun),,woman,perempuan,Kinship,,,962,
long,LONG (adjective),,long,panjang,Spatial relations,,,1203,
lizard,LIZARD (noun),,lizard,tokek,Animals,,,632,
chin,CHIN (noun),,chin,dagu,The body,,,1510,
gum_tree_eucalyptus,???,,gum tree; eucalyptus,kayu putih,Agriculture and vegetation,,,0,
chew_betel,BETEL NUT (noun),,chew betel,makan sirih,Food and drink,,,2369,
eye,EYE (noun),,eye,mata,The body,,,1248,
to_fold,FOLD (verb),,to fold,lipat,Basic actions and technology,,,1470,
grasshopper,GRASSHOPPER (noun),,grasshopper,belalang,Animals,,,607,
louse_eggs,LOUSE (noun),,louse eggs,telur kutu kepala,Animals,,,1392,
expensive,EXPENSIVE (adjective),,expensive,mahal,Possession,,,1426,
knife,KNIFE (CLASSIFIER) (classifier),,knife,pisau,Basic actions and technology,,,2082,
sister,SISTER (OF WOMAN) (noun),,sister,saudara perempuan,Kinship,,,562,
tree,TREE (noun),,tree,pohon,Agriculture and vegetation,,,906,
coconut,COCONUT (noun),,coconut,kelapa,Agriculture and vegetation,,,970,
to_eat,EAT (verb),,to eat,makan,Food and drink,,,1336,
nineteen,NINETEEN,,nineteen,sembilan belas,Quantity,,,1714,
to_rub,RUB (verb),,to rub,gosok,Basic actions and technology,,,1449,
to_come,COME (verb),,to come,datang,Motion,,,1446,
clan,CLAN (noun),,clan,suku,Social and political relations,,,302,
flat_smooth,"flat, smooth",,"flat, smooth",Rata,,,,,from Keraf
Earth,EARTH (SOIL) (noun),,Earth,bumi,The physical world,,,1228,
tobacco,tobacco,,tobacco,tembako,,,,,
king_ruler,KING,,king; ruler,rajah,Social and political relations,,,1508,
brother,BROTHER (OF WOMAN) (noun),,brother,saudara laki-laki,Kinship,,,560,
to_hold,HOLD (verb),,to hold,pegang,Possession,,,1448,
nose,NOSE (noun),,nose,hidung,The body,,,1221,
to_hit,HIT (verb),,to hit,pukul,Basic actions and technology,,,1433,
wave,WAVE (noun),,wave,ombak,The physical world,,,978,
flea,FLEA (noun),,flea,kutu anjing,Animals,,,232,
rack_above_hearth_for_storing_food,???,,rack(above hearth/for storing food),para-para,The House,,,0,
to_flow,FLOW (verb),,to flow,mengalir,Motion,,,2003,
five,FIVE,,five,lima,Quantity,,,493,
