Concept ID	Concept ID.1	English	Indonesian	Semantic field	Concept Notes	Core set	db_Object	GLOSS	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
0	sky	sky	langit	The physical world			sky	sky	0.0	1732	SKY (noun)	3.0
1	sun	sun	matahari	The physical world			sun	sun	1.0	1343	SUN (noun)	3.0
2	moon	moon	bulan (di langit)	The physical world			moon	moon	2.0	1313	MOON (noun)	3.0
3	star	star	binatang	The physical world			star	star	3.0	1430	STAR (noun)	3.0
4	night	night	malam	Time			night	night	4.0	1233	NIGHT (noun)	3.0
5	day	day	hari	Time			day	day	5.0	1260	DAY (24 HOURS) (noun)	3.0
6	year	year	tahun	Time			year	year	6.0	1226	YEAR (noun)	3.0
7	morning	morning	pagi	Time			morning	morning	7.0	1339	MORNING (noun)	3.0
8	yesterday	yesterday	kemarin	Time			yesterday	yesterday	8.0	1174	YESTERDAY	2.0
9	daybeforeye	day before yesterday	kemarin dulu	Time			day before yesterday	day before yesterday	9.0	1180	DAY BEFORE YESTERDAY	2.0
10	tomorrow	tomorrow	besok	Time			tomorrow	tomorrow	10.0	1329	TOMORROW	2.0
11	dayaftertom	day after tomorrow	lusa	Time			day after tomorrow	day after tomorrow	11.0	1179	DAY AFTER TOMORROW	2.0
12	twilightdaw	"twilight; dawn"	subuh	Time			"twilight; dawn"	"twilight; dawn"	12.0	729	DAWN (noun)	3.0
13	cloud	cloud	awan	The physical world			cloud	cloud	13.0	1489	CLOUD (noun)	3.0
14	wind	wind	angin	The physical world			wind	wind	14.0	960	WIND (noun)	3.0
15	rain	rain	hujan	The physical world			rain	rain	15.0	1253	RAIN (RAINING) (verb)	3.0
16	drizzle	drizzle	(hujan) gerimis	The physical world			drizzle	drizzle	16.0	1016	DRIZZLE (noun)	3.0
17	rainbow	rainbow	pelangi	The physical world			rainbow	rainbow	17.0	1733	RAINBOW (noun)	3.0
