Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*laŋiC	nan	l a ŋ i C - ( - - - - - - - - )	"('sky', 'alor1247-munas', ""'laŋi"")"	datasets/ABVD/proto-AN-ABVD.tsv		
2	moon	p-aust1307-abvd	proto-AN-ABVD	Austronesian		* bulaN	nan	b u l a N - ( - - - - - - - - )	('moon', 'adan1251-lawah', 'hu:l')	datasets/ABVD/proto-AN-ABVD.tsv		
2	moon	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*qiNas	nan	q i N a s	('moon', 'p-aust1307-abvd', '*qiNas')	datasets/ABVD/proto-AN-ABVD.tsv		
3	star	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*bituqen	nan	b i t u q e n	('star', 'p-aust1307-abvd', '*bituqen')	datasets/ABVD/proto-AN-ABVD.tsv		
4	night	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*beʀŋi	nan	b e ʀ - ŋ i -	('night', 'p-aust1307-abvd', '*beʀŋi')	datasets/ABVD/proto-AN-ABVD.tsv		
5	day	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*qalejaw	nan	q a l e j a w	('day', 'p-aust1307-abvd', '*qalejaw')	datasets/ABVD/proto-AN-ABVD.tsv		
6	year	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*kawaS	nan	k a w a S	('year', 'p-aust1307-abvd', '*kawaS')	datasets/ABVD/proto-AN-ABVD.tsv		
14	wind	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*bali	nan	- - b a l i -	('wind', 'buna1278-bobon', 'bɛl')	datasets/ABVD/proto-AN-ABVD.tsv		
15	rain	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*quzaN	nan	q u z a N	"('rain', 'alor1247-besar', ""'uraŋ"")"	datasets/ABVD/proto-AN-ABVD.tsv		
18	thunder	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*deʀuŋ	bunyinya	#NAME?	('thunder', 'p-aust1307-abvd', '*deʀuŋ')	datasets/ABVD/proto-AN-ABVD.tsv		
19	lightning	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*likaC	kilatan, cahaya	l i k a C	('lightning', 'p-aust1307-abvd', '*likaC')	datasets/ABVD/proto-AN-ABVD.tsv		
25	lake	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*danaw	nan	d a n a w -	"('lake', 'alor1247-baran', ""'danɑu"")"	datasets/ABVD/proto-AN-ABVD.tsv		
30	Earth	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*daʀeq	nan	d a ʀ e q -	"('Earth', 'alor1247-baran', ""'tana"")"	datasets/ABVD/proto-AN-ABVD.tsv		
32	stone	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*batu	nan	b a t u -	('stone', 'abui1241-fuime', 'vi')	datasets/ABVD/proto-AN-ABVD.tsv		
35	water (fresh)	p-aust1307-abvd	proto-AN-ABVD	Austronesian		* daNum	nan	d a N u m	('water (fresh)', 'p-aust1307-abvd', '* daNum')	datasets/ABVD/proto-AN-ABVD.tsv		
36	sea; sea water	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*tenem	nan	t e n e m	('sea; sea water', 'abui1241-fuime', 'tama')	datasets/ABVD/proto-AN-ABVD.tsv		
39	forest	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*kaSiw-kaSiw-an	nan	k a S i w k a S i w a n	('forest', 'p-aust1307-abvd', '*kaSiw-kaSiw-an')	datasets/ABVD/proto-AN-ABVD.tsv		
45	road; path; way	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*zalan	nan	z a l a n -	('road; path; way', 'p-aust1307-abvd', '*zalan')	datasets/ABVD/proto-AN-ABVD.tsv		
