Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*laŋit	nan	l a ŋ i t - ( - - - - - - - - )	"('sky', 'alor1247-munas', ""'laŋi"")"	datasets/ABVD/proto-Central-MP-ABVD.tsv		
2	moon	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*bulan	nan	b u l a n - ( - - - - - - - - )	('market', 'keda1252-leuba', 'ul')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
3	star	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*bituqən	nan	b i t u q ə n	('star', 'p-aust1307-abvd', '*bituqen')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
4	night	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*bəŋin	nan	b ə - - ŋ i n	('night', 'p-aust1307-abvd', '*beʀŋi')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
5	day	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*qaləjaw	nan	q a l ə j a w	"('day', 'alor1247-besar', ""la'ra"")"	datasets/ABVD/proto-Central-MP-ABVD.tsv		
6	year	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*taqun	nan	t a q u n	('year', 'abui1241-petle', 'tuŋ')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
14	wind	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*haŋin	nan	h a ŋ i n - - - - - -	"('wind', 'alor1247-baran', ""'aŋi"")"	datasets/ABVD/proto-Central-MP-ABVD.tsv		
15	rain	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*quzan	nan	q u z a n	"('rain', 'alor1247-besar', ""'uraŋ"")"	datasets/ABVD/proto-Central-MP-ABVD.tsv		
18	thunder	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*gugur	bunyinya	g u - - g u r -	('thunder', 'p-cent2245-abvd', '*gugur')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
19	lightning	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*kilat	kilatan, cahaya	k i - - l a t	('lightning', 'p-aust1307-abvd', '*likaC')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
21	fog	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*kabut	kabut = fog, NOT embun = air yang menetes dari daun di pagi hari	k a b u t	('fog', 'kama1365', 'safuː')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
25	lake	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*danaw	nan	d a n a w -	"('lake', 'alor1247-baran', ""'danɑu"")"	datasets/ABVD/proto-Central-MP-ABVD.tsv		
26	mountain	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*halas	nan	h a l a s	('mountain', 'p-cent2245-abvd', '*halas')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
30	Earth	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*tanaq	nan	t a n a q -	"('Earth', 'alor1247-baran', ""'tana"")"	datasets/ABVD/proto-Central-MP-ABVD.tsv		
32	stone	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*batu	nan	b a t u -	('stone', 'abui1241-fuime', 'vi')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
35	water (fresh)	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*waiʀ	(fresh water)	w a i ʀ	"('water (fresh)', 'alor1247-besar', ""'fei"")"	datasets/ABVD/proto-Central-MP-ABVD.tsv		
36	sea; sea water	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*tasik	nan	t a s i k	"('sea; sea water', 'alor1247-besar', ""'tahi"")"	datasets/ABVD/proto-Central-MP-ABVD.tsv		
45	road; path; way	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*zalan	nan	z a l a n -	('road; path; way', 'p-aust1307-abvd', '*zalan')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
51	rope	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*tali	nan	t a - l i -	('rope', 'p-aust1307-abvd', '*CaliS')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
51	rope	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*waʀəj	nan	w a ʀ ə j	('rope', 'p-cent2245-abvd', '*waʀəj')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
64	needle	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*zaʀum	nan	z a - ʀ u m - ( - - - - )	('needle', 'buna1278-bobon', 'daun')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
67	fire	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*hapuy	nan	h a p u y -	"('fire', 'alor1247-baran', ""a'pe:"")"	datasets/ABVD/proto-Central-MP-ABVD.tsv		
68	smoke	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*masu	nan	m a s u	"('smoke', 'mamb1306', ""'masu"")"	datasets/ABVD/proto-Central-MP-ABVD.tsv		
70	dust; fine earth	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*qabu	nan	q a b u -	"('dust; fine earth', 'alor1247-baran', ""a'fo:"")"	datasets/ABVD/proto-Central-MP-ABVD.tsv		
75	sand	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*qənay	nan	q ə n a y	"('sand', 'alor1247-besar', ""ta'nːiŋ"")"	datasets/ABVD/proto-Central-MP-ABVD.tsv		
76	grass; brush	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*udu	nan	- u d u -	('grass; brush', 'blag1240-bama', 'ut')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
77	house	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*ʀumaq	nan	ʀ u m a q	"('garden', 'keda1252-leuba', ""'lumɑr"")"	datasets/ABVD/proto-Central-MP-ABVD.tsv		
82	(thatch) roof	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*qatəp	(thatch/roof)	q a t ə p	('(thatch) roof', 'p-cent2245-abvd', '*qatəp')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
85	wood	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*kayu	(stick/wood)	k a - y - u	('wood', 'p-aust1307-abvd', '*kaSiw')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
87	leaf	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*daun	nan	#NAME?	('leaf', 'buna1278-bobon', 'nɔ')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
88	branch	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*daqan	*saŋan; cabang pohon	d a q a n	('branch', 'p-cent2245-abvd', '*daqan')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
91	root	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*wakaʀ	nan	w a k a ʀ	('root', 'p-cent2245-abvd', '*wakaʀ')	datasets/ABVD/proto-Central-MP-ABVD.tsv		
