Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	pmpacd	proto-MP-ACD 2	Austronesian		*laŋit	nan	* l a ŋ i t	"('sky', 'alor1247-munas', ""'laŋi"")"	datasets/ACD/pmpacd.tsv		
1	sun	pmpacd	proto-MP-ACD 2	Austronesian		*mata nu qalejaw	*mata nu qalejaw 'sun ('eye of the day')'	* m a t a _ n u _ q a l e j a w - - - - - - -	"('day', 'alor1247-besar', ""la'ra"")"	datasets/ACD/pmpacd.tsv		
2	moon	pmpacd	proto-MP-ACD 2	Austronesian		*bulan	nan	* b u l a n	('moon', 'adan1251-lawah', 'hu:l')	datasets/ACD/pmpacd.tsv		
3	star	pmpacd	proto-MP-ACD 2	Austronesian		*bituqen	*talaq, *mantalaq 'the morning (evening) star: Venus'	* b i t u q e n - - -	('star', 'p-aust1307-abvd', '*bituqen')	datasets/ACD/pmpacd.tsv		
3	star	pmpacd	proto-MP-ACD 2	Austronesian		*mantalaq	*talaq, *mantalaq 'the morning (evening) star: Venus'	* m a n t - - - a l a q	"('star', 'alor1247-baran', ""ta'mala"")"	datasets/ACD/pmpacd.tsv		
3	star	pmpacd	proto-MP-ACD 2	Austronesian		*talaq	*talaq, *mantalaq 'the morning (evening) star: Venus'	- - * - t - - - a l a q	"('star', 'alor1247-baran', ""ta'mala"")"	datasets/ACD/pmpacd.tsv		
4	night	pmpacd	proto-MP-ACD 2	Austronesian		*beRŋi	*halem 'night, dark'	* b e R ŋ i	('night', 'p-aust1307-abvd', '*beʀŋi')	datasets/ACD/pmpacd.tsv		
4	night	pmpacd	proto-MP-ACD 2	Austronesian		*halem	*halem 'night, dark'	* h a l e m	('night', 'pmpacd', '*halem')	datasets/ACD/pmpacd.tsv		
5	day	pmpacd	proto-MP-ACD 2	Austronesian		*daqaNi	*waRi 'day; sun; dry in the sun'; also *qajaw	* d a q a N i	('day', 'pmpacd', '*daqaNi')	datasets/ACD/pmpacd.tsv		
5	day	pmpacd	proto-MP-ACD 2	Austronesian		*qalejaw	*waRi 'day; sun; dry in the sun'; also *qajaw	- * - - - - - - - q a l e j a w - - - - - - -	"('day', 'alor1247-besar', ""la'ra"")"	datasets/ACD/pmpacd.tsv		
5	day	pmpacd	proto-MP-ACD 2	Austronesian		*waRi	*waRi 'day; sun; dry in the sun'; also *qajaw	- - * w a R i	('day', 'pmpacd', '*daqaNi')	datasets/ACD/pmpacd.tsv		
6	year	pmpacd	proto-MP-ACD 2	Austronesian		*taqun	*taqun 'year, season'	* t a - q u - - n	('year', 'abui1241-petle', 'tuŋ')	datasets/ACD/pmpacd.tsv		
8	yesterday	pmpacd	proto-MP-ACD 2	Austronesian		*neRab	nan	* n e R a b	('yesterday', 'pmpacd', '*neRab')	datasets/ACD/pmpacd.tsv		
8	yesterday	pmpacd	proto-MP-ACD 2	Austronesian		*ñeRab	nan	* ñ e R a b	('yesterday', 'pmpacd', '*neRab')	datasets/ACD/pmpacd.tsv		
12	twilight; dawn	pmpacd	proto-MP-ACD 2	Austronesian		*hulem	*hulem 'dimness, twilight'	- - - - - - * h u l e m -	('twilight; dawn', 'adan1251-lawah', 'lalami')	datasets/ACD/pmpacd.tsv		
12	twilight; dawn	pmpacd	proto-MP-ACD 2	Austronesian		*zawa	*hulem 'dimness, twilight'	* z a w a	('twilight; dawn', 'pmpacd', '*zawa')	datasets/ACD/pmpacd.tsv		
14	wind	pmpacd	proto-MP-ACD 2	Austronesian		*haŋin	nan	* h a ŋ i n	"('wind', 'alor1247-baran', ""'aŋi"")"	datasets/ACD/pmpacd.tsv		
15	rain	pmpacd	proto-MP-ACD 2	Austronesian		*quzan	nan	* q u - z a n - - - -	"('rain', 'alor1247-besar', ""'uraŋ"")"	datasets/ACD/pmpacd.tsv		
18	thunder	pmpacd	proto-MP-ACD 2	Austronesian		*deRdeR	bunyinya	* d e R d e - R	('thunder', 'blag1240-warsa', 'ildumu')	datasets/ACD/pmpacd.tsv		
19	lightning	pmpacd	proto-MP-ACD 2	Austronesian		*kilat	kilatan, cahaya	- *k - - i l a - - t - - - - - - - -	"('lightning', 'alor1247-besar', ""'hila bi'ba"")"	datasets/ACD/pmpacd.tsv		
20	earthquake	pmpacd	proto-MP-ACD 2	Austronesian		*linduR	nan	* l i n d u R	('earthquake', 'pmpacd', '*linduR')	datasets/ACD/pmpacd.tsv		
20	earthquake	pmpacd	proto-MP-ACD 2	Austronesian		*linuR	nan	* l i n - u R	('earthquake', 'pmpacd', '*linduR')	datasets/ACD/pmpacd.tsv		
21	fog	pmpacd	proto-MP-ACD 2	Austronesian		*kabut	kabut = fog, NOT embun = air yang menetes dari daun di pagi hari	* k a - b u - t - - - -	('fog', 'kama1365', 'safuː')	datasets/ACD/pmpacd.tsv		
22	river; stream	pmpacd	proto-MP-ACD 2	Austronesian		*sapaq	*wahiR ‘fresh water; stream, river’	* s a p a q	('river; stream', 'keda1252-leuwa', 'u̘bεʔ')	datasets/ACD/pmpacd.tsv		
22	river; stream	pmpacd	proto-MP-ACD 2	Austronesian		*wahiR	*wahiR ‘fresh water; stream, river’	* w - - - a h i R	('river; stream', 'pmpacd', '*wahiR')	datasets/ACD/pmpacd.tsv		
25	lake	pmpacd	proto-MP-ACD 2	Austronesian		*banaw	nan	* b a n a w	"('lake', 'alor1247-baran', ""'danɑu"")"	datasets/ACD/pmpacd.tsv		
25	lake	pmpacd	proto-MP-ACD 2	Austronesian		*danaw	nan	* d a n a w	"('lake', 'alor1247-baran', ""'danɑu"")"	datasets/ACD/pmpacd.tsv		
26	mountain	pmpacd	proto-MP-ACD 2	Austronesian		*qilih	nan	- * q i l i h -	('mountain', 'alor1249-sar-n', 'jihil')	datasets/ACD/pmpacd.tsv		
27	hill; ridge	pmpacd	proto-MP-ACD 2	Austronesian		*buntu	small hill, knoll	- - * b u n t u -	('hill; ridge', 'abui1241-fuime', 'buku')	datasets/ACD/pmpacd.tsv		
27	hill; ridge	pmpacd	proto-MP-ACD 2	Austronesian		*buntud	small hill, knoll	- - * b u n t u d	('hill; ridge', 'abui1241-fuime', 'buku')	datasets/ACD/pmpacd.tsv		
27	hill; ridge	pmpacd	proto-MP-ACD 2	Austronesian		*buntul	small hill, knoll	- - * b u n t u l	('hill; ridge', 'abui1241-fuime', 'buku')	datasets/ACD/pmpacd.tsv		
29	land; soil	pmpacd	proto-MP-ACD 2	Austronesian		*taneq	*taneq 'earth, soil, land'	* t a n e q	('land; soil', 'abui1241-fuime', 'anei')	datasets/ACD/pmpacd.tsv		
30	Earth	pmpacd	proto-MP-ACD 2	Austronesian		*buRtaq	nan	* b u R t a q - -	('Earth', 'kula1280-lanto', 'atəkw')	datasets/ACD/pmpacd.tsv		
31	hole	pmpacd	proto-MP-ACD 2	Austronesian		*buhaŋ	nan	- - * b u h a ŋ - - -	"('hole', 'alor1247-besar', ""'faŋɡɔ"")"	datasets/ACD/pmpacd.tsv		
31	hole	pmpacd	proto-MP-ACD 2	Austronesian		*lubaŋ	nan	* l u b - - a ŋ - - -	"('hole', 'alor1247-besar', ""'faŋɡɔ"")"	datasets/ACD/pmpacd.tsv		
32	stone	pmpacd	proto-MP-ACD 2	Austronesian		*batu	nan	* b a t u - - - - -	"('stone', 'alor1247-baran', ""'fato"")"	datasets/ACD/pmpacd.tsv		
33	coral (rock)	pmpacd	proto-MP-ACD 2	Austronesian		*karaŋ	*karaŋ ‘coral, limestone’ ; batu (rock) di pantai	- * k a r a ŋ	"('coral (rock)', 'alor1247-pandai', ""'aŋgɛ"")"	datasets/ACD/pmpacd.tsv		
35	water (fresh)	pmpacd	proto-MP-ACD 2	Austronesian		*wahiR	*wahiR 'fresh water; stream, river'	* w a h i R -	"('water (fresh)', 'alor1247-besar', ""'fei"")"	datasets/ACD/pmpacd.tsv		
36	sea; sea water	pmpacd	proto-MP-ACD 2	Austronesian		*tasik	*tasik 'sea, saltwater'	* t a s i - - - k	('sea; sea water', 'abui1241-fuime', 'tama')	datasets/ACD/pmpacd.tsv		
37	wave	pmpacd	proto-MP-ACD 2	Austronesian		*qalun	*qalun 'long rolling wave, swell, billow'	* q - a l - - u n	('wave', 'blag1240-warsa', 'kalaxal')	datasets/ACD/pmpacd.tsv		
38	foam	pmpacd	proto-MP-ACD 2	Austronesian		*budaq	*buseq 'foam, bubbles'; *busa 'foam, suds'	- * b u d a q - - - - -	('foam', 'adan1251-lawah', 'wara-wara')	datasets/ACD/pmpacd.tsv		
38	foam	pmpacd	proto-MP-ACD 2	Austronesian		*busa	*buseq 'foam, bubbles'; *busa 'foam, suds'	* b u s a -	('foam', 'buna1278-bobon', 'pɔ:')	datasets/ACD/pmpacd.tsv		
38	foam	pmpacd	proto-MP-ACD 2	Austronesian		*buseq	*buseq 'foam, bubbles'; *busa 'foam, suds'	* b u s e q	('foam', 'buna1278-bobon', 'pɔ:')	datasets/ACD/pmpacd.tsv		
39	forest	pmpacd	proto-MP-ACD 2	Austronesian		*halas	*tuqan 'primary forest'; *talun 'secondary forest'; *halas 'forest, wildernes, woods'	* h a l a s	('forest', 'pmpacd', '*halas')	datasets/ACD/pmpacd.tsv		
39	forest	pmpacd	proto-MP-ACD 2	Austronesian		*talun	*tuqan 'primary forest'; *talun 'secondary forest'; *halas 'forest, wildernes, woods'	* t a l u n	('forest', 'pmpacd', '*talun')	datasets/ACD/pmpacd.tsv		
39	forest	pmpacd	proto-MP-ACD 2	Austronesian		*tuqan	*tuqan 'primary forest'; *talun 'secondary forest'; *halas 'forest, wildernes, woods'	* t u q a n	"('forest', 'alor1247-munas', ""'duaŋ"")"	datasets/ACD/pmpacd.tsv		
41	island	pmpacd	proto-MP-ACD 2	Austronesian		*nusa	*nusa 'island'	* n u s a	('island', 'pmpacd', '*nusa')	datasets/ACD/pmpacd.tsv		
43	garden	pmpacd	proto-MP-ACD 2	Austronesian		*q<in>uma	*q<in>uma 'cultivated field, garden'	* q < i n > u m a -	('garden', 'buna1278-bobon', 'maɁ')	datasets/ACD/pmpacd.tsv		
44	fence	pmpacd	proto-MP-ACD 2	Austronesian		*pager	*pager 'enclosure; palisade around a village; fence around a planted tree or cultivated field'	* p a g e r	('fence', 'pmpacd', '*pager')	datasets/ACD/pmpacd.tsv		
45	road; path; way	pmpacd	proto-MP-ACD 2	Austronesian		*zalan	nan	* z a l a n	('road; path; way', 'lama1277-watan', 'rarã')	datasets/ACD/pmpacd.tsv		
46	canoe	pmpacd	proto-MP-ACD 2	Austronesian		*qabaŋ	nan	* q a b a ŋ	('canoe', 'pmpacd', '*qabaŋ')	datasets/ACD/pmpacd.tsv		
47	sail (n.)	pmpacd	proto-MP-ACD 2	Austronesian		*layaR	nan	* l aya - R -	('sail (n.)', 'abui1241-petle', 'lol')	datasets/ACD/pmpacd.tsv		
51	rope	pmpacd	proto-MP-ACD 2	Austronesian		*talih	nan	- * t a l i h	('rope', 'abui1241-fuime', 'tila')	datasets/ACD/pmpacd.tsv		
53	axe	pmpacd	proto-MP-ACD 2	Austronesian		*kiRam	nan	* k i R a m	('axe', 'pmpacd', '*kiRam')	datasets/ACD/pmpacd.tsv		
54	spear	pmpacd	proto-MP-ACD 2	Austronesian		*gayaŋ	*saet ‘spear, to spear’ *gayaŋ ’hunting spear‘	* g aya ŋ -	('spear', 'amar1273-kotos', 'aunu')	datasets/ACD/pmpacd.tsv		
54	spear	pmpacd	proto-MP-ACD 2	Austronesian		*saet	*saet ‘spear, to spear’ *gayaŋ ’hunting spear‘	* s ae t	('spear', 'pmpacd', '*saet')	datasets/ACD/pmpacd.tsv		
56	stick; pole	pmpacd	proto-MP-ACD 2	Austronesian		*sukud	*sukud 'walking stick, cane, staff' 	* s u k u d -	('stick; pole', 'kira1248', 'skera')	datasets/ACD/pmpacd.tsv		
57	digging stick	pmpacd	proto-MP-ACD 2	Austronesian		*suqan	nan	* s u q a n	('digging stick', 'pmpacd', '*suqan')	datasets/ACD/pmpacd.tsv		
59	bow	pmpacd	proto-MP-ACD 2	Austronesian		*busuR	nan	- * b u s u R	"('bow', 'alor1247-besar', ""'fuhu"")"	datasets/ACD/pmpacd.tsv		
60	arrow	pmpacd	proto-MP-ACD 2	Austronesian		*anak i panaq	nan	* a n a k _ i _ p a n a q	('arrow', 'pmpacd', '*anak i panaq')	datasets/ACD/pmpacd.tsv		
62	comb	pmpacd	proto-MP-ACD 2	Austronesian		*saRu	nan	* s a R u -	('comb', 'buna1278-bobon', 'sae')	datasets/ACD/pmpacd.tsv		
62	comb	pmpacd	proto-MP-ACD 2	Austronesian		*saut	nan	* s a R u -	('comb', 'buna1278-bobon', 'sae')	datasets/ACD/pmpacd.tsv		
