Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	adan1251-lawah	Adang-Lawahing	Timor-Alor-Pantar	"3Alor, 1West"	la:b	nan	l aː b	"('sky', 'adan1251-lawah', 'la:b')"	datasets/Adang-Lawahing.tsv		
1	sun	adan1251-lawah	Adang-Lawahing	Timor-Alor-Pantar	"3Alor, 1West"	fɛd	nan	f ɛ d - - - -	"('sun', 'abui1241-fuime', 'wari')"	datasets/Adang-Lawahing.tsv		
2	moon	adan1251-lawah	Adang-Lawahing	Timor-Alor-Pantar	"3Alor, 1West"	hu:l	nan	h uː l - - - ( - - - - - - - - )	"('moon', 'adan1251-lawah', 'hu:l')"	datasets/Adang-Lawahing.tsv		
3	star	adan1251-lawah	Adang-Lawahing	Timor-Alor-Pantar	"3Alor, 1West"	i:b	nan	- iː b -	"('star', 'abui1241-fuime', 'fɪri')"	datasets/Adang-Lawahing.tsv		
4	night	adan1251-lawah	Adang-Lawahing	Timor-Alor-Pantar	"3Alor, 1West"	dil ʔuʔu	nan	d i l _ ʔ u ʔ u	"('night', 'adan1251-lawah', 'dil ʔuʔu')"	datasets/Adang-Lawahing.tsv		
5	day	adan1251-lawah	Adang-Lawahing	Timor-Alor-Pantar	"3Alor, 1West"	dilɛlɛ	Lit. 'all day'.	d i l ɛ l ɛ	"('day', 'adan1251-lawah', 'dilɛlɛ')"	datasets/Adang-Lawahing.tsv		
5	day	adan1251-lawah	Adang-Lawahing	Timor-Alor-Pantar	"3Alor, 1West"	wɛd saha	'midday' lit. 'hot sun'	w ɛ d _ s a h a	"('day', 'adan1251-lawah', 'wɛd saha')"	datasets/Adang-Lawahing.tsv		
7	morning	adan1251-lawah	Adang-Lawahing	Timor-Alor-Pantar	"3Alor, 1West"	lalami	nan	l a l a m i	"('morning', 'adan1251-lawah', 'lalami')"	datasets/Adang-Lawahing.tsv		
8	yesterday	adan1251-lawah	Adang-Lawahing	Timor-Alor-Pantar	"3Alor, 1West"	ʔu:mi	nan	ʔ uː m i	"('yesterday', 'adan1251-lawah', 'ʔu:mi')"	datasets/Adang-Lawahing.tsv		
9	day before yesterday	adan1251-lawah	Adang-Lawahing	Timor-Alor-Pantar	"3Alor, 1West"	ʔotariŋ alumi	nan	ʔ o t a r i ŋ - _ - a - - l u m i	"('day before yesterday', 'adan1251-lawah', 'ʔotariŋ alumi')"	datasets/Adang-Lawahing.tsv		
10	tomorrow	adan1251-lawah	Adang-Lawahing	Timor-Alor-Pantar	"3Alor, 1West"	dilɛlɛ	nan	d i l ɛ l ɛ	"('tomorrow', 'adan1251-lawah', 'dilɛlɛ')"	datasets/Adang-Lawahing.tsv		
11	day after tomorrow	adan1251-lawah	Adang-Lawahing	Timor-Alor-Pantar	"3Alor, 1West"	a:lu	nan	- - - - - - - - aː l u - - - - - -	"('day after tomorrow', 'abui1241-fuime', 'ajoku')"	datasets/Adang-Lawahing.tsv		
