Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	'kɔfa	"the word kofa actually means ""cloud"",  they do not seem to have a word for sky"	k ɔ f a	"('sky', 'alor1247-besar', ""'kɔfa"")"	nan		
1	sun	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	la'ra	nan	l a ˈr aː	"('sun', 'alor1247-baran', ""la'ra"")"	nan		
2	moon	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	'fulaŋ	nan	f u l - - a ŋ -	('moon', 'adan1251-lawah', 'hu:l')	nan		
3	star	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	ta'mala	nan	t a - ˈm a l a -	"('star', 'alor1247-baran', ""ta'mala"")"	nan		
4	night	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	ma'rɛŋ	nan	m a ˈr ɛ ŋ -	"('night', 'alor1247-baran', ""ma'reŋ"")"	nan		
5	day	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	la'ra	nan	l a ˈr - aː -	"('day', 'alor1247-baran', ""la'ra:"")"	nan		
6	year	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	'tuŋ	nan	t uː ŋ - -	('year', 'abui1241-petle', 'tuŋ')	nan		
7	morning	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	fu'ra-fu'ra	nan	f u ˈr a f u ˈr aː	"('morning', 'alor1247-besar', ""fu'ra-fu'ra"")"	nan		
8	yesterday	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	'fiaŋ	nan	f i a ŋ	"('yesterday', 'alor1247-besar', ""'fiaŋ"")"	nan		
9	day before yesterday	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	'ɛrua 'neka	nan	ɛ r u a _ ˈn e k a	"('day before yesterday', 'alor1247-besar', ""'ɛrua_'neka"")"	nan		
10	tomorrow	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	'bou	nan	b o uː	"('tomorrow', 'alor1247-besar', ""'bou"")"	nan		
11	day after tomorrow	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	'ɛrua 	nan	ɛ - r u - a	"('day after tomorrow', 'alor1247-besar', ""'ɛrua_"")"	nan		
12	twilight; dawn	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	'ɛkaŋ 'dahɛ ta'ranaŋ	"ɛkaŋ 'dahɛ ta'ranaŋ literally means  ""time near clear"""""	- ɛ k a ŋ _ ˈd a h ɛ _ t a ˈr a n a ŋ	"('twilight; dawn', 'alor1247-besar', ""'ɛkaŋ_'dahɛ_ta'ranaŋ"")"	nan		
13	cloud	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	'kɔfa	nan	k ɔ f a -	('cloud', 'abui1241-fuime', 'kabuti')	nan		
14	wind	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	'aŋĩ	nan	- a ŋ ĩ -	"('wind', 'alor1247-baran', ""'aŋi"")"	nan		
15	rain	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	'uraŋ	nan	- u r a ŋ	"('rain', 'alor1247-besar', ""'uraŋ"")"	nan		
16	drizzle	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	'uraŋ fa'rɛha-fa'rɛha	nan	u r a ŋ _ f a ˈr ɛ h a f a ˈr ɛ h a	"('drizzle', 'alor1247-besar', ""'uraŋ_fa'rɛha-fa'rɛha"")"	nan		
17	rainbow	alor1247-besar	Alor-Besar	Austronesian	3Alor, 1West	'tata bei-bei	nan	t a t a _ b e i b e i -	"('rainbow', 'alor1247-besar', ""'tata_bei-bei"")"	nan		
