Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	bulaŋ	nan	b u l a ŋ - - -	"('sky', 'alor1247-pandai', ""'kalːeŋ"")"	datasets/Blagar-Nule.tsv		
1	sun	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	ved	nan	v e d - - - -	('sun', 'abui1241-fuime', 'wari')	datasets/Blagar-Nule.tsv		
2	moon	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	wuru	nan	nan	('moon', 'abui1241-fuime', 'ije')	datasets/Blagar-Nule.tsv		
3	star	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	i:d	nan	- ii d -	('star', 'baka1276', 'id')	datasets/Blagar-Nule.tsv		
4	night	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	kəmalu	nan	k ə m a l u - -	('night', 'baka1276', 'kamaluŋ')	datasets/Blagar-Nule.tsv		
5	day	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	ved	nan	v e d	('day', 'adan1251-lawah', 'wɛd saha')	datasets/Blagar-Nule.tsv		
7	morning	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	hurak wen	nan	h u r a k _ w e n	('morning', 'baka1276', 'hurak veŋ')	datasets/Blagar-Nule.tsv		
8	yesterday	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	ma'leŋ	nan	m a l - - é ŋ - - -	('yesterday', 'alor1249-sar-a', 'məlah')	datasets/Blagar-Nule.tsv		
9	day before yesterday	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	edaŋ 'aru	nan	- e d a - - ŋ - _ - á - - r u - -	('day before yesterday', 'adan1251-lawah', 'ʔotariŋ alumi')	datasets/Blagar-Nule.tsv		
10	tomorrow	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	tobaŋ	nan	t o b a - ŋ -	('tomorrow', 'baka1276', 'tóbaŋ')	datasets/Blagar-Nule.tsv		
11	day after tomorrow	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	tiaŋ aru	nan	- - t i - a ŋ _ a - - r u	('day after tomorrow', 'alor1249-sar-a', 'tiraq')	datasets/Blagar-Nule.tsv		
12	twilight; dawn	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	bil ʤaraʔabuŋ	nan	b i l _ j a r a ʔ a b u ŋ	('twilight; dawn', 'baka1276', 'bil jara abuŋ')	datasets/Blagar-Nule.tsv		
13	cloud	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	bənaw	nan	b ə n a w - -	('cloud', 'baka1276', 'bənaw')	datasets/Blagar-Nule.tsv		
14	wind	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	enar	nan	- e n a r - - - - - -	"('wind', 'alor1247-baran', ""'aŋi"")"	datasets/Blagar-Nule.tsv		
15	rain	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	nuwar	nan	n u w a r -	('rain', 'abui1241-fuime', 'anui')	datasets/Blagar-Nule.tsv		
17	rainbow	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	ali'jaʔ	nan	a l i y á ʔ	('rainbow', 'blag1240-nule', 'aliyáʔ')	datasets/Blagar-Nule.tsv		
18	thunder	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	lal	bunyinya	l a l	('thunder', 'baka1276', 'lal')	datasets/Blagar-Nule.tsv		
19	lightning	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	bil məlejlak	kilatan, cahaya	b i l _ m ə l e y l a k	('lightning', 'baka1276', 'bil məlélak')	datasets/Blagar-Nule.tsv		
20	earthquake	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	por ʔotaʔ	nan	p o r _ ʔ o t - - a ʔ	('earthquake', 'baka1276', 'por ota')	datasets/Blagar-Nule.tsv		
20	earthquake	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	təwewer	nan	t ə w e w e r	('earthquake', 'blag1240-nule', 'təwewer')	datasets/Blagar-Nule.tsv		
21	fog	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	bil mo'ro	kabut = fog, NOT embun = air yang menetes dari daun di pagi hari	b i l _ m o - - r ó -	('fog', 'blag1240-bama', 'ilmoró')	datasets/Blagar-Nule.tsv		
21	fog	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	bil mə'ro	kabut = fog, NOT embun = air yang menetes dari daun di pagi hari	b i l _ m ə - - r ó -	('fog', 'blag1240-bama', 'ilmoró')	datasets/Blagar-Nule.tsv		
22	river; stream	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	mual	nan	m u - a l	('river; stream', 'adan1251-lawah', 'møl')	datasets/Blagar-Nule.tsv		
26	mountain	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	pondo	nan	p o n d o	"('mountain', 'alor1247-baran', ""'foto"")"	datasets/Blagar-Nule.tsv		
27	hill; ridge	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	pondo blolu	 (lit., ‘high mountain’)	p o n d o _ b l o l u	('hill; ridge', 'blag1240-nule', 'pondo blolu')	datasets/Blagar-Nule.tsv		
28	village	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	'abaŋ	nan	- á b a ŋ -	('village', 'adan1251-lawah', 'baŋ ʔɛme')	datasets/Blagar-Nule.tsv		
29	land; soil	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	butuŋ	nan	b u t u ŋ -	('land; soil', 'blag1240-kulij', 'butuŋ')	datasets/Blagar-Nule.tsv		
30	Earth	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	por	nan	p o r	('Earth', 'alor1249-sar-a', 'por')	datasets/Blagar-Nule.tsv		
31	hole	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	ilbor	nan	i l b o r	('hole', 'blag1240-kulij', 'bor')	datasets/Blagar-Nule.tsv		
32	stone	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	var	nan	v a r -	('stone', 'abui1241-fuime', 'vi')	datasets/Blagar-Nule.tsv		
33	coral (rock)	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	mə'napa	batu (rock) di pantai	m ə n á p a	('coral (rock)', 'blag1240-nule', 'mənápa')	datasets/Blagar-Nule.tsv		
34	(coral) reef	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	'tomu	karang (reef) di dasar laut	nan	"('(coral) reef', 'alor1249-sar-a', ""'tomi"")"	datasets/Blagar-Nule.tsv		
35	water (fresh)	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	ʤar	nan	- j a r -	('water (fresh)', 'abui1241-fuime', 'je')	datasets/Blagar-Nule.tsv		
36	sea; sea water	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	taŋ	nan	t a ŋ -	('sea; sea water', 'abui1241-fuime', 'tama')	datasets/Blagar-Nule.tsv		
37	wave	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	buat	nan	b u a t - - -	"('wave', 'alor1249-sar-a', ""bu'at"")"	datasets/Blagar-Nule.tsv		
38	foam	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	(taŋ) ul	nan	u l	('foam', 'alor1249-sar-a', 'ul')	datasets/Blagar-Nule.tsv		
39	forest	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	bil pusi	nan	b i l _ p u s i	('forest', 'blag1240-bama', 'ilpusi')	datasets/Blagar-Nule.tsv		
43	garden	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	bil	nan	b i l	('garden', 'adan1251-lawah', 'dil')	datasets/Blagar-Nule.tsv		
45	road; path; way	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	via	nan	v i a -	('road; path; way', 'baka1276', 'via')	datasets/Blagar-Nule.tsv		
46	canoe	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	ʤe	nan	j e	('canoe', 'baka1276', 'je')	datasets/Blagar-Nule.tsv		
49	fishing hook	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	'kawil	nan	k á w i l -	"('fishing hook', 'abui1241-takal', ""ä.ʋe̞.'lä"")"	datasets/Blagar-Nule.tsv		
50	fish trap	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	ker	dibuat dari bambu untuk menangkap ikan yang ditinggal. NOT fish net or fish line.	nan	"('fish trap', 'alor1247-pandai', ""'kɛr"")"	datasets/Blagar-Nule.tsv		
51	rope	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	sial	nan	s i - a l -	"('rope', 'abui1241-petle', ""si.'la"")"	datasets/Blagar-Nule.tsv		
52	machete	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	peda	nan	- - p e d a -	"('machete', 'abui1241-petle', ""sa.'pa.da"")"	datasets/Blagar-Nule.tsv		
53	axe	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	ta:	nan	t aa - -	('axe', 'baka1276', 'ta:')	datasets/Blagar-Nule.tsv		
54	spear	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	ʔaba	nan	ʔ a b a -	"('spear', 'abui1241-takal', ""kä.'fäk"")"	datasets/Blagar-Nule.tsv		
56	stick; pole	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	awa pula	nan	a w a _ p u l a	('stick; pole', 'blag1240-nule', 'awa pula')	datasets/Blagar-Nule.tsv		
57	digging stick	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	no'ruk	nan	n o r ú k	('digging stick', 'blag1240-nule', 'norúk')	datasets/Blagar-Nule.tsv		
59	bow	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	umat	nan	nan	"('bow', 'alor1249-sar-a', ""ʔa'mutan"")"	datasets/Blagar-Nule.tsv		
60	arrow	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	bu'lit	nan	nan	"('arrow', 'abui1241-takal', ""kä.'fuq"")"	datasets/Blagar-Nule.tsv		
61	knife	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	tudik	nan	t u d i k	('knife', 'abui1241-fuime', 'lui')	datasets/Blagar-Nule.tsv		
62	comb	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	kiri	nan	k i - - - r i	('comb', 'abui1241-fuime', 'ke:ti')	datasets/Blagar-Nule.tsv		
63	mat	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	bi	nan	b i - - -	('mat', 'adan1251-lawah', 'bahu')	datasets/Blagar-Nule.tsv		
64	needle	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	batul	nan	b a t u l	('needle', 'adan1251-lawah', 'bátuŋ')	datasets/Blagar-Nule.tsv		
67	fire	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	a:d beta	nan	aa d - _ b e t a - -	('fire', 'abui1241-fuime', 'ara')	datasets/Blagar-Nule.tsv		
68	smoke	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	ad benaŋka	nan	a d - - _ - - b e n a ŋ k a	('smoke', 'adan1251-lawah', 'awai banoʔo')	datasets/Blagar-Nule.tsv		
70	dust; fine earth	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	butuŋ boni	nan	b u t u ŋ _ b o n i	('dust; fine earth', 'blag1240-nule', 'butuŋ boni')	datasets/Blagar-Nule.tsv		
71	fireplace ash	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	mə'ro	‘fireplace ash’; NOT 'debu' (dust, after you have been sweeping)	m ə r ó - -	('fireplace ash', 'adan1251-lawah', 'ma:lu')	datasets/Blagar-Nule.tsv		
72	mud	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	butumpret	nan	b u t u m p r e t	('mud', 'blag1240-nule', 'butumpret')	datasets/Blagar-Nule.tsv		
73	clay	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	me'kebutuŋ mə'ke	nan	m e k é b u t u ŋ _ m ə k é	('clay', 'alor1249-sar-n', 'moxoʔ mu i:ʔ')	datasets/Blagar-Nule.tsv		
74	gravel	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	gə'novar	nan	g ə n ó v a r	('gravel', 'baka1276', 'gədóbar')	datasets/Blagar-Nule.tsv		
75	sand	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	bej	nan	b e - y -	('sand', 'adan1251-lawah', 'fɛʧɛʔ')	datasets/Blagar-Nule.tsv		
76	grass; brush	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	nəvel	nan	n ə v e l	('grass; brush', 'baka1276', 'nevel')	datasets/Blagar-Nule.tsv		
77	house	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	ha'vaʔ	nan	nan	('house', 'abui1241-fuime', 'fala')	datasets/Blagar-Nule.tsv		
79	barn; storage house	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	panda	nan	nan	"('barn; storage house', 'alor1249-sar-a', ""pa'hambal"")"	datasets/Blagar-Nule.tsv		
80	raised platform	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	dej	nan	d e - y	"('raised platform', 'alor1247-besar', ""'dɛki"")"	datasets/Blagar-Nule.tsv		
81	door	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	tuni	nan	t u n - i -	('door', 'baka1276', 'tuni')	datasets/Blagar-Nule.tsv		
82	(thatch) roof	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	1Pantar,2East	vemvej	nan	nan	"('(thatch) roof', 'abui1241-takal', ""'wäj"")"	datasets/Blagar-Nule.tsv		
