Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	bulaŋ	nan	b u l a n g - -	"('sky', 'alor1247-pandai', ""'kalːeŋ"")"	datasets/Blagar-Warsalelang.tsv		
1	sun	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	ved	nan	v e d - - - -	"('sun', 'abui1241-fuime', 'wari')"	datasets/Blagar-Warsalelang.tsv		
2	moon	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	uru	nan	nan	"('moon', 'abui1241-fuime', 'ije')"	datasets/Blagar-Warsalelang.tsv		
3	star	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	id	nan	- i d -	"('star', 'baka1276', 'id')"	datasets/Blagar-Warsalelang.tsv		
4	night	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	ilxana	nan	i l - x a n a -	"('night', 'abui1241-petle', ""ak.'un"")"	datasets/Blagar-Warsalelang.tsv		
5	day	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	ved	nan	v e d	"('day', 'adan1251-lawah', 'wɛd saha')"	datasets/Blagar-Warsalelang.tsv		
7	morning	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	ilmexa	nan	i l m e x a	"('morning', 'blag1240-bama', 'ilmexa')"	datasets/Blagar-Warsalelang.tsv		
8	yesterday	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	meleŋ	nan	m e l - - e n g - -	"('yesterday', 'alor1249-sar-a', 'məlah')"	datasets/Blagar-Warsalelang.tsv		
9	day before yesterday	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	etaŋakur	nan	- e t a - - n g - - a k u r - - -	"('day before yesterday', 'adan1251-lawah', 'ʔotariŋ alumi')"	datasets/Blagar-Warsalelang.tsv		
10	tomorrow	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	tobaŋ	nan	t o b a - n g	"('tomorrow', 'baka1276', 'tóbaŋ')"	datasets/Blagar-Warsalelang.tsv		
11	day after tomorrow	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	tiaŋakur	nan	- - t i - a n g a k u r -	"('day after tomorrow', 'alor1249-sar-a', 'tiraq')"	datasets/Blagar-Warsalelang.tsv		
13	cloud	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	banaw	nan	b a n a w - -	"('cloud', 'baka1276', 'bənaw')"	datasets/Blagar-Warsalelang.tsv		
14	wind	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	enar	nan	- e n a r - - - - - -	"('wind', 'alor1247-baran', ""'aŋi"")"	datasets/Blagar-Warsalelang.tsv		
15	rain	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	onor	nan	- o n o - r	"('rain', 'abui1241-fuime', 'anui')"	datasets/Blagar-Warsalelang.tsv		
16	drizzle	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	onor kiri-kiri	nan	o n - o r _ k i r i k i r i	"('drizzle', 'blag1240-warsa', 'onor kiri-kiri')"	datasets/Blagar-Warsalelang.tsv		
16	drizzle	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	onor levaleru	'light rain at the end of a rainstorm'.	o - n o r _ l e v a l e r u	"('drizzle', 'blag1240-warsa', 'onor kiri-kiri')"	datasets/Blagar-Warsalelang.tsv		
