Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*laŋit	nan	l a ŋ i t - ( - - - - - - - - )	"('sky', 'alor1247-munas', ""'laŋi"")"	nan		
2	moon	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*bulan	nan	b u l a n - ( - - - - - - - - )	"('moon', 'adan1251-lawah', 'hu:l')"	nan		
3	star	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*bituqən	nan	b i t u q ə n	"('star', 'p-aust1307-abvd', '*bituqen')"	nan		
4	night	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*bəŋin	nan	b ə - - ŋ i n	"('night', 'p-aust1307-abvd', '*beʀŋi')"	nan		
5	day	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*qaləjaw	nan	q a l ə j a w	"('day', 'p-aust1307-abvd', '*qalejaw')"	nan		
6	year	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*taqun	nan	t a q u n	"('year', 'abui1241-petle', 'tuŋ')"	nan		
14	wind	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*haŋin	nan	h a ŋ i n - - - - - -	"('wind', 'alor1247-baran', ""'aŋi"")"	nan		
15	rain	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*quzan	nan	q u z a n	"('rain', 'alor1247-besar', ""'uraŋ"")"	nan		
18	thunder	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*gugur	bunyinya	g u - - g u r -	"('thunder', 'p-cent2245-abvd', '*gugur')"	nan		
19	lightning	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*kilat	"kilatan, cahaya"	k i - - l a t	"('lightning', 'alor1247-besar', ""'hila_bi'ba"")"	nan		
21	fog	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*kabut	"kabut = fog, NOT embun = air yang menetes dari daun di pagi hari"	k a b u t	"('fog', 'alor1247-munas', ""sə'pu"")"	nan		
25	lake	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*danaw	nan	d a n a w -	"('lake', 'alor1247-baran', ""'danɑu"")"	nan		
26	mountain	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*halas	nan	h a l a s	"('mountain', 'p-cent2245-abvd', '*halas')"	nan		
30	Earth	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*tanaq	nan	t a n a q -	"('Earth', 'alor1247-baran', ""'tana"")"	nan		
32	stone	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*batu	nan	b a t u -	"('stone', 'abui1241-fuime', 'vi')"	nan		
35	water (fresh)	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*waiʀ	(fresh water)	w a i ʀ	"('water (fresh)', 'alor1247-besar', ""'fei"")"	nan		
36	sea; sea water	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*tasik	nan	t a s i k	"('sea; sea water', 'alor1247-besar', ""'tahi"")"	nan		
45	road; path; way	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*zalan	nan	z a l a n -	"('road; path; way', 'p-aust1307-abvd', '*zalan')"	nan		
51	rope	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*tali	nan	t a - l i -	"('rope', 'p-aust1307-abvd', '*CaliS')"	nan		
51	rope	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*waʀəj	nan	w a ʀ ə j	"('rope', 'p-cent2245-abvd', '*waʀəj')"	nan		
64	needle	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*zaʀum	nan	z a - ʀ u m - ( - - - - )	"('needle', 'buna1278-bobon', 'daun')"	nan		
67	fire	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*hapuy	nan	h a p u y -	"('fire', 'alor1247-baran', ""a'pe:"")"	nan		
68	smoke	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*masu	nan	m a s u	"('smoke', 'amar1273-kotos', 'masuʔ')"	nan		
70	dust; fine earth	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*qabu	nan	q a b u -	"('dust; fine earth', 'alor1247-baran', ""a'fo:"")"	nan		
75	sand	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*qənay	nan	q ə n a y	"('sand', 'alor1247-besar', ""ta'nːiŋ"")"	nan		
76	grass; brush	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*udu	nan	- u d u -	"('grass; brush', 'blag1240-bama', 'ut')"	nan		
77	house	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*ʀumaq	nan	ʀ u m a q	"('house', 'alor1247-baran', ""'ʔuma"")"	nan		
82	(thatch) roof	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*qatəp	(thatch/roof)	q a t ə p	"('(thatch) roof', 'p-cent2245-abvd', '*qatəp')"	nan		
85	wood	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*kayu	(stick/wood)	k a - y - u	"('wood', 'p-aust1307-abvd', '*kaSiw')"	nan		
87	leaf	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*daun	nan	#NAME?	"('leaf', 'buna1278-bobon', 'nɔ')"	nan		
88	branch	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*daqan	*saŋan; cabang pohon	d a q a n	"('branch', 'p-cent2245-abvd', '*daqan')"	nan		
91	root	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*wakaʀ	nan	w a k a ʀ	"('root', 'p-cent2245-abvd', '*wakaʀ')"	nan		
92	fruit	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*buaq	nan	b u a q	"('fruit', 'alor1247-pandai', ""'punak"")"	nan		
100	to plant (yam)	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*tanəm	CHECK if 'to plant (yam)' or 'to plant (rice)'	t a n ə m	"('to plant (yam)', 'p-cent2245-abvd', '*tanəm')"	nan		
105	chew betel	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*mamaq	nan	m a m a q	"('chew betel', 'amar1273-kotos', 'n-mama')"	nan		
129	salt	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*qasiʀa	nan	q a - s i ʀ a	"('salt', 'p-aust1307-abvd', '*qasiʀa')"	nan		
129	salt	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*tasik	nan	t a s i k	"('salt', 'p-cent2245-abvd', '*tasik')"	nan		
130	fat	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*miñak	nan	m i ñ a k	"('fat', 'p-cent2245-abvd', '*miñak')"	nan		
131	flesh; meat	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*isi	nan	- i - s i -	"('flesh; meat', 'amar1273-kotos', 'sisi')"	nan		
132	bone	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*zuʀi	nan	z u ʀ i	"('bone', 'abui1241-takal', 'te̞̞i.pä')"	nan		
136	blood	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*daʀaq	nan	d a ʀ a q	"('blood', 'alor1247-baran', ""'ra:"")"	nan		
139	liver	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*qatay	nan	q a t a - y	"('liver', 'alor1247-baran', ""'hati"")"	nan		
141	guts	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*taqi	(intestines)	t a - - q - - - i	"('guts', 'p-aust1307-abvd', '*Cinaqi')"	nan		
144	stomach; belly	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*kampuŋ	(belly)	k a m p u ŋ -	"('stomach; belly', 'p-cent2245-abvd', '*kampuŋ')"	nan		
144	stomach; belly	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*tian	(belly)	t i - a n	"('stomach; belly', 'alor1247-baran', ""'teiŋ"")"	nan		
145	head	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*qulu	nan	q u l u -	"('head', 'p-aust1307-abvd', '*quluh')"	nan		
146	hair	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*buk	nan	b u k - -	"('hair', 'p-aust1307-abvd', '*bukeS')"	nan		
146	hair	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*daun ni qulu	nan	d a u n _ n i _ q u l u	"('hair', 'p-cent2245-abvd', '*daun_ni_qulu')"	nan		
146	hair	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*qulu	nan	q u l u -	"('body hair', 'sika1262-hewa', 'ʋulu')"	nan		
148	eye	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*mata	nan	- - - m a t a -	"('eye', 'alor1247-baran', ""'mataŋ"")"	nan		
149	ear	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*taliŋa	nan	t a l i ŋ a	"('ear', 'alor1247-baran', ""'til:uŋ"")"	nan		
150	nose	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*ijuŋ	nan	#NAME?	"('nose', 'p-aust1307-abvd', '*mujiŋ')"	nan		
151	mouth	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*babaq	nan	b a - b a q	"('mouth', 'p-cent2245-abvd', '*babaq')"	nan		
154	teeth	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*ipən	nan	#NAME?	"('teeth', 'kema1243', ""'nipɑr"")"	nan		
154	teeth	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*nipən	nan	n i p ə n	"('teeth', 'kema1243', ""'nipɑr"")"	nan		
155	tongue	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*lama	nan	l a m a -	"('tongue', 'kema1243', ""la'mɑr"")"	nan		
155	tongue	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*ləma	nan	l ə m a -	"('tongue', 'kema1243', ""la'mɑr"")"	nan		
155	tongue	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*maya	nan	m a - y a	"('tongue', 'amar1273-kotos', 'ma:-f')"	nan		
157	shoulder	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*qabaʀa	nan	q a b a ʀ a - - - - - -	"('shoulder', 'p-aust1307-abvd', '*qabaʀa')"	nan		
164	hand	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*lima	nan	l i m a -	"('arm', 'keda1252', 'liŋ')"	nan		
168	breast	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*susu	nan	s u s u -	"('breast', 'adan1251-lawah', 'toʔ')"	nan		
174	leg	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*wai	(leg/foot)	w a i -	"('leg', 'amar1273-kotos', 'hae-f')"	nan		
175	foot	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*wai	(leg/foot)	w a i	"('foot', 'fata1247', 'ɟia')"	nan		
179	back	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*mudi	nan	#NAME?	"('back', 'adan1251-otvai', 'amɔt')"	nan		
182	skin	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*kulit	nan	nan	"('skin', 'abui1241-takal', 'te̞̞:.qul')"	nan		
190	person	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*tau	"Not 'manusia' (human being). Elicit 'orang' with a numeral, for example 'ada satu orang, dua orang, tiga orang...'"	t a u	"('person', 'p-aust1307-abvd', '*Cau')"	nan		
190	person	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*taumataq	"Not 'manusia' (human being). Elicit 'orang' with a numeral, for example 'ada satu orang, dua orang, tiga orang...'"	t a u m a t a q	"('person', 'p-cent2245-abvd', '*taumataq')"	nan		
191	name	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*ŋajan	nan	ŋ a j a n	"('name', 'alor1247-baran', ""'naraŋ"")"	nan		
192	child	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*anak	nan	- - - - - - a n a k - -	"('child', 'alor1247-baran', 'ʔanaŋ')"	nan		
193	man	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*laki	nan	- - l a k i -	"('man', 'alor1247-baran', ""ka'lake"")"	nan		
193	man	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*ma-ɾuqanay	nan	m a ɾ u q a n a y	"('man', 'p-aust1307-abvd', '*ma-ʀuqanay')"	nan		
194	woman	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*b-in-ay	nan	b i n a - y	"('woman', 'idat1237', ""mahi'nak"")"	nan		
194	woman	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*bai	nan	#NAME?	"('woman', 'p-aust1307-abvd', '*bahi')"	nan		
195	husband	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*qasawa	nan	q a s a w a	"('husband', 'lama1277-kalik', 'awan')"	nan		
196	wife	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*qasawa	Not 'married woman'.	q a s a w a	"('wife', 'alor1247-baran', ""ka'fae"")"	nan		
197	mother	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*ina	nan	- i n a -	"('mother', 'lama1277-belan', 'ina')"	nan		
198	father	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*ama	nan	- a m a - -	"('father', 'alor1247-baran', ""'ʔama"")"	nan		
203	1sg	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*i-aku	nan	nan	"('1sg', 'amar1273-kotos', 'au')"	nan		
204	2sg (informal)	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*imi	nan	i - - m i - - - - - -	"('2sg (informal)', 'p-aust1307-abvd', '*i-kaSu')"	nan		
204	2sg (informal)	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*miu	nan	- - - m i u - - - - -	"('2sg (informal)', 'p-aust1307-abvd', '*i-kaSu')"	nan		
206	3sg	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*s-ia	nan	s i - a	"('3sg', 'adan1251-otvai', 'sari')"	nan		
207	1pl excl	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*k-ami	nan	k a m i	"('1pl excl', 'alor1247-baran', ""'kame"")"	nan		
208	1pl incl	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*k-ita	nan	- k i t a - - - - - -	"('1pl incl', 'alor1247-baran', "",ʔi'tɛ"")"	nan		
210	3pl	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*sida	nan	( - - ) - - s i d a - - - -	"('3pl', 'fata1247', ""ta'wari"")"	nan		
211	no; not	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*diaq	"Negation of verbal/adjectival predicate, e.g. Saya tidak suka minum bir; Saya tidak sakit. (Not 'bukan')."	nan	"('no; not', 'kema1243', ""'tai"")"	nan		
211	no; not	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*ta	"Negation of verbal/adjectival predicate, e.g. Saya tidak suka minum bir; Saya tidak sakit. (Not 'bukan')."	nan	"('no; not', 'kema1243', ""'tai"")"	nan		
211	no; not	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*ta-i	"Negation of verbal/adjectival predicate, e.g. Saya tidak suka minum bir; Saya tidak sakit. (Not 'bukan')."	nan	"('no; not', 'kema1243', ""'tai"")"	nan		
212	and	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*ma	nan	m a - -	"('and', 'amar1273-kotos', 'ma')"	nan		
214	if	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*ma	nan	m a - -	"('if', 'p-cent2245-abvd', '*ma')"	nan		
216	what?	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*apa	nan	- a p - a - -	"('what?', 'keda1252-leuwa', 'a̘pε')"	nan		
216	what?	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*sapa	nan	s a p - a - -	"('what?', 'keda1252-leuwa', 'a̘pε')"	nan		
217	who?	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*sai	nan	#NAME?	"('who?', 'amar1273-kotos', 'sekau')"	nan		
217	who?	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*sei	nan	#NAME?	"('who?', 'amar1273-kotos', 'sekau')"	nan		
218	where?	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*be	nan	( - - ) b e -	"('where?', 'lama1277-baipi', 'təga')"	nan		
218	where?	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*pae	nan	( - - ) p a e	"('where?', 'lama1277-baipi', 'təga')"	nan		
219	when?	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*p-ijan	nan	p i j a n	"('when?', 'p-aust1307-abvd', '*ija-n')"	nan		
223	this	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*-ni	nan	- - - - - - - n i -	"('this', 'fata1247', ""ɛ'niɁi"")"	nan		
224	that	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*-na	nan	- n a -	"('that', 'amar1273-kotos', '=an')"	nan		
225	at	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*di	"General locative preposition, e.g. Ibu di mana? Saya di jalan."	nan	"('at', 'idat1237', 'he:')"	nan		
229	above	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*atas	nan	nan	"('above', 'p-aust1307-abvd', '*i_taqas')"	nan		
230	below	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*babaq	nan	nan	"('below', 'p-cent2245-abvd', '*babaq')"	nan		
231	left (side)	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*ka-wiʀi	nan	k a w i ʀ - - i	"('left (side)', 'amar1273-kotos', 'ʔri:')"	nan		
232	right (side)	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*ka-wanan	nan	k a w a n a n -	"('right (side)', 'keda1252-leuwa', 'vana')"	nan		
238	dog	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*asu	nan	- a s u - - - - - - -	"('dog', 'alor1247-baran', ""a'ho"")"	nan		
241	rat	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*labaw	nan	l a b a w	"('rat', 'p-aust1307-abvd', '*labaw')"	nan		
249	tail	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*ikuʀ	nan	i k u ʀ - - - - -	"('tail', 'adan1251-lawah', 'oloʔ')"	nan		
250	fish	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*hikan	nan	h i k a n	"('fish', 'alor1247-baran', ""'ikɑŋ"")"	nan		
