Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	hama1240	Hamap-Moru	Timor-Alor-Pantar	"3Alor, 1West"	buraŋ	nan	b u r a ŋ - - -	"('sky', 'adan1251-otvai', 'buraŋ')"	nan		
1	sun	hama1240	Hamap-Moru	Timor-Alor-Pantar	"3Alor, 1West"	fød	nan	f ø d - - - -	"('sun', 'abui1241-fuime', 'wari')"	nan		
2	moon	hama1240	Hamap-Moru	Timor-Alor-Pantar	"3Alor, 1West"	ul	nan	nan	"('moon', 'abui1241-fuime', 'ije')"	nan		
3	star	hama1240	Hamap-Moru	Timor-Alor-Pantar	"3Alor, 1West"	ibiŋ	nan	nan	"('star', 'abui1241-fuime', 'fɪri')"	nan		
4	night	hama1240	Hamap-Moru	Timor-Alor-Pantar	"3Alor, 1West"	dil.u	nan	d i l - u - - - - - -	"('night', 'adan1251-lawah', 'dil_ʔuʔu')"	nan		
5	day	hama1240	Hamap-Moru	Timor-Alor-Pantar	"3Alor, 1West"	tarɛŋ	nan	t a r ɛ ŋ -	"('day', 'abui1241-fuime', 'tadeŋ')"	nan		
13	cloud	hama1240	Hamap-Moru	Timor-Alor-Pantar	"3Alor, 1West"	tafɛʔɪŋ	nan	t a f ɛ ʔ ɪ ŋ - - -	"('cloud', 'abui1241-takal', ""tä.be̞ä.'kil"")"	nan		
14	wind	hama1240	Hamap-Moru	Timor-Alor-Pantar	"3Alor, 1West"	hamoi	nan	nan	"('wind', 'abui1241-fuime', 'timoi')"	nan		
21	fog	hama1240	Hamap-Moru	Timor-Alor-Pantar	"3Alor, 1West"	tafiʔiŋ	"kabut = fog, NOT embun = air yang menetes dari daun di pagi hari"	t a f i ʔ i ŋ	"('fog', 'abui1241-fuime', 'tabo')"	nan		
22	river; stream	hama1240	Hamap-Moru	Timor-Alor-Pantar	"3Alor, 1West"	mʊl	nan	m ʊ - - l	"('river; stream', 'adan1251-lawah', 'møl')"	nan		
25	lake	hama1240	Hamap-Moru	Timor-Alor-Pantar	"3Alor, 1West"	sipuʔɛ	nan	s i p u ʔ ɛ	"('lake', 'hama1240', 'sipuʔɛ')"	nan		
26	mountain	hama1240	Hamap-Moru	Timor-Alor-Pantar	"3Alor, 1West"	doi	nan	d o i -	"('mountain', 'adan1251-otvai', 'dɔi')"	nan		
