Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	buluŋ	nan	b u l u ŋ - - -	"('sky', 'alor1247-pandai', ""'kalːeŋ"")"	datasets/Kabola-Monbang.tsv		
1	sun	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	wer	(also day)	w e r - - - -	('sun', 'abui1241-fuime', 'wari')	datasets/Kabola-Monbang.tsv		
2	moon	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	wul	nan	nan	('moon', 'abui1241-fuime', 'ije')	datasets/Kabola-Monbang.tsv		
3	star	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	ib	nan	nan	('star', 'abui1241-fuime', 'fɪri')	datasets/Kabola-Monbang.tsv		
4	night	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	dilku	nan	d i l k u - - - - - -	('night', 'adan1251-lawah', 'dil ʔuʔu')	datasets/Kabola-Monbang.tsv		
5	day	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	wer	(also sun)	w e r -	('day', 'adan1251-lawah', 'wɛd saha')	datasets/Kabola-Monbang.tsv		
7	morning	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	lalami	nan	l a l a m i	('morning', 'adan1251-lawah', 'lalami')	datasets/Kabola-Monbang.tsv		
8	yesterday	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	kumi	nan	#NAME?	('yesterday', 'kabo1247', 'kumi')	datasets/Kabola-Monbang.tsv		
9	day before yesterday	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	otoriŋ olomi	nan	- o t o r i ŋ - _ - o - - l o m i	('day before yesterday', 'adan1251-lawah', 'ʔotariŋ alumi')	datasets/Kabola-Monbang.tsv		
10	tomorrow	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	dilele	nan	d i l e l e	('tomorrow', 'adan1251-lawah', 'dilɛlɛ')	datasets/Kabola-Monbang.tsv		
11	day after tomorrow	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	holo	nan	- - - - - - - h o l o - - - - - -	('day after tomorrow', 'abui1241-fuime', 'ajoku')	datasets/Kabola-Monbang.tsv		
13	cloud	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	la:b	(also fog)	- - l aː b - -	('cloud', 'adan1251-lawah', 'la:b')	datasets/Kabola-Monbang.tsv		
14	wind	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	so:mi	nan	nan	('wind', 'abui1241-fuime', 'timoi')	datasets/Kabola-Monbang.tsv		
15	rain	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	nui	nan	#NAME?	('rain', 'abui1241-fuime', 'anui')	datasets/Kabola-Monbang.tsv		
17	rainbow	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	la:b	(?? same as fog and cloud?)	l aː b	('rainbow', 'kabo1247', 'la:b')	datasets/Kabola-Monbang.tsv		
18	thunder	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	harib	bunyinya	h a r i b - - - - - -	('thunder', 'adan1251-lawah', 'harib')	datasets/Kabola-Monbang.tsv		
19	lightning	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	'mereʔ	kilatan, cahaya	m é r e ʔ	('lightning', 'baka1276', 'bil məlélak')	datasets/Kabola-Monbang.tsv		
20	earthquake	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	tijoko	nan	- t i y o k o -	('earthquake', 'abui1241-fuime', 'taijoka')	datasets/Kabola-Monbang.tsv		
21	fog	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	la:b	(same as cloud); kabut = fog, NOT embun = air yang menetes dari daun di pagi hari	l aː b	('fog', 'kabo1247', 'la:b')	datasets/Kabola-Monbang.tsv		
22	river; stream	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	mɔl	nan	m ɔ - - l	('river; stream', 'adan1251-lawah', 'møl')	datasets/Kabola-Monbang.tsv		
26	mountain	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	bini	nan	b i n i	('mountain', 'adan1251-lawah', 'bini')	datasets/Kabola-Monbang.tsv		
27	hill; ridge	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	bini	nan	b i n i	('hill; ridge', 'kabo1247', 'bini')	datasets/Kabola-Monbang.tsv		
28	village	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	baŋ eme	nan	b a ŋ _ e m e	('village', 'adan1251-lawah', 'baŋ ʔɛme')	datasets/Kabola-Monbang.tsv		
29	land; soil	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	waʔai	nan	w a ʔ a i	('land; soil', 'adan1251-lawah', 'faʔai')	datasets/Kabola-Monbang.tsv		
30	Earth	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	peliʔi	nan	p e l i ʔ i	('Earth', 'kabo1247', 'peliʔi')	datasets/Kabola-Monbang.tsv		
31	hole	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	'lowo	nan	l ów o	('hole', 'kabo1247', 'lówo')	datasets/Kabola-Monbang.tsv		
32	stone	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	wi	nan	nan	('stone', 'abui1241-fuime', 'vi')	datasets/Kabola-Monbang.tsv		
33	coral (rock)	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	koʔoi	batu (rock) di pantai	k o ʔ o i - - - -	('coral (rock)', 'adan1251-lawah', 'ʔoʔoi fui')	datasets/Kabola-Monbang.tsv		
34	(coral) reef	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	tonkar	karang (reef) di dasar laut	nan	"('(coral) reef', 'alor1249-sar-a', ""'tomi"")"	datasets/Kabola-Monbang.tsv		
35	water (fresh)	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	ʤiʔ	nan	- - j i ʔ -	('water (fresh)', 'abui1241-fuime', 'je')	datasets/Kabola-Monbang.tsv		
36	sea; sea water	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	taŋ	nan	t a ŋ -	('sea; sea water', 'abui1241-fuime', 'tama')	datasets/Kabola-Monbang.tsv		
37	wave	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	bobo	nan	b o b o	('wave', 'abui1241-fuime', 'fou')	datasets/Kabola-Monbang.tsv		
38	foam	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	bʊbuj	nan	b ʊ b u y	('foam', 'kabo1247', 'bʊbuy')	datasets/Kabola-Monbang.tsv		
39	forest	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	tapahaʔ	nan	t a p a - - - h a ʔ	('forest', 'adan1251-lawah', 'bana')	datasets/Kabola-Monbang.tsv		
40	field	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	butuʔ	nan	b u t u ʔ	('field', 'kabo1247', 'butuʔ')	datasets/Kabola-Monbang.tsv		
43	garden	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	dil	nan	d i l	('garden', 'adan1251-lawah', 'dil')	datasets/Kabola-Monbang.tsv		
45	road; path; way	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	ʤeʔ	nan	j e ʔ	('road; path; way', 'kabo1247', 'jeʔ')	datasets/Kabola-Monbang.tsv		
45	road; path; way	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	jeʔ	nan	y e ʔ	('road; path; way', 'kabo1247', 'yeʔ')	datasets/Kabola-Monbang.tsv		
46	canoe	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	o:j	nan	#NAME?	('canoe', 'hama1240', 'ɛ')	datasets/Kabola-Monbang.tsv		
51	rope	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	siwaŋ	nan	s i w a ŋ	('rope', 'kabo1247', 'siwaŋ')	datasets/Kabola-Monbang.tsv		
52	machete	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	'spada	nan	s - p á d a -	"('machete', 'abui1241-petle', ""sa.'pa.da"")"	datasets/Kabola-Monbang.tsv		
53	axe	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	baliŋ boʔoboj	nan	nan	('axe', 'abui1241-fuime', 'faliŋ')	datasets/Kabola-Monbang.tsv		
54	spear	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	'kaba	nan	k á b a - -	"('spear', 'abui1241-takal', ""kä.'fäk"")"	datasets/Kabola-Monbang.tsv		
55	burden stick	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	peheʔ	(there was much confusion between ‘burden stick’, ‘bow’ and ‘arrow’; these could be mixed up)	p e h e ʔ	('burden stick', 'kabo1247', 'peheʔ')	datasets/Kabola-Monbang.tsv		
56	stick; pole	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	ti bo	(= tree stalk)	t i _ b o	('stick; pole', 'kabo1247', 'ti bo')	datasets/Kabola-Monbang.tsv		
57	digging stick	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	baliŋ	nan	b a l i ŋ	('digging stick', 'kabo1247', 'baliŋ')	datasets/Kabola-Monbang.tsv		
59	bow	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	koboriŋ	nan	k o b o r i ŋ	('bow', 'kabo1247', 'koboriŋ')	datasets/Kabola-Monbang.tsv		
60	arrow	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	u:l	nan	nan	"('arrow', 'abui1241-takal', ""kä.'fuq"")"	datasets/Kabola-Monbang.tsv		
61	knife	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	dur	nan	d u - - - r	('knife', 'abui1241-fuime', 'lui')	datasets/Kabola-Monbang.tsv		
62	comb	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	siwaŋ	 (same as rope???)	s i w a ŋ -	('comb', 'kabo1247', 'siwaŋ')	datasets/Kabola-Monbang.tsv		
63	mat	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	bloni	nan	b l o n i -	('mat', 'kabo1247', 'bloni')	datasets/Kabola-Monbang.tsv		
64	needle	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	'bataŋ	nan	b á t a ŋ	('needle', 'adan1251-lawah', 'bátuŋ')	datasets/Kabola-Monbang.tsv		
67	fire	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	awal	nan	a - w a - l - - - -	('fire', 'abui1241-fuime', 'ara')	datasets/Kabola-Monbang.tsv		
68	smoke	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	a:b bəneʔo	nan	aa b - - _ b ə n e ʔ o -	('smoke', 'adan1251-lawah', 'awai banoʔo')	datasets/Kabola-Monbang.tsv		
68	smoke	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	awal bəneʔo	nan	a w a l _ b ə n e ʔ o -	('smoke', 'adan1251-lawah', 'awai banoʔo')	datasets/Kabola-Monbang.tsv		
71	fireplace ash	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	mɔl	(same as river???); NOT 'debu' (dust, after you have been sweeping)	m ɔ l - - -	('fireplace ash', 'adan1251-lawah', 'ma:lu')	datasets/Kabola-Monbang.tsv		
72	mud	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	'para	nan	p á r a	('mud', 'adan1251-lawah', 'parah')	datasets/Kabola-Monbang.tsv		
73	clay	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	waʔaj	nan	w a ʔ a y	('clay', 'adan1251-lawah', 'faʔai fiu')	datasets/Kabola-Monbang.tsv		
74	gravel	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	(w)uj ka'wal	nan	u y _ k a - - w á l	('gravel', 'kabo1247', '(w)uy kawál')	datasets/Kabola-Monbang.tsv		
75	sand	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	3Alor, 1West	woitʤo	nan	w o i t j o	('sand', 'kabo1247', 'woitjo')	datasets/Kabola-Monbang.tsv		
