Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	buluŋ	nan	ˈb u l u n g - -	"('sky', 'kaer1234-abang', ""'buluŋ"")"	datasets/Kaera-Abangiwang.tsv		
1	sun	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'wɛr	nan	ˈw ɛ r - - - -	('sun', 'kaer1234-abang', 'wɛr')	datasets/Kaera-Abangiwang.tsv		
2	moon	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ur	nan	nan	('moon', 'kaer1234-abang', 'ur')	datasets/Kaera-Abangiwang.tsv		
3	star	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	i'plax	nan	nan	('star', 'kaer1234-abang', 'iplaqx')	datasets/Kaera-Abangiwang.tsv		
4	night	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	i'xano	nan	- - - - - - i ˈx - a n o	"('night', 'abui1241-petle', ""ak.'un"")"	datasets/Kaera-Abangiwang.tsv		
5	day	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'wɛr	nan	ˈw ɛ r -	('day', 'kaer1234-abang', 'wɛr')	datasets/Kaera-Abangiwang.tsv		
6	year	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	tu:ŋ	nan	t uː ŋ - -	('year', 'abui1241-petle', 'tuŋ')	datasets/Kaera-Abangiwang.tsv		
14	wind	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	xe:u	nan	x eː - - u - -	('wind', 'alor1249-sar-n', 'qayaw')	datasets/Kaera-Abangiwang.tsv		
21	fog	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ba'na:b baxi	nan	b a ˈn aː b _ b a x i	"('fog', 'kaer1234-abang', ""bə'nab_'baxi"")"	datasets/Kaera-Abangiwang.tsv		
22	river; stream	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ir 'boi	nan	i r - _ ˈb o - - i	('river; stream', 'kaer1234-abang', 'ir_boi')	datasets/Kaera-Abangiwang.tsv		
25	lake	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ir 'gɛt 'wado	nan	i r _ ˈg ɛ t _ ˈw a d o	"('lake', 'kaer1234-abang', ""u'jui"")"	datasets/Kaera-Abangiwang.tsv		
26	mountain	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bu'ku	nan	nan	"('mountain', 'kaer1234-abang', ""bu'ku:"")"	datasets/Kaera-Abangiwang.tsv		
29	land; soil	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ma'xa	nan	m a ˈx - a -	"('land; soil', 'kaer1234-abang', ""ma'qxa"")"	datasets/Kaera-Abangiwang.tsv		
32	stone	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	wɑr	nan	nan	('stone', 'kaer1234-abang', 'war')	datasets/Kaera-Abangiwang.tsv		
39	forest	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	xa'xui	nan	x a ˈx u i	"('forest', 'kaer1234-abang', ""qa'qui"")"	datasets/Kaera-Abangiwang.tsv		
45	road; path; way	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	u'gut	nan	- u ˈg u t	"('road; path; way', 'kaer1234-abang', ""ʤu'gut"")"	datasets/Kaera-Abangiwang.tsv		
67	fire	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	a:d	nan	aː d	"('fire', 'kaer1234-abang', ""ad_'wasiŋ"")"	datasets/Kaera-Abangiwang.tsv		
68	smoke	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	a:d bənax	nan	aː d - - _ b ə n a x - -	"('smoke', 'kaer1234-abang', ""ad_ba'na:xo"")"	datasets/Kaera-Abangiwang.tsv		
70	dust; fine earth	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bram	nan	b - r a m	"('dust; fine earth', 'kaer1234-abang', ""bə'ra:m"")"	datasets/Kaera-Abangiwang.tsv		
76	grass; brush	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	tɛ:	nan	t ɛː - -	('grass; brush', 'kaer1234-abang', 'tɛ')	datasets/Kaera-Abangiwang.tsv		
84	tree	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	tei	nan	nan	('tree', 'kaer1234-abang', 'tei')	datasets/Kaera-Abangiwang.tsv		
86	bark (of tree)	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'tei 'kɔi	nan	nan	"('bark (of tree)', 'kaer1234-abang', ""'tei_koi"")"	datasets/Kaera-Abangiwang.tsv		
87	leaf	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'tei 'wa	nan	ˈt e i _ ˈw a - - - -	"('leaf', 'kaer1234-abang', ""'tei_wa"")"	datasets/Kaera-Abangiwang.tsv		
91	root	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	a'ki	nan	a ˈk i	"('root', 'kaer1234-abang', ""(tei)_a'ki"")"	datasets/Kaera-Abangiwang.tsv		
92	fruit	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'tei 'isi	nan	ˈt e - i _ - ˈi s i -	('fruit', 'kaer1234-abang', 'tei_isi')	datasets/Kaera-Abangiwang.tsv		
93	seed	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	gu'ax	nan	g u ˈa x	('seed', 'kaer1234-abang', 'guaq')	datasets/Kaera-Abangiwang.tsv		
96	husked rice; uncooked rice	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	mar	nan	m a r	"('husked rice; uncooked rice', 'kaer1234-abang', ""'mar"")"	datasets/Kaera-Abangiwang.tsv		
98	cooked rice	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'na ,xɑr	nan	nan	"('cooked rice', 'kaer1234-abang', ""'naqar"")"	datasets/Kaera-Abangiwang.tsv		
102	betel nut; areca	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bui	nan	nan	('betel nut; areca', 'kaer1234-abang', 'bui')	datasets/Kaera-Abangiwang.tsv		
103	betel vine	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	mat	nan	nan	('betel vine', 'kaer1234-abang', 'mat')	datasets/Kaera-Abangiwang.tsv		
104	lime	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	wɑr	nan	nan	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	datasets/Kaera-Abangiwang.tsv		
104	lime	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ka'pur	nan	nan	"('lime', 'kaer1234-abang', ""a'war"")"	datasets/Kaera-Abangiwang.tsv		
105	chew betel	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'mat 'si:	nan	ˈm a t _ ˈs iː	"('chew betel', 'kaer1234-abang', ""'mat_si"")"	datasets/Kaera-Abangiwang.tsv		
106	sweet potato	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ku'kasi	nan	nan	('sweet potato', 'abui1241-takal', 'kɔ')	datasets/Kaera-Abangiwang.tsv		
107	cassava	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bɛŋkuk	nan	nan	"('cassava', 'kaer1234-abang', ""'bɛŋkuk"")"	datasets/Kaera-Abangiwang.tsv		
108	taro	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	keladi	nan	k e l a d i	"('taro', 'fata1247', ""ka'lahi"")"	datasets/Kaera-Abangiwang.tsv		
109	sago	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ku'dubuk	nan	- - - k u ˈd u b u k	"('sago', 'kaer1234', ""ku'dubuk,_bur"")"	datasets/Kaera-Abangiwang.tsv		
109	sago	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bur	nan	- - - k u ˈd u b u k	"('sago', 'kaer1234', ""ku'dubuk,_bur"")"	datasets/Kaera-Abangiwang.tsv		
128	milk	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	tu	nan	t u -	('milk', 'kaer1234-abang', 'tu:')	datasets/Kaera-Abangiwang.tsv		
129	salt	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	i'sar	nan	nan	"('salt', 'kaer1234-abang', ""i'sar"")"	datasets/Kaera-Abangiwang.tsv		
130	fat	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ta'ma:	nan	t a ˈm - - aː	"('fat', 'abui1241-takal', ""tä.mä.'dä"")"	datasets/Kaera-Abangiwang.tsv		
131	flesh; meat	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	xu'bui	nan	x u ˈb u i	('flesh; meat', 'adon1237', 'ˈʔumɜ̃')	datasets/Kaera-Abangiwang.tsv		
131	flesh; meat	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	u'muŋ	nan	x u ˈb u i	"('flesh; meat', 'kaer1234-abang', ""u'muŋ"")"	datasets/Kaera-Abangiwang.tsv		
132	bone	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ki'ri	nan	nan	"('bone', 'kaer1234-abang', ""ki'ri"")"	datasets/Kaera-Abangiwang.tsv		
136	blood	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	wei	nan	nan	('blood', 'kaer1234-abang', 'wei')	datasets/Kaera-Abangiwang.tsv		
139	liver	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	gɔ:m	nan	g ɔː m	"('liver', 'kaer1234-abang', ""ti'lil"")"	datasets/Kaera-Abangiwang.tsv		
141	guts	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	gudu'yax	nan	g u d u ˈy a x	"('guts', 'kaer1234-abang', ""gu-du'jaq"")"	datasets/Kaera-Abangiwang.tsv		
145	head	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'gɔŋ ,kul	nan	ˈg ɔ - - ŋ - - -	"('head', 'kaer1234-abang', ""'toŋkul"")"	datasets/Kaera-Abangiwang.tsv		
146	hair	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'gɔŋ ,wa	nan	ˈg ɔ - - ŋ - - - -	"('hair', 'kaer1234-abang', ""'toŋwa"")"	datasets/Kaera-Abangiwang.tsv		
148	eye	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'gɛt gu,ax	nan	ˈg ɛ t _ g u -	"('eye', 'kaer1234-abang', ""tet_'guax"")"	datasets/Kaera-Abangiwang.tsv		
149	ear	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	gu'ar 'wa	nan	nan	"('ear', 'kaer1234-abang', ""tu'ar"")"	datasets/Kaera-Abangiwang.tsv		
150	nose	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	gi'mim	nan	nan	"('nose', 'kaer1234-abang', ""ti'mim"")"	datasets/Kaera-Abangiwang.tsv		
151	mouth	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	gu'a	nan	nan	"('mouth', 'kaer1234-abang', ""tu'a"")"	datasets/Kaera-Abangiwang.tsv		
153	lips	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	gu'a tu'pa	nan	g u ˈa _ t u ˈp a	"('lips', 'kaer1234-abang', ""tu'a_tu'paɁ"")"	datasets/Kaera-Abangiwang.tsv		
154	teeth	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'gwa,siŋ	nan	nan	"('teeth', 'kaer1234-abang', ""tua_'siŋ"")"	datasets/Kaera-Abangiwang.tsv		
155	tongue	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'gleb	nan	nan	"('tongue', 'abui1241-takal', ""tä.'li.fi"")"	datasets/Kaera-Abangiwang.tsv		
156	neck	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ga'tɑx	nan	g a ˈt ɑ x	"('neck', 'kaer1234-abang', ""ta'tax"")"	datasets/Kaera-Abangiwang.tsv		
163	arm	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ga'taŋ	nan	nan	"('arm', 'kaer1234-abang', ""ta'taŋ"")"	datasets/Kaera-Abangiwang.tsv		
163	arm	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	goto'ku	nan	nan	('arm', 'abui1241-fuime', 'tatang')	datasets/Kaera-Abangiwang.tsv		
163	arm	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'gamaŋ	nan	nan	('arm', 'abui1241-fuime', 'tatang')	datasets/Kaera-Abangiwang.tsv		
164	hand	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'gataŋ	nan	ˈg a t a ŋ - - - - - - -	"('hand', 'kaer1234-abang', ""ta'taŋ_wa"")"	datasets/Kaera-Abangiwang.tsv		
167	fingernail	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ga'taŋ ku'siŋ	nan	nan	"('fingernail', 'kaer1234-abang', ""ta'taŋ_ku'siŋ"")"	datasets/Kaera-Abangiwang.tsv		
168	breast	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	gɛtu	nan	nan	('breast', 'adan1251-lawah', 'toʔ')	datasets/Kaera-Abangiwang.tsv		
168	breast	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	tu:	nan	nan	('breast', 'kaer1234-abang', 'tu:')	datasets/Kaera-Abangiwang.tsv		
170	navel	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	gɔ'tai	nan	- - - - g ɔ ˈt a i	"('navel', 'kaer1234-abang', ""'totaj"")"	datasets/Kaera-Abangiwang.tsv		
174	leg	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ga'bat	nan	g a ˈb a t -	"('leg', 'kaer1234-abang', ""ta'bat"")"	datasets/Kaera-Abangiwang.tsv		
174	leg	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	goto'ku	nan	g a ˈb a t -	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	datasets/Kaera-Abangiwang.tsv		
174	leg	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'gamaŋ	nan	g a ˈb a t -	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	datasets/Kaera-Abangiwang.tsv		
175	foot	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'gabat	nan	( ˈg ) a ( - ) - b a t - - -	"('foot', 'kaer1234-abang', ""ta'bat_wa"")"	datasets/Kaera-Abangiwang.tsv		
178	knee	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'gabat 'uku	nan	ˈg a b a t - - _ ˈu k u -	"('knee', 'kaer1234-abang', ""ta'bat_uku"")"	datasets/Kaera-Abangiwang.tsv		
179	back	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'ga:s 'ɛr	nan	nan	"('back', 'kaer1234-abang', ""'tɛwariŋ"")"	datasets/Kaera-Abangiwang.tsv		
182	skin	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	gɛ'koi	nan	nan	('skin', 'abui1241-fuime', 'tekul')	datasets/Kaera-Abangiwang.tsv		
