Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	fulɑŋ	nan	f u l ɑ ŋ - - -	"('sky', 'alor1247-pandai', ""'kalːeŋ"")"	datasets/Kafoa-Probur.tsv		
1	sun	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	uru	nan	- u r u - - -	('sun', 'abui1241-fuime', 'wari')	datasets/Kafoa-Probur.tsv		
2	moon	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	ʔu.a	nan	ʔ u - a - - ( - - - - - - - - )	('moon', 'adan1251-lawah', 'hu:l')	datasets/Kafoa-Probur.tsv		
3	star	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	fʊrfɑl	nan	f ʊ r f ɑ l	('star', 'abui1241-fuime', 'fɪri')	datasets/Kafoa-Probur.tsv		
4	night	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	ɑkʊ:n	nan	- - - - - - ɑ k - ʊʊ n -	"('night', 'abui1241-petle', ""ak.'un"")"	datasets/Kafoa-Probur.tsv		
5	day	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	tɛŋ	nan	t ɛ - - ŋ -	('day', 'abui1241-fuime', 'tadeŋ')	datasets/Kafoa-Probur.tsv		
13	cloud	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	tɑbɛkɛl	nan	t ɑ b ɛ - - - k ɛ l	"('cloud', 'abui1241-takal', ""tä.be̞ä.'kil"")"	datasets/Kafoa-Probur.tsv		
14	wind	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	hɪmɔr	nan	nan	('wind', 'abui1241-fuime', 'timoi')	datasets/Kafoa-Probur.tsv		
21	fog	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	tɑbɛkɛl	kabut = fog, NOT embun = air yang menetes dari daun di pagi hari	t ɑ b ɛ k ɛ l	('fog', 'abui1241-fuime', 'tabo')	datasets/Kafoa-Probur.tsv		
22	river; stream	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	kulɑ	nan	k u l ɑ - - - - -	('river; stream', 'kafo1240', 'kulɑ')	datasets/Kafoa-Probur.tsv		
25	lake	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	ijɑpɑrɑ	nan	i j ɑ p ɑ r ɑ	('lake', 'kafo1240', 'ijɑpɑrɑ')	datasets/Kafoa-Probur.tsv		
26	mountain	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	rol	nan	r o - l	"('mountain', 'alor1247-besar', ""'dɔla balɔ'lɔkɔŋ"")"	datasets/Kafoa-Probur.tsv		
29	land; soil	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	anɑi	nan	- a n ɑ i -	('land; soil', 'abui1241-fuime', 'anei')	datasets/Kafoa-Probur.tsv		
32	stone	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	woi	nan	nan	('stone', 'abui1241-fuime', 'vi')	datasets/Kafoa-Probur.tsv		
35	water (fresh)	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	ija	nan	- i j a - -	('water (fresh)', 'abui1241-fuime', 'je')	datasets/Kafoa-Probur.tsv		
39	forest	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	kupɑi	nan	k u p ɑ i	"('forest', 'abui1241-takal', ""ku.'päi"")"	datasets/Kafoa-Probur.tsv		
43	garden	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	tej	nan	#NAME?	('garden', 'kafo1240', 'tej')	datasets/Kafoa-Probur.tsv		
45	road; path; way	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	ʔijɛ	nan	ʔ i j ɛ	('road; path; way', 'kafo1240', 'ʔijɛ')	datasets/Kafoa-Probur.tsv		
46	canoe	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	ʔɛi	nan	ʔ ɛ i	('canoe', 'hama1240', 'ɛ')	datasets/Kafoa-Probur.tsv		
51	rope	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	hilɑ	nan	h i l ɑ -	('rope', 'kabo1247', 'siwaŋ')	datasets/Kafoa-Probur.tsv		
52	machete	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	3Alor, 1West	pɛdɑŋ	nan	#NAME?	"('machete', 'abui1241-petle', ""sa.'pa.da"")"	datasets/Kafoa-Probur.tsv		
