Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
1	sun	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	wɑtɪ	nan	w ɑ t ɪ - - -	"('sun', 'abui1241-fuime', 'wari')"	nan		
2	moon	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	wud	nan	nan	"('moon', 'abui1241-fuime', 'ije')"	nan		
3	star	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	ɑtɛybɑ	nan	ɑ t ɛ y b ɑ	"('star', 'kama1365', 'ɑtɛjbɑ')"	nan		
4	night	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	ɪtun	nan	- ɪ t u n -	"('night', 'kama1365', 'ɪtun')"	nan		
5	day	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	wɑtɪ	nan	w ɑ - t ɪ - -	"('day', 'kama1365', 'wɑtɪ')"	nan		
13	cloud	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	saful	nan	s a - - f u l -	"('cloud', 'kama1365', 'saful')"	nan		
14	wind	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	lɪwɪnɛʔ	nan	l ɪ w ɪ n ɛ ʔ	"('wind', 'kama1365', 'lɪwɪnɛʔ')"	nan		
14	wind	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	tɑmʊrɛʔ	nan	nan	"('wind', 'kama1365', 'tɑmʊrɛʔ')"	nan		
26	mountain	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	buk	nan	b u k -	"('mountain', 'kama1365', 'buk')"	nan		
30	Earth	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	fɪnɪŋ	nan	f ɪ n ɪ ŋ	"('Earth', 'kama1365', 'fɪnɪŋ')"	nan		
32	stone	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	wɔr	nan	w ɔ r -	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
35	water (fresh)	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	il	nan	#NAME?	"('water (fresh)', 'abui1241-fuime', 'je')"	nan		
43	garden	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	finiŋ	nan	f i n i ŋ	"('garden', 'kama1365', 'finiŋ')"	nan		
45	road; path; way	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	yebɑ	nan	y e b - - ɑ	"('road; path; way', 'kama1365', 'yebɑ')"	nan		
67	fire	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	ɑtɪ	nan	#NAME?	"('fire', 'kama1365', 'ɑtɪ')"	nan		
68	smoke	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	punɑ	nan	p u n ɑ - - - -	"('smoke', 'adan1251-lawah', 'awai_banoʔo')"	nan		
71	fireplace ash	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	ator	"NOT 'debu' (dust, after you have been sweeping)"	a t o r -	"('fireplace ash', 'kama1365', 'ator')"	nan		
75	sand	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	siraiŋ	nan	nan	"('sand', 'kama1365', 'siraiŋ')"	nan		
77	house	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	sʊwɑy	nan	s ʊ w ɑ - y	"('house', 'abui1241-fuime', 'fala')"	nan		
84	tree	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	bɔŋ	nan	b ɔ ŋ -	"('tree', 'kama1365', 'bɔŋ')"	nan		
87	leaf	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	wɪrɑ	nan	w ɪ r ɑ	"('leaf', 'kama1365', 'wɪrɑ')"	nan		
91	root	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	ali:	nan	a l ii	"('root', 'kama1365', 'ali:')"	nan		
92	fruit	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	ix	nan	- i x - - - - - - -	"('fruit', 'kama1365', 'ix')"	nan		
121	banana	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	maw	nan	nan	"('banana', 'kama1365', 'maw')"	nan		
132	bone	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	sɛl	nan	nan	"('bone', 'buna1278-bobon', 'sisal')"	nan		
136	blood	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	we	nan	nan	"('blood', 'abui1241-fuime', 'we')"	nan		
144	stomach; belly	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	nɑpʊŋ	nan	- n ɑ p ʊ ŋ - -	"('stomach; belly', 'kama1365', 'nɑpʊŋ')"	nan		
