Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	keda1252-leuwa	Kedang-Léuwayang	Austronesian	8Lembata	ælæŋ	nan	#NAME?	"('sky', 'alor1247-pandai', ""'kalːeŋ"")"	datasets/Kedang-Léuwayang.tsv		
1	sun	keda1252-leuwa	Kedang-Léuwayang	Austronesian	8Lembata	lɔjɔ	nan	l ɔ j ɔ - - - - - -	"('sun', 'alor1247-baran', ""la'ra"")"	datasets/Kedang-Léuwayang.tsv		
1	sun	keda1252-leuwa	Kedang-Léuwayang	Austronesian	8Lembata	lɔjɔ matan	nan	l ɔ j ɔ _ m a t a n	"('sun', 'alor1247-baran', ""la'ra"")"	datasets/Kedang-Léuwayang.tsv		
2	moon	keda1252-leuwa	Kedang-Léuwayang	Austronesian	8Lembata	u̘la lɔjɔ	nan	- u̘ l a _ - ( l ɔ j ɔ - - - - )	('moon', 'adan1251-lawah', 'hu:l')	datasets/Kedang-Léuwayang.tsv		
3	star	keda1252-leuwa	Kedang-Léuwayang	Austronesian	8Lembata	malæ manuʔ	nan	m a l æ _ m a n u ʔ	"('star', 'alor1247-baran', ""ta'mala"")"	datasets/Kedang-Léuwayang.tsv		
3	star	keda1252-leuwa	Kedang-Léuwayang	Austronesian	8Lembata	malæ tala	nan	m a l æ _ t a l a -	"('star', 'alor1247-baran', ""ta'mala"")"	datasets/Kedang-Léuwayang.tsv		
3	star	keda1252-leuwa	Kedang-Léuwayang	Austronesian	8Lembata	navun	nan	n a v u n	('star', 'keda1252-leuwa', 'navun')	datasets/Kedang-Léuwayang.tsv		
4	night	keda1252-leuwa	Kedang-Léuwayang	Austronesian	8Lembata	ubεn	nan	#NAME?	('night', 'keda1252-leuwa', 'ubεn')	datasets/Kedang-Léuwayang.tsv		
5	day	keda1252-leuwa	Kedang-Léuwayang	Austronesian	8Lembata	haraʔ	nan	h a r a ʔ	('day', 'fata1247', 'hara')	datasets/Kedang-Léuwayang.tsv		
5	day	keda1252-leuwa	Kedang-Léuwayang	Austronesian	8Lembata	lɔjɔ	nan	l ɔ j ɔ - - -	"('day', 'alor1247-baran', ""la'ra:"")"	datasets/Kedang-Léuwayang.tsv		
