Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	buləgɛn	nan	b u l ə - g ɛ n	"('sky', 'alor1247-pandai', ""'kalːeŋ"")"	datasets/Klon-Bring.tsv		
1	sun	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	mədi	nan	m ə d i - - -	"('sun', 'abui1241-fuime', 'wari')"	datasets/Klon-Bring.tsv		
2	moon	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	ʊr	nan	nan	"('moon', 'abui1241-fuime', 'ije')"	datasets/Klon-Bring.tsv		
3	star	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	ɪb	nan	- ɪ b -	"('star', 'abui1241-fuime', 'fɪri')"	datasets/Klon-Bring.tsv		
4	night	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	əkɑn	nan	- - ə k ɑ n - -	"('night', 'abui1241-petle', ""ak.'un"")"	datasets/Klon-Bring.tsv		
5	day	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	mədi	nan	m ə d i	"('day', 'kelo1247-bring', 'mədi')"	datasets/Klon-Bring.tsv		
13	cloud	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	bɔntu	nan	b ɔ n - - t u	"('cloud', 'alor1249-sar-a', 'mana:f')"	datasets/Klon-Bring.tsv		
13	cloud	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	teʔeh	nan	t e ʔ e h - - - - -	"('cloud', 'abui1241-takal', ""tä.be̞ä.'kil"")"	datasets/Klon-Bring.tsv		
14	wind	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	nəmɛr	nan	nan	"('wind', 'abui1241-fuime', 'timoi')"	datasets/Klon-Bring.tsv		
21	fog	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	bontui	"kabut = fog, NOT embun = air yang menetes dari daun di pagi hari"	#NAME?	"('fog', 'kelo1247-bring', 'bontui')"	datasets/Klon-Bring.tsv		
22	river; stream	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	wɛr	nan	w ɛ r -	"('river; stream', 'kelo1247-bring', 'wɛr')"	datasets/Klon-Bring.tsv		
25	lake	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	ərɑgɪtɪp	nan	ə r ɑ g ɪ t ɪ p	"('lake', 'kelo1247-bring', 'ərɑgɪtɪp')"	datasets/Klon-Bring.tsv		
26	mountain	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	dɔl	nan	#NAME?	"('mountain', 'alor1247-besar', ""'dɔla balɔ'lɔkɔŋ"")"	datasets/Klon-Bring.tsv		
28	village	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	eben	nan	- e b e n -	"('village', 'adan1251-lawah', 'baŋ ʔɛme')"	datasets/Klon-Bring.tsv		
29	land; soil	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	məkɛʔ	nan	m ə k - ɛ ʔ	"('land; soil', 'alor1249-sar-a', ""ma'xaʔ"")"	datasets/Klon-Bring.tsv		
32	stone	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	wɔr	nan	w ɔ r -	"('stone', 'abui1241-fuime', 'vi')"	datasets/Klon-Bring.tsv		
35	water (fresh)	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	arɑ	nan	- a r - ɑ	"('water (fresh)', 'abui1241-fuime', 'je')"	datasets/Klon-Bring.tsv		
39	forest	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	ʔɛh	nan	ʔ ɛ h	"('forest', 'keda1252-leuwa', 'ɛ̘ʔa kain')"	datasets/Klon-Bring.tsv		
43	garden	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	tɛr	nan	t ɛ r	"('garden', 'kafo1240', 'tej')"	datasets/Klon-Bring.tsv		
45	road; path; way	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	ɛgɛʔ	nan	#NAME?	"('road; path; way', 'blag1240-bama', 'iga')"	datasets/Klon-Bring.tsv		
46	canoe	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	ɛi	nan	ɛ i	"('canoe', 'adan1251-lawah', 'ei')"	datasets/Klon-Bring.tsv		
51	rope	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	hɑlɑr	nan	h ɑ l ɑ r -	"('rope', 'abui1241-petle', ""si.'la"")"	datasets/Klon-Bring.tsv		
52	machete	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	pɛd	nan	- - p ɛ d - -	"('machete', 'abui1241-petle', ""sa.'pa.da"")"	datasets/Klon-Bring.tsv		
53	axe	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	bɛi	nan	nan	"('axe', 'abui1241-fuime', 'faliŋ')"	datasets/Klon-Bring.tsv		
54	spear	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	kəbɑk	nan	k ə b ɑ k	"('spear', 'abui1241-takal', ""kä.'fäk"")"	datasets/Klon-Bring.tsv		
61	knife	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	dʊ:r	nan	d ʊʊ - r -	"('knife', 'abui1241-fuime', 'lui')"	datasets/Klon-Bring.tsv		
62	comb	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	kir	nan	k i - - - r -	"('comb', 'abui1241-fuime', 'ke:ti')"	datasets/Klon-Bring.tsv		
