Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	alor1247-munas	Alorese-Munaseli	Austronesian	1Pantar, 2East	'laŋi	nan	- 'l a ŋ i -	"('sky', 'alor1247-munas', ""'laŋi"")"	datasets/Munaseli.tsv		
1.0	sun	alor1247-munas	Alorese-Munaseli	Austronesian	1Pantar, 2East	lə'rːa	nan	l ə 'rː - - - - - a -	"('sun', 'alor1247-baran', ""la'ra"")"	datasets/Munaseli.tsv		
2.0	moon	alor1247-munas	Alorese-Munaseli	Austronesian	1Pantar, 2East	'wulaŋ	nan	'w u l a ŋ	"('moon', 'alor1247-baran', ""'fulaŋ"")"	datasets/Munaseli.tsv		
3.0	star	alor1247-munas	Alorese-Munaseli	Austronesian	1Pantar, 2East	'mala	nan	- - - - - - - 'm a l a -	"('star', 'alor1247-baran', ""ta'mala"")"	datasets/Munaseli.tsv		
4.0	night	alor1247-munas	Alorese-Munaseli	Austronesian	1Pantar, 2East	mə'rːɛŋ	nan	- - m ə 'rː - - - ɛ - - ŋ -	"('night', 'abui1241-petle', ""ak.'un"")"	datasets/Munaseli.tsv		
5.0	day	alor1247-munas	Alorese-Munaseli	Austronesian	1Pantar, 2East	la'ra	nan	l a 'r a -	('day', 'abui1241-petle', 'leŋ')	datasets/Munaseli.tsv		
6.0	year	alor1247-munas	Alorese-Munaseli	Austronesian	1Pantar, 2East	'tuŋ	nan	- 't u - ŋ - - - -	('year', 'abui1241-petle', 'tuŋ')	datasets/Munaseli.tsv		
6.0	year	alor1247-munas	Alorese-Munaseli	Austronesian	1Pantar, 2East	'nuŋ	(lasting) for years	- - - - 'n u - - ŋ	('year', 'abui1241-petle', 'tuŋ')	datasets/Munaseli.tsv		
6.0	year	alor1247-munas	Alorese-Munaseli	Austronesian	1Pantar, 2East	'nuŋ-'nuŋ	(lasting) for years and years	- 'n u ŋ -' n - - u	('year', 'abui1241-petle', 'tuŋ')	datasets/Munaseli.tsv		
7.0	morning	alor1247-munas	Alorese-Munaseli	Austronesian	1Pantar, 2East	'wuraʔ	nan	'w u r a - - ʔ -	"('morning', 'alor1247-besar', ""fu'ra-fu'ra"")"	datasets/Munaseli.tsv		
8.0	yesterday	alor1247-munas	Alorese-Munaseli	Austronesian	1Pantar, 2East	'wiaŋ	nan	- - 'w ia ŋ	"('yesterday', 'alor1247-besar', ""'fiaŋ"")"	datasets/Munaseli.tsv		
9.0	day before yesterday	alor1247-munas	Alorese-Munaseli	Austronesian	1Pantar, 2East	'aru 'hɛlɛ	nan	'a r u _ 'h ɛ l ɛ	"('day before yesterday', 'alor1247-besar', ""'ɛrua 'neka"")"	datasets/Munaseli.tsv		
9.0	day before yesterday	alor1247-munas	Alorese-Munaseli	Austronesian	1Pantar, 2East	'ɛrua 'hɛlɛ	nan	'ɛ r ua _ 'h ɛ l ɛ	"('day before yesterday', 'alor1247-besar', ""'ɛrua 'neka"")"	datasets/Munaseli.tsv		
10.0	tomorrow	alor1247-munas	Alorese-Munaseli	Austronesian	1Pantar, 2East	'bouʔ 	nan	'b ou - ʔ _	('morning', 'lama1277-kalik', 'baˈɛn')	datasets/Munaseli.tsv		
11.0	day after tomorrow	alor1247-munas	Alorese-Munaseli	Austronesian	1Pantar, 2East	'ɛrua 	nan	- 'ɛ r ua _ - -	"('day after tomorrow', 'alor1247-besar', ""'ɛrua "")"	datasets/Munaseli.tsv		
