Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	rett1240	Reta	Timor-Alor-Pantar	2Reta	buraŋ	nan	b u r a ŋ - - -	('sky', 'adan1251-otvai', '’burɑŋ')	datasets/Reta.tsv		
1	sun	rett1240	Reta	Timor-Alor-Pantar	2Reta	vid	nan	v i d - - - -	('sun', 'abui1241-fuime', 'wari')	datasets/Reta.tsv		
2	moon	rett1240	Reta	Timor-Alor-Pantar	2Reta	úru	nan	nan	('moon', 'abui1241-fuime', 'ije')	datasets/Reta.tsv		
3	star	rett1240	Reta	Timor-Alor-Pantar	2Reta	id	nan	- i d -	('star', 'baka1276', 'id')	datasets/Reta.tsv		
4	night	rett1240	Reta	Timor-Alor-Pantar	2Reta	ilkakua	nan	i l k a k u a	('night', 'adan1251-lawah', 'dil ʔuʔu')	datasets/Reta.tsv		
5	day	rett1240	Reta	Timor-Alor-Pantar	2Reta	vid	nan	v i d	('day', 'adan1251-otvai', '’fed')	datasets/Reta.tsv		
7	morning	rett1240	Reta	Timor-Alor-Pantar	2Reta	kʊkʊ	nan	- k ʊ k ʊ -	('morning', 'rett1240', 'kʊkʊ')	datasets/Reta.tsv		
8	yesterday	rett1240	Reta	Timor-Alor-Pantar	2Reta	meleŋ	nan	m e l - - e ŋ - - -	('yesterday', 'alor1249-sar-a', 'məlah')	datasets/Reta.tsv		
9	day before yesterday	rett1240	Reta	Timor-Alor-Pantar	2Reta	banaŋ teleŋ alo	nan	b a n a ŋ _ t e l e ŋ _ a l o	('day before yesterday', 'rett1240', 'banaŋ teleŋ alo')	datasets/Reta.tsv		
9	day before yesterday	rett1240	Reta	Timor-Alor-Pantar	2Reta	vanaŋ teleŋ alo	nan	v a n a ŋ _ t e l e ŋ _ a l o	('day before yesterday', 'rett1240', 'banaŋ teleŋ alo')	datasets/Reta.tsv		
10	tomorrow	rett1240	Reta	Timor-Alor-Pantar	2Reta	piŋ	nan	- - p i - ŋ -	('tomorrow', 'baka1276', 'tóbaŋ')	datasets/Reta.tsv		
11	day after tomorrow	rett1240	Reta	Timor-Alor-Pantar	2Reta	aloʔ	nan	- - - - - - - - a l o ʔ - - - - -	('day after tomorrow', 'abui1241-fuime', 'ajoku')	datasets/Reta.tsv		
12	twilight; dawn	rett1240	Reta	Timor-Alor-Pantar	2Reta	ileli áɓal	nan	i l e l i _ á ɓ a l - - -	('twilight; dawn', 'baka1276', 'bil jara abuŋ')	datasets/Reta.tsv		
13	cloud	rett1240	Reta	Timor-Alor-Pantar	2Reta	bano	nan	b a n o - - -	('cloud', 'baka1276', 'bənaw')	datasets/Reta.tsv		
14	wind	rett1240	Reta	Timor-Alor-Pantar	2Reta	eaŋ	nan	#NAME?	"('wind', 'alor1247-baran', ""'aŋi"")"	datasets/Reta.tsv		
15	rain	rett1240	Reta	Timor-Alor-Pantar	2Reta	ʔai	nan	ʔ a - i	"('rain', 'alor1249-sar-a', ""'al"")"	datasets/Reta.tsv		
17	rainbow	rett1240	Reta	Timor-Alor-Pantar	2Reta	ketambaiŋ	nan	k e t a m b a i ŋ	('rainbow', 'blag1240-bama', 'qatambel')	datasets/Reta.tsv		
17	rainbow	rett1240	Reta	Timor-Alor-Pantar	2Reta	ketambeŋ	nan	k e t a m b e - ŋ	('rainbow', 'blag1240-bama', 'qatambel')	datasets/Reta.tsv		
18	thunder	rett1240	Reta	Timor-Alor-Pantar	2Reta	galágal	bunyinya	g a l á g a - l	('thunder', 'alor1249-sar-a', 'gragar')	datasets/Reta.tsv		
19	lightning	rett1240	Reta	Timor-Alor-Pantar	2Reta	ilmélak	kilatan, cahaya	#NAME?	('lightning', 'baka1276', 'bil məlélak')	datasets/Reta.tsv		
