Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	bu'la	nan	b u l á - - - -	('sky', 'adan1251-otvai', 'buraŋ')	datasets/Sar-Adiabang.tsv		
1	sun	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	war	nan	w a r - - - -	('sun', 'abui1241-fuime', 'wari')	datasets/Sar-Adiabang.tsv		
2	moon	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	wur	nan	nan	('moon', 'abui1241-fuime', 'ije')	datasets/Sar-Adiabang.tsv		
3	star	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	ʤif	nan	j i f -	('star', 'abui1241-fuime', 'fɪri')	datasets/Sar-Adiabang.tsv		
4	night	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	ibes	nan	i b e s	('night', 'alor1249-sar-a', 'ibes')	datasets/Sar-Adiabang.tsv		
5	day	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	war	nan	w a r -	('day', 'adan1251-lawah', 'wɛd_saha')	datasets/Sar-Adiabang.tsv		
7	morning	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	bes iwaŋ	nan	b e s _ - i w a ŋ -	('morning', 'alor1249-sar-a', 'bes_iwaŋ')	datasets/Sar-Adiabang.tsv		
8	yesterday	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	məlah	nan	m ə l a h - - - - -	('yesterday', 'alor1249-sar-a', 'məlah')	datasets/Sar-Adiabang.tsv		
9	day before yesterday	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	gataraq	nan	g a t a - r a q -	('day before yesterday', 'alor1249-sar-a', 'gataraq')	datasets/Sar-Adiabang.tsv		
10	tomorrow	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	bat	nan	b a t - -	('tomorrow', 'alor1249-sar-a', 'bat')	datasets/Sar-Adiabang.tsv		
11	day after tomorrow	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	tiraq	nan	- - t i - - r - a q - - -	('day after tomorrow', 'alor1249-sar-a', 'tiraq')	datasets/Sar-Adiabang.tsv		
12	twilight; dawn	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	ihar gafar	nan	i h a r _ g a f a r	('twilight; dawn', 'alor1249-sar-a', 'ihar_gafar')	datasets/Sar-Adiabang.tsv		
13	cloud	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	mana:f	nan	m a n aa f - -	('cloud', 'alor1249-sar-a', 'mana:f')	datasets/Sar-Adiabang.tsv		
14	wind	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	ʤerak	nan	j e r a k	('wind', 'alor1249-sar-a', 'jerak')	datasets/Sar-Adiabang.tsv		
15	rain	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	'al	nan	- á l -	('rain', 'alor1249-sar-a', 'ál')	datasets/Sar-Adiabang.tsv		
17	rainbow	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	teh ga'tan	nan	t e h _ g a t á n	('rainbow', 'alor1249-sar-a', 'teh_gatán')	datasets/Sar-Adiabang.tsv		
18	thunder	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	gragar	bunyinya	g - r a g a - r	('thunder', 'alor1249-sar-a', 'gragar')	datasets/Sar-Adiabang.tsv		
19	lightning	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	itimiʤah	kilatan, cahaya	i - - t i m i j a h	('lightning', 'alor1249-sar-a', 'itimiyah')	datasets/Sar-Adiabang.tsv		
20	earthquake	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	itoj	nan	i t o j	('earthquake', 'abui1241-fuime', 'taiyoka')	datasets/Sar-Adiabang.tsv		
21	fog	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	ibu:m	kabut = fog, NOT embun = air yang menetes dari daun di pagi hari	i b uu m	('fog', 'alor1249-sar-a', 'ibu:m')	datasets/Sar-Adiabang.tsv		
22	river; stream	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	qa'fa	nan	q a f á	('river; stream', 'alor1249-sar-a', 'qafá')	datasets/Sar-Adiabang.tsv		
26	mountain	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	ujah	nan	u j a h	('mountain', 'alor1249-sar-a', 'uyah')	datasets/Sar-Adiabang.tsv		
27	hill; ridge	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	ʤihil	nan	j i h i l	('hill; ridge', 'alor1249-sar-a', 'jihil')	datasets/Sar-Adiabang.tsv		
28	village	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	ha'faŋ	nan	h a f á ŋ -	('village', 'adan1251-lawah', 'baŋ_ʔɛme')	datasets/Sar-Adiabang.tsv		
29	land; soil	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	ma'xaʔ	nan	m a x - á ʔ	('land; soil', 'alor1249-sar-a', 'maxáʔ')	datasets/Sar-Adiabang.tsv		
30	Earth	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	id	id ‘earth’, por ‘island’	i d	('Earth', 'alor1249-sar-a', 'id')	datasets/Sar-Adiabang.tsv		
30	Earth	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	por	id ‘earth’, por ‘island’	p o r	('Earth', 'alor1249-sar-a', 'por')	datasets/Sar-Adiabang.tsv		
31	hole	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	ʤe'ga	nan	j e g á	('hole', 'alor1249-sar-a', 'jegá')	datasets/Sar-Adiabang.tsv		
32	stone	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	war	nan	w a r -	('stone', 'abui1241-fuime', 'vi')	datasets/Sar-Adiabang.tsv		
33	coral (rock)	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	(war) mə'rag	batu (rock) di pantai	m ə r á g	('coral (rock)', 'alor1249-sar-a', '(war)_mərág')	datasets/Sar-Adiabang.tsv		
34	(coral) reef	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	'tomi	karang (reef) di dasar laut	nan	('(coral) reef', 'alor1249-sar-a', 'tómi')	datasets/Sar-Adiabang.tsv		
35	water (fresh)	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	ʤir	nan	- j i r -	('water (fresh)', 'abui1241-fuime', 'je')	datasets/Sar-Adiabang.tsv		
36	sea; sea water	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	taŋ	nan	t a ŋ -	('sea; sea water', 'abui1241-fuime', 'tama')	datasets/Sar-Adiabang.tsv		
37	wave	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	bu'at	nan	b u á t - - -	('wave', 'alor1249-sar-a', 'buát')	datasets/Sar-Adiabang.tsv		
38	foam	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	ul	nan	u l	('foam', 'alor1249-sar-a', 'ul')	datasets/Sar-Adiabang.tsv		
39	forest	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	mə'rag	nan	- m ə r á g	('forest', 'alor1249-sar-a', 'mərág')	datasets/Sar-Adiabang.tsv		
40	field	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	ʔar	nan	- - ʔ a r	('field', 'alor1249-sar-a', 'ʔar')	datasets/Sar-Adiabang.tsv		
43	garden	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	ma'xar	nan	m a x á r -	('garden', 'alor1249-sar-a', 'maxár')	datasets/Sar-Adiabang.tsv		
45	road; path; way	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	ʤuhutar	nan	j u h u t a r	"('road; path; way', 'alor1247-baran', ""'tɔ:r"")"	datasets/Sar-Adiabang.tsv		
46	canoe	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	haj	nan	h a j	('canoe', 'alor1249-sar-a', 'hay')	datasets/Sar-Adiabang.tsv		
49	fishing hook	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	kawil	nan	k a w i l -	"('fishing hook', 'abui1241-takal', ""ä.ʋe̞.'lä"")"	datasets/Sar-Adiabang.tsv		
50	fish trap	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	dah	(‘bubu fishtrap’); dibuat dari bambu untuk menangkap ikan yang ditinggal. NOT fish net or fish line.	d a h	('fish trap', 'alor1249-sar-a', 'dah')	datasets/Sar-Adiabang.tsv		
51	rope	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	tar	nan	t a - r - -	('rope', 'abui1241-takal', 'tʰi.lä')	datasets/Sar-Adiabang.tsv		
52	machete	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	1Pantar, 1West	pe:d	nan	- - p ee d - -	"('machete', 'abui1241-petle', ""sa.'pa.da"")"	datasets/Sar-Adiabang.tsv		
