Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	búlaŋ	nan	b ú l a ŋ - - -	"('sky', 'adan1251-otvai', 'buraŋ')"	nan		
1	sun	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	ved	nan	v e d - - - -	"('sun', 'abui1241-fuime', 'wari')"	nan		
2	moon	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	húru	nan	h ú r u - - ( - - - - - - - - )	"('moon', 'adan1251-lawah', 'hu:l')"	nan		
3	star	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	id	nan	- i d -	"('star', 'baka1276', 'id')"	nan		
4	night	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	kamaluŋ	nan	k a m a l u ŋ -	"('night', 'baka1276', 'kamaluŋ')"	nan		
5	day	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	ved	nan	v e d	"('day', 'adan1251-lawah', 'wɛd_saha')"	nan		
7	morning	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	hurak veŋ	nan	h u r a k _ v e ŋ	"('morning', 'baka1276', 'hurak_veŋ')"	nan		
8	yesterday	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	məléŋ	nan	m ə l - - é ŋ - - -	"('yesterday', 'alor1249-sar-a', 'məlah')"	nan		
9	day before yesterday	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	edaŋ aru	nan	- e d a - - ŋ - _ - a - - r u - -	"('day before yesterday', 'adan1251-lawah', 'ʔotariŋ_alumi')"	nan		
10	tomorrow	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	tóbaŋ	nan	t ó b a - ŋ -	"('tomorrow', 'baka1276', 'tóbaŋ')"	nan		
11	day after tomorrow	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	tiaŋ aru	nan	- - t i - a ŋ _ a - - r u	"('day after tomorrow', 'alor1249-sar-a', 'tiraq')"	nan		
12	twilight; dawn	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	bil jara abuŋ	nan	b i l _ j a r a _ a b u ŋ	"('twilight; dawn', 'baka1276', 'bil_jara_abuŋ')"	nan		
13	cloud	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	bənaw	nan	b ə n a w - -	"('cloud', 'baka1276', 'bənaw')"	nan		
14	wind	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	énar	nan	- é n a r - - - - - -	"('wind', 'alor1247-baran', ""'aŋi"")"	nan		
15	rain	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	noar	nan	- - n o a r	"('rain', 'abui1241-fuime', 'anui')"	nan		
17	rainbow	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	lia	nan	l i a	"('rainbow', 'baka1276', 'lia')"	nan		
18	thunder	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	lal	bunyinya	l a l	"('thunder', 'baka1276', 'lal')"	nan		
19	lightning	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	bil məlélak	"kilatan, cahaya"	b i l _ m ə l é - l a k	"('lightning', 'baka1276', 'bil_məlélak')"	nan		
20	earthquake	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	por ota	nan	p o r _ - o t - - a -	"('earthquake', 'baka1276', 'por_ota')"	nan		
21	fog	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	bənaw koko	"kabut = fog, NOT embun = air yang menetes dari daun di pagi hari"	b ə n a w _ - k o k o	"('fog', 'baka1276', 'bənaw_koko')"	nan		
22	river; stream	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	mual	nan	m u - a l	"('river; stream', 'adan1251-lawah', 'møl')"	nan		
26	mountain	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	pondo	nan	p o n d o	"('mountain', 'alor1247-baran', ""'foto"")"	nan		
27	hill; ridge	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	pondo	nan	p o n d o -	"('hill; ridge', 'baka1276', 'pondo')"	nan		
28	village	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	ábaŋ	nan	- á b a ŋ -	"('village', 'adan1251-lawah', 'baŋ_ʔɛme')"	nan		
29	land; soil	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	por	nan	p o r	"('land; soil', 'baka1276', 'por')"	nan		
30	Earth	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	por	nan	p o r	"('Earth', 'alor1249-sar-a', 'por')"	nan		
31	hole	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	jow	nan	j o w	"('hole', 'baka1276', 'jow')"	nan		
32	stone	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	var	nan	v a r -	"('stone', 'abui1241-fuime', 'vi')"	nan		
33	coral (rock)	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	koka	batu (rock) di pantai	k o k a -	"('coral (rock)', 'abui1241-takal', 'ʋi__ko.qäi')"	nan		
34	(coral) reef	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	tomu	karang (reef) di dasar laut	nan	"('(coral) reef', 'alor1249-sar-a', 'tómi')"	nan		
35	water (fresh)	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	jar	nan	- j a r -	"('water (fresh)', 'abui1241-fuime', 'je')"	nan		
36	sea; sea water	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	taŋ	nan	t a ŋ -	"('sea; sea water', 'abui1241-fuime', 'tama')"	nan		
37	wave	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	buat	nan	b u a t - - -	"('wave', 'alor1249-sar-a', 'buát')"	nan		
38	foam	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	taŋ ul	nan	t a ŋ - - _ - u l - -	"('foam', 'alor1249-sar-a', 'ul')"	nan		
39	forest	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	rehe	nan	- - r e h e - - -	"('forest', 'baka1276', 'rehe')"	nan		
40	field	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	dadi	nan	d a d i	"('field', 'baka1276', 'dadi')"	nan		
43	garden	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	bil	nan	b i l	"('garden', 'adan1251-lawah', 'dil')"	nan		
45	road; path; way	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	via	nan	v i a -	"('road; path; way', 'baka1276', 'via')"	nan		
46	canoe	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	je	nan	j e	"('canoe', 'baka1276', 'je')"	nan		
49	fishing hook	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	kavil	nan	k a v i l -	"('fishing hook', 'abui1241-takal', ""ä.ʋe̞.'lä"")"	nan		
50	fish trap	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	ver	dibuat dari bambu untuk menangkap ikan yang ditinggal. NOT fish net or fish line.	nan	"('fish trap', 'alor1247-pandai', ""'kɛr"")"	nan		
51	rope	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	sial	nan	s i - a l -	"('rope', 'abui1241-petle', ""si.'la"")"	nan		
52	machete	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	peda	nan	- - p e d a -	"('machete', 'abui1241-petle', ""sa.'pa.da"")"	nan		
53	axe	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	ta:	nan	t aa - -	"('axe', 'baka1276', 'ta:')"	nan		
54	spear	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	rapaŋ	nan	r a p a ŋ -	"('spear', 'alor1247-munas', ""'rapaŋ"")"	nan		
56	stick; pole	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	dóba	nan	d ó b a -	"('stick; pole', 'adan1251-lawah', 'dopoŋ')"	nan		
57	digging stick	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	dad	nan	d a d	"('digging stick', 'alor1249-sar-n', 'der')"	nan		
59	bow	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	bumát	nan	nan	"('bow', 'alor1249-sar-a', 'ʔamútan')"	nan		
60	arrow	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	bulit	nan	nan	"('arrow', 'abui1241-takal', ""kä.'fuq"")"	nan		
61	knife	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	tudik	nan	t u d i k	"('knife', 'abui1241-fuime', 'lui')"	nan		
62	comb	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	kiri	nan	k i - - - r i	"('comb', 'abui1241-fuime', 'ke:ti')"	nan		
63	mat	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	bihi	nan	b i h i -	"('mat', 'adan1251-lawah', 'bahu')"	nan		
64	needle	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	batul	nan	b a t u l	"('needle', 'adan1251-lawah', 'bátuŋ')"	nan		
67	fire	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	ad	nan	- a d -	"('fire', 'abui1241-fuime', 'ara')"	nan		
68	smoke	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	ad banaŋka	nan	a d - - _ - - b a n a ŋ k a	"('smoke', 'adan1251-lawah', 'awai_banoʔo')"	nan		
71	fireplace ash	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	moró	"NOT 'debu' (dust, after you have been sweeping)"	m o r ó - -	"('fireplace ash', 'adan1251-lawah', 'ma:lu')"	nan		
71	fireplace ash	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	mró	"NOT 'debu' (dust, after you have been sweeping)"	m - r ó - -	"('fireplace ash', 'adan1251-lawah', 'ma:lu')"	nan		
72	mud	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	búta	nan	b ú t a -	"('mud', 'alor1247-pandai', ""'buta"")"	nan		
73	clay	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	meké	nan	m e k é - -	"('clay', 'alor1249-sar-n', 'moxoʔ_mu_i:ʔ')"	nan		
74	gravel	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	gədóbar	nan	g ə d ó b a r	"('gravel', 'baka1276', 'gədóbar')"	nan		
75	sand	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	behi	nan	b e h i -	"('sand', 'adan1251-lawah', 'fɛcɛʔ')"	nan		
76	grass; brush	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	nevel	nan	n e v e l	"('grass; brush', 'baka1276', 'nevel')"	nan		
77	house	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	hava	nan	nan	"('house', 'abui1241-fuime', 'fala')"	nan		
78	traditional house	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	hava raja	nan	h a v a _ r a j a	"('traditional house', 'baka1276', 'hava_raja')"	nan		
79	barn; storage house	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	panda	nan	nan	"('barn; storage house', 'alor1249-sar-a', 'pahámbal')"	nan		
80	raised platform	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	dei	nan	d e - i	"('raised platform', 'adan1251-otvai', 'deʔ')"	nan		
81	door	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	tuni	nan	t u n - i -	"('door', 'baka1276', 'tuni')"	nan		
82	(thatch) roof	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	"1Pantar, 2East"	vemvei	nan	nan	"('(thatch) roof', 'abui1241-takal', ""'wäj"")"	nan		
