Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	bulaŋ	nan	b u l a ŋ - - -	"('sky', 'adan1251-otvai', 'buraŋ')"	nan		
1	sun	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	ved	nan	v e d - - - -	"('sun', 'abui1241-fuime', 'wari')"	nan		
2	moon	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	uru	nan	nan	"('moon', 'abui1241-fuime', 'ije')"	nan		
3	star	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	idd	nan	- i dd -	"('star', 'baka1276', 'id')"	nan		
4	night	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	ilkana	nan	i l - k a n a -	"('night', 'abui1241-petle', ""ak.'un"")"	nan		
4	night	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	ilqana	nan	i l - q a n a -	"('night', 'abui1241-petle', ""ak.'un"")"	nan		
5	day	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	ved	nan	v e d	"('day', 'adan1251-lawah', 'wɛd_saha')"	nan		
7	morning	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	ilmexa	nan	i l m e x a	"('morning', 'blag1240-bama', 'ilmexa')"	nan		
8	yesterday	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	meleŋ	nan	m e l - - e ŋ - - -	"('yesterday', 'alor1249-sar-a', 'məlah')"	nan		
9	day before yesterday	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	etaŋ akur	nan	- e t a - - ŋ - _ - a k u r - - -	"('day before yesterday', 'adan1251-lawah', 'ʔotariŋ_alumi')"	nan		
10	tomorrow	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	tobaŋ	nan	t o b a - ŋ -	"('tomorrow', 'baka1276', 'tóbaŋ')"	nan		
11	day after tomorrow	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	tiaŋ akur	nan	- - t i - a ŋ _ a k u r -	"('day after tomorrow', 'alor1249-sar-a', 'tiraq')"	nan		
12	twilight; dawn	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	ileragabuŋ	nan	i l e r a g a b u ŋ -	"('twilight; dawn', 'baka1276', 'bil_jara_abuŋ')"	nan		
13	cloud	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	banaw	nan	b a n a w - -	"('cloud', 'baka1276', 'bənaw')"	nan		
14	wind	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	enar	nan	- e n a r - - - - - -	"('wind', 'alor1247-baran', ""'aŋi"")"	nan		
15	rain	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	onar	nan	- o n a - r	"('rain', 'abui1241-fuime', 'anui')"	nan		
17	rainbow	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	qatambel	nan	q a t a m b e - l	"('rainbow', 'blag1240-bama', 'qatambel')"	nan		
18	thunder	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	gelágar	bunyinya	g e l á g a - r	"('thunder', 'alor1249-sar-a', 'gragar')"	nan		
19	lightning	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	"1Pantar, 2East"	ilmeraq	"kilatan, cahaya"	- i l m - - e r a q	"('lightning', 'baka1276', 'bil_məlélak')"	nan		
