Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	bulaŋ	nan	b u l a n g - -	"('sky', 'adan1251-otvai', 'buraŋ')"	nan		
1	sun	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	ved	nan	v e d - - - -	"('sun', 'abui1241-fuime', 'wari')"	nan		
2	moon	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	uru	nan	nan	"('moon', 'abui1241-fuime', 'ije')"	nan		
3	star	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	id	nan	- i d -	"('star', 'baka1276', 'id')"	nan		
4	night	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	ilxana	nan	i l - x a n a -	"('night', 'abui1241-petle', ""ak.'un"")"	nan		
5	day	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	ved	nan	v e d	"('day', 'adan1251-lawah', 'wɛd_saha')"	nan		
7	morning	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	ilmexa	nan	i l m e x a	"('morning', 'blag1240-bama', 'ilmexa')"	nan		
8	yesterday	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	meleŋ	nan	m e l - - e n g - -	"('yesterday', 'alor1249-sar-a', 'məlah')"	nan		
9	day before yesterday	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	etaŋakur	nan	- e t a - - n g - - a k u r - - -	"('day before yesterday', 'adan1251-lawah', 'ʔotariŋ_alumi')"	nan		
10	tomorrow	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	tobaŋ	nan	t o b a - n g	"('tomorrow', 'baka1276', 'tóbaŋ')"	nan		
11	day after tomorrow	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	tiaŋakur	nan	- - t i - a n g a k u r -	"('day after tomorrow', 'alor1249-sar-a', 'tiraq')"	nan		
13	cloud	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	banaw	nan	b a n a w - -	"('cloud', 'baka1276', 'bənaw')"	nan		
14	wind	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	enar	nan	- e n a r - - - - - -	"('wind', 'alor1247-baran', ""'aŋi"")"	nan		
15	rain	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	onor	nan	- o n o - r	"('rain', 'abui1241-fuime', 'anui')"	nan		
16	drizzle	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	onor kiri-kiri	onor lewaleru/levaleru 'light rain at the end of a rainstorm'	o n - o r _ k i r i k i r i	"('drizzle', 'adan1251-otvai', 'noi_reʔ_reʔ')"	nan		
16	drizzle	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	onor levaleru	onor lewaleru/levaleru 'light rain at the end of a rainstorm'	o - n o r _ l e v a l e r u	"('drizzle', 'adan1251-otvai', 'noi_reʔ_reʔ')"	nan		
16	drizzle	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	onor lewaleru	onor lewaleru/levaleru 'light rain at the end of a rainstorm'	o - n o r _ l e w a l e r u	"('drizzle', 'adan1251-otvai', 'noi_reʔ_reʔ')"	nan		
17	rainbow	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	qeles	nan	q e l e s	"('rainbow', 'blag1240-tuntu', 'qalés')"	nan		
17	rainbow	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	xeles	nan	x e l e s	"('rainbow', 'blag1240-tuntu', 'qalés')"	nan		
18	thunder	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	ildumu	bunyinya	i l d u m u	"('thunder', 'blag1240-warsa', 'ildumu')"	nan		
19	lightning	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	galagar	"kilatan, cahaya"	- - - g a l a g a r -	"('lightning', 'blag1240-warsa', 'galagar')"	nan		
20	earthquake	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	tevevi	nan	t e v e v i -	"('earthquake', 'blag1240-nule', 'təwewer')"	nan		
21	fog	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	ilməro	"kabut = fog, NOT embun = air yang menetes dari daun di pagi hari"	i l m ə r o	"('fog', 'blag1240-bama', 'ilmoró')"	nan		
22	river; stream	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	bola'	nan	- - - b o l a ˈ	"('river; stream', 'blag1240-bama', 'bola')"	nan		
26	mountain	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	buku	nan	b u k u	"('mountain', 'abui1241-fuime', 'buku')"	nan		
28	village	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	abaŋ	nan	#NAME?	"('village', 'adan1251-lawah', 'baŋ_ʔɛme')"	nan		
29	land; soil	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	mexe	nan	m e x - e -	"('land; soil', 'alor1249-sar-a', 'maxáʔ')"	nan		
30	Earth	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	por	nan	p o r	"('Earth', 'alor1249-sar-a', 'por')"	nan		
31	hole	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	jeku	nan	j e k u	"('hole', 'alor1249-sar-a', 'jegá')"	nan		
32	stone	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	var	nan	v a r -	"('stone', 'abui1241-fuime', 'vi')"	nan		
33	coral (rock)	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	"1Pantar, 2East"	xap	batu (rock) di pantai	x a p	"('coral (rock)', 'blag1240-warsa', 'xap')"	nan		
