Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	"4Timor, 2Central"	'phan	nan	- ˈph a n - - -	"('sky', 'buna1278-bobon', 'fa:n')"	nan		
1	sun	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	"4Timor, 2Central"	'hɔt	nan	ˈh ɔ t - - - -	"('sun', 'abui1241-fuime', 'wari')"	nan		
2	moon	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	"4Timor, 2Central"	'hul	nan	ˈh u l - - - ( - - - - - - - - )	"('moon', 'adan1251-lawah', 'hu:l')"	nan		
3	star	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	"4Timor, 2Central"	'bi:	nan	- ˈb iː	"('star', 'abui1241-fuime', 'fɪri')"	nan		
3	star	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	"4Timor, 2Central"	'bibɛl	nan	- ˈb iː	"('star', 'abui1241-fuime', 'fɪri')"	nan		
3	star	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	"4Timor, 2Central"	bi:	nan	#NAME?	"('star', 'abui1241-fuime', 'fɪri')"	nan		
4	night	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	"4Timor, 2Central"	'ʔɛnɛ	nan	ˈʔ ɛ - n ɛ	"('night', 'abui1241-petle', ""ak.'un"")"	nan		
5	day	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	"4Timor, 2Central"	'leh	nan	ˈl e - h -	"('day', 'abui1241-petle', 'leŋ')"	nan		
6	year	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	"4Timor, 2Central"	'thɔ	nan	ˈth ɔ - - -	"('year', 'abui1241-petle', 'tuŋ')"	nan		
13	cloud	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	"4Timor, 2Central"	'tahɔ	nan	ˈt a h ɔ - - - - - -	"('cloud', 'abui1241-takal', ""tä.be̞ä.'kil"")"	nan		
14	wind	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	"4Timor, 2Central"	'bɛl	nan	- - ˈb ɛ l - -	"('wind', 'buna1278-bobon', 'bɛl')"	nan		
15	rain	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	"4Timor, 2Central"	ʔi'nɛl	nan	ʔ i ˈn ɛ - l	"('rain', 'abui1241-fuime', 'anui')"	nan		
21	fog	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	"4Timor, 2Central"	'tahɔ	nan	ˈt a h ɔ -	"('fog', 'buna1278-bobon', 'taho')"	nan		
