Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	oteŋa	nan	o t e ŋ a	"('sky', 'kira1248', 'oteŋa')"	nan		
1	sun	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	ber	nan	b e r - - - -	"('sun', 'abui1241-fuime', 'wari')"	nan		
2	moon	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	ur	nan	nan	"('moon', 'abui1241-fuime', 'ije')"	nan		
3	star	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	u bereo	nan	u _ b e r e o	"('star', 'abui1241-fuime', 'fɪri')"	nan		
4	night	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	leisama	nan	l e i s a m a	"('night', 'kira1248', 'leisama')"	nan		
5	day	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	balleʔ	nan	b a ll e ʔ -	"('day', 'kira1248', 'balleʔ')"	nan		
5	day	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	baˈle	nan	b a ˈl e - -	"('day', 'kira1248', 'balleʔ')"	nan		
7	morning	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	nalau baka	nan	n a l - - a - u - _ b a k a	"('morning', 'kira1248', 'nalau_baka')"	nan		
8	yesterday	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	dona	nan	d o n a	"('yesterday', 'kira1248', 'dona')"	nan		
9	day before yesterday	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	atonyoka	nan	#NAME?	"('day before yesterday', 'dein1238', 'getei_tiq')"	nan		
10	tomorrow	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	aˈwin	nan	a ˈw i n	"('tomorrow', 'kira1248', 'aˈwin')"	nan		
11	day after tomorrow	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	ayoka	nan	#NAME?	"('day after tomorrow', 'abui1241-fuime', 'ayoku')"	nan		
12	twilight; dawn	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	aˈrigapata	nan	- - a ˈr i g a p a t a	"('twilight; dawn', 'abui1241-fuime', 'arida_pe')"	nan		
13	cloud	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	tabes	nan	t a b e s - - - - -	"('cloud', 'abui1241-takal', ""tä.be̞ä.'kil"")"	nan		
14	wind	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	sewal	nan	s e w a l	"('wind', 'buna1278-bobon', 'bɛl')"	nan		
15	rain	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	aˈnor	nan	a ˈn o r -	"('rain', 'abui1241-fuime', 'anui')"	nan		
17	rainbow	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	balei ganosin	(lit. shadow of day)	b a l e i _ g a n o s i n	"('rainbow', 'kira1248', 'balei_ganosin')"	nan		
18	thunder	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	paka kal	bunyinya	p a k a _ k a l	"('grass; brush', 'lama1277-tanju', 'hokə̃')"	nan		
19	lightning	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	sarikan	"kilatan, cahaya"	s a r i k a n	"('lightning', 'kira1248', 'sarikan')"	nan		
20	earthquake	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	koˈme	nan	k o ˈm e - - - - -	"('earthquake', 'kira1248', 'koˈme')"	nan		
21	fog	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	nabor	"kabut = fog, NOT embun = air yang menetes dari daun di pagi hari"	n a b o r	"('fog', 'kira1248', 'nabor')"	nan		
22	river; stream	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	e:i bala	nan	ee i _ b a l a -	"('river; stream', 'blag1240-bama', 'bola')"	nan		
25	lake	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	kubal	nan	k u b a l	"('lake', 'abui1241-takal', 'ijä_ʋäl')"	nan		
26	mountain	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	uku	nan	nan	"('mountain', 'abui1241-fuime', 'buku')"	nan		
27	hill; ridge	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	bilin	nan	b i l i n -	"('hill; ridge', 'kira1248', 'bilin')"	nan		
28	village	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	aban	nan	- a b a n -	"('village', 'adan1251-lawah', 'baŋ_ʔɛme')"	nan		
29	land; soil	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	paˈlak	nan	p a ˈl a k -	"('land; soil', 'kira1248', 'paˈlak')"	nan		
30	Earth	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	dunia	nan	d u n i a - - - - - -	"('Earth', 'kira1248', 'dunia')"	nan		
31	hole	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	lo	nan	l o	"('hole', 'kira1248', 'lo')"	nan		
32	stone	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	wor	nan	nan	"('stone', 'abui1241-fuime', 'vi')"	nan		
33	coral (rock)	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	wor katan	batu (rock) di pantai	w o r _ k a t a n -	"('coral (rock)', 'kira1248', 'wor_katan')"	nan		
34	(coral) reef	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	siˈlar	karang (reef) di dasar laut	nan	"('(coral) reef', 'kira1248', 'siˈlar')"	nan		
35	water (fresh)	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	e:i	nan	- ee - i - -	"('water (fresh)', 'abui1241-fuime', 'je')"	nan		
36	sea; sea water	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	tan	nan	t a n -	"('sea; sea water', 'abui1241-fuime', 'tama')"	nan		
37	wave	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	laʔ	nan	l a ʔ - - -	"('wave', 'kira1248', 'laʔ')"	nan		
38	foam	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	kulara	nan	k u l a r a	"('foam', 'kama1365', 'kuaː')"	nan		
39	forest	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	tapasi	(lit. ‘tebal’)	t a p a s i	"('forest', 'kira1248', 'tapasi')"	nan		
40	field	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	alokan	nan	a l o k a n	"('field', 'kira1248', 'alokan')"	nan		
43	garden	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	naˈmar	nan	n a ˈm a r	"('garden', 'alor1249-sar-a', 'maxár')"	nan		
45	road; path; way	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	ye takal	nan	#NAME?	"('road; path; way', 'abui1241-takal', ""jä_'fo.qä"")"	nan		
46	canoe	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	ei	nan	#NAME?	"('canoe', 'hama1240', 'ɛ')"	nan		
49	fishing hook	kira1248	Kiraman	Timor-Alor-Pantar	"3Alor, 2Central"	yɛl	nan	y ɛ l	"('fishing hook', 'abui1241-takal', ""ä.ʋe̞.'lä"")"	nan		
