Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	buləgɛn	nan	b u l ə - g ɛ n	"('sky', 'adan1251-otvai', 'buraŋ')"	nan		
1	sun	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	mədi	nan	m ə d i - - -	"('sun', 'abui1241-fuime', 'wari')"	nan		
2	moon	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	ʊr	nan	nan	"('moon', 'abui1241-fuime', 'ije')"	nan		
3	star	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	ɪb	nan	- ɪ b -	"('star', 'abui1241-fuime', 'fɪri')"	nan		
4	night	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	əkɑn	nan	- - ə k ɑ n - -	"('night', 'abui1241-petle', ""ak.'un"")"	nan		
5	day	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	mədi	nan	m ə d i	"('day', 'kelo1247-bring', 'mədi')"	nan		
13	cloud	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	bɔntu	nan	b ɔ n - - t u	"('cloud', 'alor1249-sar-a', 'mana:f')"	nan		
13	cloud	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	teʔeh	nan	t e ʔ e h - - - - -	"('cloud', 'abui1241-takal', ""tä.be̞ä.'kil"")"	nan		
14	wind	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	nəmɛr	nan	nan	"('wind', 'abui1241-fuime', 'timoi')"	nan		
21	fog	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	bontui	"kabut = fog, NOT embun = air yang menetes dari daun di pagi hari"	#NAME?	"('fog', 'kelo1247-bring', 'bontui')"	nan		
22	river; stream	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	wɛr	nan	w ɛ r -	"('river; stream', 'keda1252', 'wɛi')"	nan		
25	lake	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	ərɑgɪtɪp	nan	ə r ɑ g ɪ t ɪ p	"('lake', 'kelo1247-bring', 'ərɑgɪtɪp')"	nan		
26	mountain	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	dɔl	nan	#NAME?	"('mountain', 'adan1251-otvai', 'dɔi')"	nan		
28	village	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	eben	nan	- e b e n -	"('village', 'adan1251-lawah', 'baŋ_ʔɛme')"	nan		
29	land; soil	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	məkɛʔ	nan	m ə k - ɛ ʔ	"('land; soil', 'alor1249-sar-a', 'maxáʔ')"	nan		
32	stone	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	wɔr	nan	w ɔ r -	"('stone', 'abui1241-fuime', 'vi')"	nan		
35	water (fresh)	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	arɑ	nan	- a r - ɑ	"('water (fresh)', 'abui1241-fuime', 'je')"	nan		
39	forest	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	ʔɛh	nan	ʔ ɛ h	"('forest', 'adan1251-otvai', 'ahain')"	nan		
43	garden	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	tɛr	nan	t ɛ r	"('garden', 'kafo1240', 'tej')"	nan		
45	road; path; way	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	"3Alor, 1West"	ɛgɛʔ	nan	#NAME?	"('road; path; way', 'blag1240-bama', 'iga')"	nan		
