Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	apəŋge(y)a	Swadesh; 92; 94; 128.0	a p ə ŋ g e a	"('sky', 'buna1278-bobon', 'fa:n')"	nan		
1	sun	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	wad	Swadesh; 88; 96	w a d - - - -	"('sun', 'kula1280-lanto', 'wad')"	nan		
2	moon	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	pilawəka	Swadesh; 89; 97; 129.0	p i l a w ə k a	"('moon', 'kula1280-lanto', 'pilawaka')"	nan		
3	star	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	ilelawa	Swadesh; 91; 99; 130.0	i l e l a w - - a	"('star', 'kula1280-lanto', 'ilelawa')"	nan		
4	night	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	tinan	Swadesh; 94; 98; 167.0	t i n a n -	"('night', 'kama1365', 'ɪtun')"	nan		
5	day	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	wante	Swadesh; 93; -; 168.0	w a n t e - -	"('day', 'kula1280-lanto', 'wante')"	nan		
7	morning	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	idəle(y)a	nan	#NAME?	"('morning', 'buna1278-suai', 'leigie')"	nan		
8	yesterday	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	apalea	Blust List	a p a l e a	"('yesterday', 'abui1241-takal', 'ä.fe̞j.dä')"	nan		
9	day before yesterday	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	tualea	nan	t u a l e - a	"('day before yesterday', 'kula1280-lanto', 'tualea')"	nan		
10	tomorrow	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	ilea	Blust List	i l e - a	"('tomorrow', 'abui1241-petle', ""ar.'ja"")"	nan		
11	day after tomorrow	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	ləkana	nan	- - l ə k a n a - - - - - - - - -	"('day after tomorrow', 'abui1241-fuime', 'ayoku')"	nan		
12	twilight; dawn	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	dəle burana	nan	- d ə l e _ - b u r a n a	"('twilight; dawn', 'adan1251-lawah', 'lalami')"	nan		
13	cloud	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	sakapila	_; _; 131.0	s a k a p i l a	"('cloud', 'alor1247-pandai', ""'sapːu"")"	nan		
14	wind	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	lapun	Swadesh; 114; 95; 136.0	l a p u n - -	"('wind', 'kula1280-lanto', 'lapun')"	nan		
15	rain	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	aya (si)	(si ‘fall’); _; _; 133.0	#NAME?	"('rain', 'alor1249-sar-a', 'ál')"	nan		
16	drizzle	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	aya bur	nan	a y - a _ b u r	"('drizzle', 'fata1247', ""aija_liri-'liri"")"	nan		
17	rainbow	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	saŋ	Blust List	s a ŋ	"('rainbow', 'kula1280-lanto', 'saŋ')"	nan		
18	thunder	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	kətta	_; _; 134.0; bunyinya	#NAME?	"('thunder', 'kola1287', 'kete')"	nan		
19	lightning	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	"3Alor, 3East"	mila piki	"(root = mila); _; _; 135.0; kilatan, cahaya"	m i l a _ p i k i	"('lightning', 'kula1280-lanto', 'mila_piki')"	nan		
