Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	hundus	nan	h u n d u s	"('sky', 'nede1245', 'hundus')"	nan		
1	sun	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	weri	nan	w e r i - - -	"('sun', 'abui1241-fuime', 'wari')"	nan		
2	moon	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	hula	nan	h u l a - - ( - - - - - - - - )	"('moon', 'adan1251-lawah', 'hu:l')"	nan		
3	star	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	ifahoya	nan	i f a h o y a	"('star', 'abui1241-fuime', 'fɪri')"	nan		
4	night	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	ilaqana	nan	i l a q a n a -	"('night', 'abui1241-petle', ""ak.'un"")"	nan		
5	day	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	weri	nan	w e r i	"('day', 'adan1251-lawah', 'wɛd_saha')"	nan		
7	morning	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	besi-besi	nan	b e s i b e s i	"('morning', 'alor1249-sar-a', 'bes_iwaŋ')"	nan		
8	yesterday	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	miyagi	nan	m i y a g i	"('yesterday', 'alor1249-sar-n', 'məya:g')"	nan		
9	day before yesterday	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	gətraku	nan	- g - ə t r a k u	"('day before yesterday', 'alor1249-sar-a', 'gataraq')"	nan		
10	tomorrow	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	batʧi	nan	b a t c i	"('tomorrow', 'alor1249-sar-a', 'bat')"	nan		
11	day after tomorrow	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	gətagu	nan	g ə t - - - - - a g u - -	"('day after tomorrow', 'alor1249-sar-a', 'tiraq')"	nan		
13	cloud	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	bunah	nan	b u n a h - -	"('cloud', 'baka1276', 'bənaw')"	nan		
14	wind	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	aŋi	nan	- a n g i - - - - - -	"('wind', 'alor1247-baran', ""'aŋi"")"	nan		
15	rain	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	hala	nan	h a l a	"('rain', 'alor1249-sar-a', 'ál')"	nan		
16	drizzle	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	kne-kne	nan	#NAME?	"('drizzle', 'nede1245', 'kne-kne')"	nan		
17	rainbow	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	sahi	nan	s a h i	"('rainbow', 'nede1245', 'sahi')"	nan		
18	thunder	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	dalaga	bunyinya	d a l a g a - -	"('thunder', 'alor1249-sar-a', 'gragar')"	nan		
19	lightning	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	iltama'aw	"kilatan, cahaya"	i l - t a m a - ˈa w	"('lightning', 'alor1249-sar-a', 'itimiyah')"	nan		
20	earthquake	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	ila'ab	nan	- i l a - ˈa b	"('earthquake', 'nede1245', ""ila'ab"")"	nan		
21	fog	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	buna ituru	"kabut = fog, NOT embun = air yang menetes dari daun di pagi hari"	b u n a - _ i t u r u	"('fog', 'baka1276', 'bənaw_koko')"	nan		
21	fog	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	ila banaqa	"kabut = fog, NOT embun = air yang menetes dari daun di pagi hari"	i l a _ b a n a q a	"('fog', 'nede1245', 'ila_banaqa')"	nan		
22	river; stream	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	balu	nan	- - - b a l u -	"('river; stream', 'blag1240-bama', 'bola')"	nan		
25	lake	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	traqa	nan	t r a q a	"('lake', 'nede1245', 'traqa')"	nan		
26	mountain	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	maga	nan	m a g a	"('mountain', 'nede1245', 'maga')"	nan		
28	village	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	afaŋ	nan	#NAME?	"('village', 'adan1251-lawah', 'baŋ_ʔɛme')"	nan		
29	land; soil	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	talaka	nan	t a l a k a	"('land; soil', 'kira1248', 'paˈlak')"	nan		
30	Earth	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	qoka	nan	q o - k a -	"('Earth', 'nede1245', 'qoka')"	nan		
31	hole	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	yahal	nan	y a h a l	"('hole', 'nede1245', 'yahal')"	nan		
32	stone	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	wala	nan	w a l a	"('stone', 'abui1241-fuime', 'vi')"	nan		
33	coral (rock)	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	batal	batu (rock) di pantai	b a t a l	"('coral (rock)', 'nede1245', 'batal')"	nan		
34	(coral) reef	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	qaera	karang (reef) di dasar laut	q a e r a	"('(coral) reef', 'nede1245', 'qaera')"	nan		
35	water (fresh)	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	yila	nan	y i l - a	"('water (fresh)', 'abui1241-fuime', 'je')"	nan		
36	sea; sea water	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	ta	nan	t a - -	"('sea; sea water', 'abui1241-fuime', 'tama')"	nan		
37	wave	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	bova	nan	b o v a	"('wave', 'abui1241-fuime', 'fou')"	nan		
38	foam	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	buy	nan	b u y	"('foam', 'kabo1247', 'bʊbuy')"	nan		
39	forest	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	miyama	nan	m i y a m a	"('forest', 'nede1245', 'miyama')"	nan		
40	field	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	wu:ta gami	nan	w uu t a _ g a m i	"('field', 'nede1245', 'wu:ta_gami')"	nan		
43	garden	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	maxara	nan	m a x a r a	"('garden', 'alor1249-sar-a', 'maxár')"	nan		
45	road; path; way	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	yi:ya	nan	y ii y a	"('road; path; way', 'lamm1241', 'ya')"	nan		
46	canoe	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	he	nan	h e -	"('canoe', 'alor1249-sar-a', 'hay')"	nan		
49	fishing hook	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	kawa	nan	k a w a - -	"('fishing hook', 'abui1241-takal', ""ä.ʋe̞.'lä"")"	nan		
50	fish trap	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	ʧar	dibuat dari bambu untuk menangkap ikan yang ditinggal. NOT fish net or fish line.	nan	"('fish trap', 'alor1247-pandai', ""'kɛr"")"	nan		
51	rope	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	koraŋ	nan	k o r a n g	"('rope', 'nede1245', 'koraŋ')"	nan		
52	machete	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	peda	nan	- - p e d a -	"('machete', 'abui1241-petle', ""sa.'pa.da"")"	nan		
53	axe	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	bamma	(also old man)	nan	"('axe', 'abui1241-fuime', 'faliŋ')"	nan		
54	spear	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	kabba	nan	k a bb a -	"('spear', 'abui1241-takal', ""kä.'fäk"")"	nan		
55	burden stick	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	tiyewaŋ	nan	nan	"('burden stick', 'blag1240-tuntu', 'tévaŋ')"	nan		
56	stick; pole	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	do	nan	d o - - -	"('stick; pole', 'abui1241-fuime', 'tukaraŋ')"	nan		
57	digging stick	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	muru	nan	m u r u	"('digging stick', 'nede1245', 'muru')"	nan		
59	bow	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	mata	nan	nan	"('bow', 'alor1249-sar-a', 'ʔamútan')"	nan		
60	arrow	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	qavi:ta	nan	nan	"('arrow', 'abui1241-takal', ""kä.'fuq"")"	nan		
61	knife	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	ʧiya	nan	c i y a	"('knife', 'nede1245', 'ciya')"	nan		
61	knife	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	siya	nan	s i y a	"('knife', 'nede1245', 'ciya')"	nan		
62	comb	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	kiri	nan	k i - - - r i	"('comb', 'abui1241-fuime', 'ke:ti')"	nan		
63	mat	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	bi:	nan	b ii - - -	"('mat', 'adan1251-lawah', 'bahu')"	nan		
64	needle	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	batu	nan	b a t u -	"('needle', 'adan1251-lawah', 'bátuŋ')"	nan		
65	clothing	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	alana	nan	#NAME?	"('clothing', 'nede1245', 'alana')"	nan		
67	fire	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	waʧi	nan	- w a c i	"('fire', 'adan1251-lawah', 'awai')"	nan		
68	smoke	nede1245	Nedebang	Timor-Alor-Pantar	"1Pantar, 1West"	arabun	nan	a r a b u n	"('smoke', 'adan1251-lawah', 'awai_banoʔo')"	nan		
