Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	gunnaŋ	nan	g u nn a n g	"('sky', 'alor1249-sar-n', 'gunaʔ')"	nan		
1	sun	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	was	nan	w a s - - - -	"('sun', 'abui1241-fuime', 'wari')"	nan		
2	moon	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	hi	nan	h i	"('moon', 'lamm1241', 'hi')"	nan		
3	star	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	hibbe	nan	nan	"('star', 'abui1241-fuime', 'fɪri')"	nan		
4	night	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	ir patta	 (lit 'dark')	i r _ p a tt a	"('night', 'lamm1241', 'ir_patta')"	nan		
5	day	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	ana	nan	#NAME?	"('day', 'lamm1241', 'ana')"	nan		
5	day	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	was	nan	w a s -	"('day', 'adan1251-lawah', 'wɛd_saha')"	nan		
6	year	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	tunnu	nan	t u nn u	"('year', 'lamm1241', 'tunnu')"	nan		
7	morning	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	mabu	nan	m a - b - u	"('morning', 'buna1278-bobon', 'leigie')"	nan		
8	yesterday	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	waddipaŋ	nan	w a dd i p a n g	"('yesterday', 'lamm1241', 'waddipang')"	nan		
9	day before yesterday	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	yenarpaŋ	nan	y e n a r p a n g	"('day before yesterday', 'lamm1241', 'yenarpaŋ')"	nan		
10	tomorrow	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	dalla	nan	d a ll a	"('tomorrow', 'lamm1241', 'dalla')"	nan		
11	day after tomorrow	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	tialaku	nan	- - t i - a l - a k u - -	"('day after tomorrow', 'lamm1241', 'tialaku')"	nan		
12	twilight; dawn	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	mabu	nan	m a b u	"('twilight; dawn', 'lamm1241', 'mabu')"	nan		
13	cloud	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	unnas	nan	- u nn a s - -	"('cloud', 'lamm1241', 'unnas')"	nan		
14	wind	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	dagéŋ	nan	d a g é n g	"('wind', 'lamm1241', 'dagéŋ')"	nan		
15	rain	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	hayá	nan	h a y á -	"('rain', 'lamm1241', 'hayá')"	nan		
17	rainbow	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	wali pakkuŋ	nan	w a l i _ p a kk u n g	"('rainbow', 'lamm1241', 'wali_pakkuŋ')"	nan		
18	thunder	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	di	bunyinya	d i	"('thunder', 'lamm1241', 'di')"	nan		
19	lightning	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	ir mi'ar	"kilatan, cahaya"	i r _ m i ˈa r	"('lightning', 'baka1276', 'bil_məlélak')"	nan		
20	earthquake	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	taŋ abbaŋ	nan	t a n g _ a bb a n g	"('earthquake', 'lamm1241', 'tang abbang')"	nan		
21	fog	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	bunne	"kabut = fog, NOT embun = air yang menetes dari daun di pagi hari"	b u nn e	"('fog', 'lamm1241', 'bunne')"	nan		
22	river; stream	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	kapá	nan	k a p á	"('river; stream', 'alor1249-sar-a', 'qafá')"	nan		
23	ice	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	lokkaŋ	nan	l o kk a n g	"('ice', 'lamm1241', 'lokkaŋ')"	nan		
24	snow	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	lokkaŋ	nan	l o kk a n g	"('snow', 'lamm1241', 'lokkaŋ')"	nan		
25	lake	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	halia	nan	h a l i a	"('lake', 'lamm1241', 'halia')"	nan		
26	mountain	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	kukka	nan	k u kk a	"('mountain', 'lamm1241', 'kukka')"	nan		
27	hill; ridge	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	mugaŋ	nan	m u g a n g	"('hill; ridge', 'lamm1241', 'mugang')"	nan		
28	village	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	habbaŋ	nan	h a bb a n g	"('village', 'lamm1241', 'habbang')"	nan		
29	land; soil	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	mua	nan	m u - - a -	"('land; soil', 'lamm1241', 'mua')"	nan		
30	Earth	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	por	nan	p o r	"('Earth', 'lamm1241', 'por')"	nan		
31	hole	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	bau	nan	- b a u -	"('hole', 'lamm1241', 'bau')"	nan		
32	stone	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	hauwe	nan	h a u w e	"('stone', 'lamm1241', 'hauwe')"	nan		
33	coral (rock)	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	kataŋ	batu (rock) di pantai	#NAME?	"('coral (rock)', 'lamm1241', 'kataŋ')"	nan		
34	(coral) reef	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	"1Pantar, 1West"	lassaŋ	karang (reef) di dasar laut	l a ss a n g	"('(coral) reef', 'lamm1241', 'lassaŋ')"	nan		
