Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
1	sun	p-east2519	proto-TIM	Timor-Alor-Pantar		*waTu	nan	w a T u - - -	"('sun', 'abui1241-fuime', 'wari')"	nan		
2	moon	p-east2519	proto-TIM	Timor-Alor-Pantar		*huru	nan	nan	"('moon', 'abui1241-fuime', 'ije')"	nan		
3	star	p-east2519	proto-TIM	Timor-Alor-Pantar		*ipi(-bere)	nan	i p i	"('star', 'abui1241-fuime', 'fɪri')"	nan		
15	rain	p-east2519	proto-TIM	Timor-Alor-Pantar		"*ine(r, R)"	nan	- i n e - -	"('rain', 'abui1241-fuime', 'anui')"	nan		
26	mountain	p-east2519	proto-TIM	Timor-Alor-Pantar		*bugu	nan	b u g u	"('mountain', 'abui1241-fuime', 'buku')"	nan		
32	stone	p-east2519	proto-TIM	Timor-Alor-Pantar		*war	nan	w a r -	"('stone', 'abui1241-fuime', 'vi')"	nan		
35	water (fresh)	p-east2519	proto-TIM	Timor-Alor-Pantar		*ira	nan	- i r - a	"('water (fresh)', 'abui1241-fuime', 'je')"	nan		
36	sea; sea water	p-east2519	proto-TIM	Timor-Alor-Pantar		*mata	nan	m a t a	"('sea; sea water', 'maka1316', 'meti')"	nan		
43	garden	p-east2519	proto-TIM	Timor-Alor-Pantar		"*(u, a)mar"	nan	m a r	"('garden', 'p-east2519', '*(u,_a)mar')"	nan		
45	road; path; way	p-east2519	proto-TIM	Timor-Alor-Pantar		*jiga	nan	j i g a -	"('road; path; way', 'blag1240-bama', 'iga')"	nan		
63	mat	p-east2519	proto-TIM	Timor-Alor-Pantar		*biti	nan	b i t i -	"('mat', 'adan1251-lawah', 'bahu')"	nan		
67	fire	p-east2519	proto-TIM	Timor-Alor-Pantar		*haTa	nan	h a T a	"('fire', 'abui1241-fuime', 'ara')"	nan		
84	tree	p-east2519	proto-TIM	Timor-Alor-Pantar		*hate	nan	h a t e -	"('tree', 'adan1251-lawah', 'ti')"	nan		
111	sugarcane	p-east2519	proto-TIM	Timor-Alor-Pantar		*upa	nan	#NAME?	"('sugarcane', 'abui1241-fuime', 'fa')"	nan		
114	coconut	p-east2519	proto-TIM	Timor-Alor-Pantar		"*wa(t, D)a"	nan	w aa - - -	"('coconut', 'abui1241-fuime', 'wata')"	nan		
120	bamboo	p-east2519	proto-TIM	Timor-Alor-Pantar		*mari	nan	nan	"('bamboo', 'abui1241-takal', 'mäj')"	nan		
121	banana	p-east2519	proto-TIM	Timor-Alor-Pantar		*mugu	nan	nan	"('banana', 'abui1241-fuime', 'musa')"	nan		
131	flesh; meat	p-east2519	proto-TIM	Timor-Alor-Pantar		*seor	nan	- s e o r	"('flesh; meat', 'amar1273-kotos', 'sisi')"	nan		
132	bone	p-east2519	proto-TIM	Timor-Alor-Pantar		"*(se)sa(r, R)"	nan	nan	"('bone', 'buna1278-bobon', 'sisal')"	nan		
136	blood	p-east2519	proto-TIM	Timor-Alor-Pantar		*waj	nan	nan	"('blood', 'abui1241-fuime', 'we')"	nan		
142	excrement	p-east2519	proto-TIM	Timor-Alor-Pantar		"*a(t, D)u"	nan	a u	"('excrement', 'p-east2519', '*a(t,_D)u')"	nan		
149	ear	p-east2519	proto-TIM	Timor-Alor-Pantar		*-wali	nan	#NAME?	"('ear', 'abui1241-fuime', 'tawei_ata')"	nan		
