Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	ajakeŋ	nan	a j - a k e n g -	('sky', 'kola1287', 'ajakeŋ')	datasets/Wersing-Kolana.tsv		
1	sun	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	wi'di	nan	w i d í - - -	('sun', 'abui1241-fuime', 'wari')	datasets/Wersing-Kolana.tsv		
2	moon	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	u'rak	nan	nan	('moon', 'abui1241-fuime', 'ije')	datasets/Wersing-Kolana.tsv		
3	star	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	a'pikal	nan	a p í - - k a l	('star', 'abui1241-fuime', 'fɪri')	datasets/Wersing-Kolana.tsv		
4	night	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	ma'leŋ	nan	m a l é n g	('night', 'kola1287', 'maléŋ')	datasets/Wersing-Kolana.tsv		
5	day	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	wi'di teŋ	nan	w i d í _ t e n g	('day', 'adan1251-lawah', 'wɛd saha')	datasets/Wersing-Kolana.tsv		
7	morning	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	wi'diŋ le	nan	w i d í n g _ l e	('morning', 'kola1287', 'widíŋ le')	datasets/Wersing-Kolana.tsv		
8	yesterday	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	'mlenja	nan	m - l - - é n - j a	('yesterday', 'alor1249-sar-a', 'məlah')	datasets/Wersing-Kolana.tsv		
9	day before yesterday	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	ga'teŋ joku	nan	g a t - - é - n g _ j o k u	('day before yesterday', 'dein1238', 'getei tiq')	datasets/Wersing-Kolana.tsv		
10	tomorrow	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	madali	nan	m a d a l i	('tomorrow', 'adan1251-lawah', 'dilɛlɛ')	datasets/Wersing-Kolana.tsv		
11	day after tomorrow	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	jal joku	nan	j a l _ - - - - - - - - j o k u -	('day after tomorrow', 'abui1241-fuime', 'ajoku')	datasets/Wersing-Kolana.tsv		
12	twilight; dawn	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	mi wi'diŋ le	nan	m i _ w i d í n g _ l e	('twilight; dawn', 'kola1287', 'mi widíŋ le')	datasets/Wersing-Kolana.tsv		
13	cloud	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	sakpul	nan	s a k - p u l -	('cloud', 'kama1365', 'saful')	datasets/Wersing-Kolana.tsv		
14	wind	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	la'pon	nan	l a p ó n - -	('wind', 'kama1365', 'lɪwɪnɛʔ')	datasets/Wersing-Kolana.tsv		
15	rain	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	eija mai	nan	e i j - a _ m a i	"('rain', 'alor1249-sar-a', ""'al"")"	datasets/Wersing-Kolana.tsv		
16	drizzle	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	eija misemer	nan	e i j a _ m i s e m e r	('drizzle', 'kola1287', 'eija misemer')	datasets/Wersing-Kolana.tsv		
17	rainbow	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	su'kaʔ	nan	s u - k á ˈ	('rainbow', 'kola1287', 'sukáʔ')	datasets/Wersing-Kolana.tsv		
18	thunder	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	kete	bunyinya	#NAME?	('thunder', 'kola1287', 'kete')	datasets/Wersing-Kolana.tsv		
19	lightning	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	meke	kilatan, cahaya	m - - e k e	('lightning', 'baka1276', 'bil məlélak')	datasets/Wersing-Kolana.tsv		
20	earthquake	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	komeidai	nan	k o m e i - d a i	('earthquake', 'kira1248', 'koˈme')	datasets/Wersing-Kolana.tsv		
21	fog	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	'sakapul	kabut = fog, NOT embun = air yang menetes dari daun di pagi hari	s á k a p u l -	('fog', 'kola1287', 'sákapul')	datasets/Wersing-Kolana.tsv		
22	river; stream	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	i'lu	nan	- i l ú - - - - -	('river; stream', 'kafo1240', 'kulɑ')	datasets/Wersing-Kolana.tsv		
25	lake	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	meriaʔ	nan	m e r i - a ˈ	('lake', 'kola1287', 'meriaʔ')	datasets/Wersing-Kolana.tsv		
26	mountain	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	atoku bubuŋ	nan	a t o k u _ b u b u n g -	('mountain', 'kola1287', 'atoku bubuŋ')	datasets/Wersing-Kolana.tsv		
27	hill; ridge	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	atoku bubuŋ	nan	a t o k u _ b u b u n g -	('hill; ridge', 'kola1287', 'atoku bubuŋ')	datasets/Wersing-Kolana.tsv		
28	village	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	ma'naʔ	nan	m a n á ˈ	('village', 'kola1287', 'manáʔ')	datasets/Wersing-Kolana.tsv		
29	land; soil	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	atoku	nan	a t o k u	('land; soil', 'kola1287', 'atoku')	datasets/Wersing-Kolana.tsv		
30	Earth	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	(dunia)	nan	nan	('Earth', 'kola1287', '(dunia)')	datasets/Wersing-Kolana.tsv		
31	hole	kola1287	Wersing-Taramana	Timor-Alor-Pantar	3Alor, 3East	ka'dar	nan	k a d á r	('hole', 'kola1287', 'kadár')	datasets/Wersing-Kolana.tsv		
