Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ahalingtama	nan	nan	"('sky', 'atim1239', 'ahaliŋtama')"	nan		
1	sun	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	wari	nan	nan	"('sun', 'atim1239', 'wari')"	nan		
2	moon	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ije	nan	nan	"('moon', 'atim1239', 'ije')"	nan		
3	star	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	fir	nan	nan	"('star', 'atim1239', 'fir')"	nan		
3	star	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	fɪr	nan	nan	"('star', 'atim1239', 'fir')"	nan		
4	night	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	tuŋtama	nan	nan	"('night', 'atim1239', 'tuŋtama')"	nan		
5	day	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	tadeŋ	nan	nan	"('day', 'atim1239', 'tadeŋ')"	nan		
7	morning	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	fala:kda	nan	nan	"('morning', 'atim1239', 'fala:kda')"	nan		
8	yesterday	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	tuwola	nan	nan	"('yesterday', 'atim1239', 'tuwola')"	nan		
10	tomorrow	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	aˈkun	nan	nan	"('tomorrow', 'atim1239', 'aˈkun')"	nan		
11	day after tomorrow	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ayoku	nan	nan	"('day after tomorrow', 'atim1239', 'ayoku')"	nan		
12	twilight; dawn	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	arii dape	nan	nan	"('twilight; dawn', 'atim1239', 'arii dape')"	nan		
13	cloud	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	tabo	nan	nan	"('cloud', 'atim1239', 'tabo')"	nan		
14	wind	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	timoi	nan	nan	"('wind', 'atim1239', 'timoi')"	nan		
15	rain	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	anui	nan	nan	"('rain', 'atim1239', 'anui')"	nan		
17	rainbow	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ho	nan	nan	"('rainbow', 'atim1239', 'ho')"	nan		
18	thunder	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	adii damalai dia	nan	nan	"('thunder', 'atim1239', 'adii damalai dia')"	nan		
19	lightning	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ahalai	nan	nan	"('lightning', 'atim1239', 'ahalai')"	nan		
19	lightning	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ahalai hai	nan	nan	"('lightning', 'atim1239', 'ahalai')"	nan		
20	earthquake	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	taijoka	nan	nan	"('earthquake', 'atim1239', 'taijoka')"	nan		
21	fog	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	tabeki:	nan	nan	"('fog', 'atim1239', 'tabeki:')"	nan		
22	river; stream	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	lu (foko)	nan	nan	"('river; stream', 'atim1239', 'lu (foko)')"	nan		
25	lake	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	wa: takata	‘lake that dries out quickly’	nan	"('lake', 'atim1239', 'wa: takata')"	nan		
26	mountain	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	buku watika	nan	nan	"('mountain', 'atim1239', 'buku watika')"	nan		
27	hill; ridge	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	watika	nan	nan	"('hill; ridge', 'atim1239', 'watika')"	nan		
28	village	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	melaŋ	nan	nan	"('village', 'atim1239', 'melaŋ')"	nan		
29	land; soil	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	anai	nan	nan	"('land; soil', 'atim1239', 'anai')"	nan		
30	Earth	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	buku	nan	nan	"('Earth', 'atim1239', 'buku')"	nan		
31	hole	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	lukula	nan	nan	"('hole', 'atim1239', 'lukula')"	nan		
32	stone	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	vi:	nan	nan	"('stone', 'atim1239', 'vi:')"	nan		
33	coral (rock)	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	vi: karafi	nan	nan	"('coral (rock)', 'atim1239', 'vi: karafi')"	nan		
34	(coral) reef	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	karafi	nan	nan	"('(coral) reef', 'atim1239', 'karafi')"	nan		
35	water (fresh)	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ye	nan	nan	"('water (fresh)', 'atim1239', 'ye')"	nan		
36	sea; sea water	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	tama	nan	nan	"('sea; sea water', 'atim1239', 'tama')"	nan		
37	wave	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	fɔ	nan	nan	"('wave', 'atim1239', 'fɔ')"	nan		
38	foam	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	baˈlakiŋ	nan	nan	"('foam', 'atim1239', 'baˈlakiŋ')"	nan		
39	forest	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	atiŋ	nan	nan	"('forest', 'atim1239', 'atiŋ')"	nan		
40	field	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	rol	nan	nan	"('field', 'atim1239', 'rol')"	nan		
43	garden	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ˈuti	nan	nan	"('garden', 'atim1239', 'ˈuti')"	nan		
45	road; path; way	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	safoka telesiŋ	nan	nan	"('road; path; way', 'atim1239', 'safoka telesiŋ')"	nan		
45	road; path; way	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	safoko	nan	nan	"('road; path; way', 'atim1239', 'safoko')"	nan		
46	canoe	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	pelaŋ	nan	nan	"('canoe', 'atim1239', 'pelaŋ')"	nan		
49	fishing hook	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	haualai	nan	nan	"('fishing hook', 'atim1239', 'haualai')"	nan		
50	fish trap	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ˈtere	nan	nan	"('fish trap', 'atim1239', 'ˈtere')"	nan		
51	rope	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ˈtila	nan	nan	"('rope', 'atim1239', 'ˈtila')"	nan		
52	machete	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	kaweni	nan	nan	"('machete', 'atim1239', 'kaweni')"	nan		
53	axe	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	faliŋ	nan	nan	"('axe', 'atim1239', 'faliŋ')"	nan		
54	spear	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	kafak	nan	nan	"('spear', 'atim1239', 'kafak')"	nan		
56	stick; pole	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	tukoraŋ	nan	nan	"('stick; pole', 'atim1239', 'tukoraŋ')"	nan		
57	digging stick	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ahatiŋ	nan	nan	"('digging stick', 'atim1239', 'ahatiŋ)"	nan		
59	bow	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	peti	nan	nan	"('bow', 'atim1239', 'peti')"	nan		
60	arrow	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	kafu	"pulaŋ ‘small arrow’, kaw ‘large arrow’, kafu ‘large arrow’"	nan	"('arrow', 'atim1239', 'kafu')"	nan		
60	arrow	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	kaw	"pulaŋ ‘small arrow’, kaw ‘large arrow’, kafu ‘large arrow’"	nan	"('arrow', 'atim1239', 'kafu')"	nan		
60	arrow	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	pulaŋ	"pulaŋ ‘small arrow’, kaw ‘large arrow’, kafu ‘large arrow’"	nan	"('arrow', 'atim1239', 'kafu')"	nan		
61	knife	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	lui	nan	nan	"('knife', 'atim1239', 'lui')"	nan		
62	comb	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ˈketi	nan	nan	"('comb', 'atim1239', 'ˈketi')"	nan		
63	mat	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	adik	nan	nan	"('mat', 'atim1239', 'adik')"	nan		
64	needle	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	tiŋ	nan	nan	"('needle', 'atim1239', 'tiŋ')"	nan		
66	oven	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	dikiŋ	nan	d i k i n g	"('oven', 'atim1239', 'diking')"	nan		
67	fire	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ara	nan	nan	"('fire', 'atim1239', 'ara')"	nan		
68	smoke	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ara tika	nan	nan	"('smoke', 'atim1239', 'ara tika')"	nan		
69	ash	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	arui	nan	a r u i	"('ash', 'atim1239', 'arui')"	nan		
70	dust; fine earth	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	tabwoŋ	nan	nan	"('dust; fine earth', 'atim1239', 'tabwoŋ')"	nan		
72	mud	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	dakuŋ	nan	nan	"('mud', 'atim1239', 'dakuŋ')"	nan		
73	clay	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	kuŋ	nan	nan	"('clay', 'atim1239', 'kuŋ')"	nan		
74	gravel	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	vi: bikati	nan	nan	"('gravel', 'atim1239', 'vi: bikati')"	nan		
75	sand	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	malatai	nan	nan	"('sand', 'atim1239', 'malatai')"	nan		
76	grass; brush	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	kupe	nan	nan	"('grass; brush', 'atim1239', 'kupe')"	nan		
77	house	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	tofa	nan	nan	"('house', 'atim1239', 'tofa')"	nan		
78	traditional house	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	kadaŋ	nan	nan	"('traditional house', 'atim1239', 'kadaŋ')"	nan		
78	traditional house	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	kudaŋ	nan	nan	"('traditional house', 'atim1239', 'kadaŋ')"	nan		
79	barn; storage house	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	kadaŋ	nan	nan	"('barn; storage house', 'atim1239', 'kadaŋ')"	nan		
79	barn; storage house	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	kudaŋ	nan	nan	"('barn; storage house', 'atim1239', 'kadaŋ')"	nan		
80	raised platform	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	lik	nan	nan	"('raised platform', 'atim1239', 'lik')"	nan		
81	door	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	luŋ	nan	nan	"('door', 'atim1239', 'luŋ')"	nan		
82	(thatch) roof	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	wai	nan	nan	"('(thatch) roof', 'atim1239', 'wai')"	nan		
83	roof thatch	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	file	nan	nan	"('roof thatch', 'atim1239', 'file')"	nan		
84	tree	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ˈbata	nan	nan	"('tree', 'atim1239', 'ˈbata')"	nan		
86	bark (of tree)	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ˈbata kul	nan	nan	"('bark (of tree)', 'atim1239', 'ˈbata kul')"	nan		
87	leaf	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	tala	nan	nan	"('leaf', 'atim1239', 'tala')"	nan		
88	branch	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ˈbata takawak	nan	nan	"('branch', 'atim1239', 'ˈbata takawak')"	nan		
89	firewood	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ara	nan	nan	"('firewood', 'atim1239', 'ara')"	nan		
90	rattan	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	furak	nan	nan	"('rattan', 'atim1239', 'furak')"	nan		
91	root	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	ai	nan	nan	"('root', 'atim1239', 'ai')"	nan		
92	fruit	atim1239	Abui-Atimelang	Timor-Alor-Pantar	"3Alor, 2Central"	iti	nan	nan	"('fruit', 'atim1239', 'iti')"	nan		
