Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	adi	nan	nan	('sky', 'abui1241-fuime', 'adi')	nan		
1	sun	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	wari	nan	nan	('sun', 'abui1241-fuime', 'wari')	nan		
2	moon	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	ije	nan	nan	('moon', 'abui1241-fuime', 'ije')	nan		
3	star	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	fɪri	nan	nan	('star', 'abui1241-fuime', 'fɪri')	nan		
4	night	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	tuŋtama	nan	nan	('night', 'abui1241-fuime', 'tuŋtama')	nan		
5	day	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	tadeŋ	nan	nan	('day', 'abui1241-fuime', 'tadeng')	nan		
7	morning	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	akuni	nan	nan	('morning', 'abui1241-fuime', 'akuni')	nan		
8	yesterday	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	tuona:	nan	nan	('yesterday', 'abui1241-fuime', 'tuonaa')	nan		
9	day before yesterday	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	hetadeŋ ayoku	nan	nan	('day before yesterday', 'abui1241-fuime', 'hetadeng_ayoku')	nan		
10	tomorrow	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	akuni	nan	nan	('tomorrow', 'abui1241-fuime', 'akuni')	nan		
11	day after tomorrow	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	ayoku	nan	nan	('angry', 'lamm1241', 'arugga')	nan		
12	twilight; dawn	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	arida pe	nan	nan	('twilight; dawn', 'abui1241-fuime', 'arida_pe')	nan		
13	cloud	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	kabuti	nan	nan	('cloud', 'abui1241-fuime', 'kabuti')	nan		
14	wind	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	timoi	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
15	rain	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	anui	nan	nan	('rain', 'abui1241-fuime', 'anui')	nan		
19	lightning	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	falielai	nan	nan	('lightning', 'abui1241-fuime', 'falielai')	nan		
20	earthquake	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	taiyoka	nan	nan	('earthquake', 'abui1241-fuime', 'taiyoka')	nan		
21	fog	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	tabo	nan	nan	('fog', 'abui1241-fuime', 'tabo')	nan		
22	river; stream	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	lu	nan	nan	('river; stream', 'abui1241-fuime', 'lu')	nan		
25	lake	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	wafoko	nan	nan	('lake', 'abui1241-fuime', 'wafoko')	nan		
26	mountain	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	buku	nan	nan	('mountain', 'abui1241-fuime', 'buku')	nan		
27	hill; ridge	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	buku	nan	nan	('hill; ridge', 'abui1241-fuime', 'buku')	nan		
28	village	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	melaŋ	nan	nan	('village', 'abui1241-fuime', 'melang')	nan		
29	land; soil	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	anei	nan	nan	('land; soil', 'abui1241-fuime', 'anei')	nan		
30	Earth	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	buku	nan	nan	('Earth', 'abui1241-fuime', 'buku')	nan		
31	hole	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	uli	nan	nan	('hole', 'abui1241-fuime', 'uli')	nan		
32	stone	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	vi	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
33	coral (rock)	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	vi futi	nan	nan	('coral (rock)', 'abui1241-fuime', 'vi_futi')	nan		
34	(coral) reef	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	futi	nan	nan	('(coral) reef', 'abui1241-fuime', 'futi')	nan		
35	water (fresh)	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	je	nan	nan	('water (fresh)', 'abui1241-fuime', 'je')	nan		
36	sea; sea water	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	tama	nan	nan	('sea; sea water', 'abui1241-fuime', 'tama')	nan		
37	wave	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	fou	nan	nan	('wave', 'abui1241-fuime', 'fou')	nan		
38	foam	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	bou bala:kiŋ	nan	nan	('foam', 'abui1241-fuime', 'bou_balaaking')	nan		
40	field	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	rol	nan	nan	('field', 'abui1241-fuime', 'rol')	nan		
43	garden	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	uti	nan	nan	('garden', 'abui1241-fuime', 'uti')	nan		
45	road; path; way	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	sefoko	nan	nan	('road; path; way', 'abui1241-fuime', 'sefoko')	nan		
51	rope	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	tila	nan	nan	('rope', 'abui1241-fuime', 'tila')	nan		
52	machete	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	kaweni	nan	nan	('machete', 'abui1241-fuime', 'kaweni')	nan		
53	axe	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	faliŋ	nan	nan	('axe', 'abui1241-fuime', 'faling')	nan		
56	stick; pole	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	tukaraŋ	nan	nan	('stick; pole', 'abui1241-fuime', 'tukarang')	nan		
59	bow	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	peti	nan	nan	('bow', 'abui1241-fuime', 'peti')	nan		
60	arrow	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	kaike	nan	nan	('arrow', 'abui1241-fuime', 'kaike')	nan		
61	knife	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	lui	nan	nan	('knife', 'abui1241-fuime', 'lui')	nan		
62	comb	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	ke:ti	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
63	mat	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	adik	nan	nan	('mat', 'abui1241-fuime', 'adik')	nan		
64	needle	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	3Alor, 2Central	tiŋ	nan	nan	('needle', 'abui1241-fuime', 'ting')	nan		
