Feature_ID	Language_ID	Value	English	Language name (-dialect)	Family	Region	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	abui1241-petle	a.di( )	sky	Abui-Petleng	Timor-Alor-Pantar	3Alor, 2Central		a d - - i	4879.0			
0.0	abui1241-petle-o	adi	sky	Abui-Petleng (Orthographic)	Timor-Alor-Pantar	3Alor, 2Central		a d - - i	4879.0			
4.0	abui1241-petle	ak.'un	night	Abui-Petleng	Timor-Alor-Pantar	3Alor, 2Central		- - a k ˈu n - -	928.0			
4.0	abui1241-petle-o	akun	night	Abui-Petleng (Orthographic)	Timor-Alor-Pantar	3Alor, 2Central		- - a k u n - -	928.0			
5.0	abui1241-petle	leŋ	day	Abui-Petleng	Timor-Alor-Pantar	3Alor, 2Central		l e ŋ - -	4976.0			
5.0	abui1241-petle-o	leng	day	Abui-Petleng (Orthographic)	Timor-Alor-Pantar	3Alor, 2Central		l e n g -	4976.0			
6.0	abui1241-petle	tuŋ	year	Abui-Petleng	Timor-Alor-Pantar	3Alor, 2Central		t u ŋ - -	171.0			
6.0	abui1241-petle-o	tung	year	Abui-Petleng (Orthographic)	Timor-Alor-Pantar	3Alor, 2Central		t u n - g	171.0			
10.0	abui1241-petle	ar.'ja	tomorrow	Abui-Petleng	Timor-Alor-Pantar	3Alor, 2Central		a r ˈj a	4942.0			
10.0	abui1241-petle-o	aria	tomorrow	Abui-Petleng (Orthographic)	Timor-Alor-Pantar	3Alor, 2Central		a r i - a	4983.0			
14.0	abui1241-petle	ta.'moi	wind	Abui-Petleng	Timor-Alor-Pantar	3Alor, 2Central		t a ˈm o - i -	3694.0			
14.0	abui1241-petle-o	tamoi	wind	Abui-Petleng (Orthographic)	Timor-Alor-Pantar	3Alor, 2Central		t a m o - i -	3694.0			
28.0	abui1241-petle	'me.laŋ	village	Abui-Petleng	Timor-Alor-Pantar	3Alor, 2Central		ˈm e l a ŋ -	4911.0			
28.0	abui1241-petle-o	melang	village	Abui-Petleng (Orthographic)	Timor-Alor-Pantar	3Alor, 2Central		m e l a n g	4911.0			
32.0	abui1241-petle	ʋi	stone	Abui-Petleng	Timor-Alor-Pantar	3Alor, 2Central		ʋ i - -	500.0			
32.0	abui1241-petle-o	wi	stone	Abui-Petleng (Orthographic)	Timor-Alor-Pantar	3Alor, 2Central		w i - -	500.0			
46.0	abui1241-petle	'pe.laŋ	canoe	Abui-Petleng	Timor-Alor-Pantar	3Alor, 2Central		ˈp e l a ŋ -	4971.0			
46.0	abui1241-petle-o	pelang	canoe	Abui-Petleng (Orthographic)	Timor-Alor-Pantar	3Alor, 2Central		p e l a n g	4971.0			
47.0	abui1241-petle	lol	sail (n.)	Abui-Petleng	Timor-Alor-Pantar	3Alor, 2Central		- l o l	3103.0			
47.0	abui1241-petle-o	lol	sail (n.)	Abui-Petleng (Orthographic)	Timor-Alor-Pantar	3Alor, 2Central		- l o l	3103.0			
49.0	abui1241-petle-o	x	fishing hook	Abui-Petleng (Orthographic)	Timor-Alor-Pantar	3Alor, 2Central		x	4986.0			
