Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	3Alor, 2Central	ä.'di	nan	ä .' d - - -	('sky', 'abui1241-fuime', 'adi')	datasets/abztakalelanggs201505wordlist.tsv		
1	sun	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	3Alor, 2Central	wär	nan	- w ä r - - - - - - -	('sun', 'abui1241-fuime', 'wari')	datasets/abztakalelanggs201505wordlist.tsv		
2	moon	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	3Alor, 2Central	i.'jä	nan	- - i - .' j -	('moon', 'abui1241-fuime', 'ije')	datasets/abztakalelanggs201505wordlist.tsv		
3	star	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	3Alor, 2Central	fi:r	nan	- - - - - f i: r - - - -	('star', 'abui1241-fuime', 'fɪri')	datasets/abztakalelanggs201505wordlist.tsv		
4	night	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	3Alor, 2Central	tun.'tä.mä	nan	t u n .' t ä .	"('night', 'abui1241-takal', ""tun.'tä.mä"")"	datasets/abztakalelanggs201505wordlist.tsv		
5	day	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	3Alor, 2Central	tä.de̞̞äŋ	nan	t ä . de̞ ̞ ä	('day', 'abui1241-takal', 'tä.de̞̞äŋ')	datasets/abztakalelanggs201505wordlist.tsv		
6	year	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	3Alor, 2Central	tu:ŋ	nan	- t u: - ŋ - - - -	('year', 'abui1241-petle', 'tuŋ')	datasets/abztakalelanggs201505wordlist.tsv		
7	morning	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	3Alor, 2Central	fä.la:k.dä	nan	f ä . la : k .	('morning', 'abui1241-takal', 'fä.la:k.dä')	datasets/abztakalelanggs201505wordlist.tsv		
8	yesterday	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	3Alor, 2Central	ä.fe̞j.dä	nan	ä . fe ̞ j .	('yesterday', 'abui1241-takal', 'ä.fe̞j.dä')	datasets/abztakalelanggs201505wordlist.tsv		
9	day before yesterday	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	3Alor, 2Central	he̞.tä.de̞äŋ  wä.hä	nan	h e̞ . t ä .d e ̞ äŋ _ _ w ä	('day before yesterday', 'abui1241-takal', 'he̞.tä.de̞äŋ  wä.hä')	datasets/abztakalelanggs201505wordlist.tsv		
