Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	adi	ɟa but	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
1.0	sun	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	wari	nan	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
2.0	moon	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	ija	nan	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
3.0	star	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	fir lakai	also gave firi	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
4.0	night	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	akuni	kampung kalunan (bahasa pantai)	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
5.0	day	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	lieŋ	nan	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
6.0	year	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	tuŋ	nan	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
7.0	morning	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	nalukaŋ	nan	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
8.0	yesterday	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	afe	nan	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
8.0	yesterday	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	ave	nan	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
9.0	day before yesterday	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	tuona ari	nan	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
10.0	tomorrow	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	ari:	nan	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
11.0	day after tomorrow	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	ari aki	nan	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
12.0	twilight; dawn	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	nalukaŋ	nan	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
13.0	cloud	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	tabok	nan	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
14.0	wind	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	simoi	Speaker first produced an unstressed /u/ and produced /i/ in careful speech	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
14.0	wind	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	sumoi	Speaker first produced an unstressed /u/ and produced /i/ in careful speech	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
15.0	rain	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	anui	nan	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
16.0	drizzle	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	anui wobianra	nan	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
17.0	rainbow	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	ɟo:t	first said loot (timbangan)	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
18.0	thunder	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	piniŋ giaŋ wodinra	nan	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
19.0	lightning	abui1241-ulaga	Abui-Ulaga	Timor-Alor-Pantar	3Alor, 2Central	falekal	nan	nan	nan	datasets/abzuggs20160303motherlistwithcoresetabuiulaga.tsv		
