Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	buraŋ	nan	b u r - - - a ŋ - - -	('sky', 'adan1251-otvai', 'buraŋ')	datasets/adnhc20150923wordlist.tsv		
1	sun	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	fed	nan	- f e d - - - - - - -	('sun', 'abui1241-fuime', 'wari')	datasets/adnhc20150923wordlist.tsv		
2	moon	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	ul	nan	- - u l - - -	('moon', 'abui1241-fuime', 'ije')	datasets/adnhc20150923wordlist.tsv		
3	star	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	ibiŋ	nan	- - - i - b i ŋ - - - -	('star', 'abui1241-fuime', 'fɪri')	datasets/adnhc20150923wordlist.tsv		
4	night	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	dil pana	nan	d i l _ p a n a	('night', 'adan1251-lawah', 'dil ʔuʔu')	datasets/adnhc20150923wordlist.tsv		
4	night	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	panaʔ	nan	p a n a ʔ	('night', 'adan1251-otvai', 'panaʔ')	datasets/adnhc20150923wordlist.tsv		
5	day	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	tarɛŋ	nan	t a r ɛ ŋ	('day', 'abui1241-fuime', 'tadeŋ')	datasets/adnhc20150923wordlist.tsv		
5	day	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	ved	nan	v e d - - - - - -	('day', 'adan1251-lawah', 'wɛd saha')	datasets/adnhc20150923wordlist.tsv		
6	year	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	tun	nan	- t u - n - - - -	('year', 'abui1241-petle', 'tuŋ')	datasets/adnhc20150923wordlist.tsv		
7	morning	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	lalami	nan	l a l a m i	('morning', 'adan1251-otvai', 'lalami')	datasets/adnhc20150923wordlist.tsv		
8	yesterday	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	ufami	nan	u f a - m i - -	('yesterday', 'adan1251-lawah', 'ʔu:mi')	datasets/adnhc20150923wordlist.tsv		
9	day before yesterday	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	ɔ tarɛŋ alɔ mi	2 days ago	ɔ _ t a r ɛ ŋ _ a l ɔ _ m i	('day before yesterday', 'adan1251-otvai', 'ɔ tarɛŋ alɔ mi')	datasets/adnhc20150923wordlist.tsv		
10	tomorrow	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	dilɛl	nan	- - d i l ɛ l -	('tomorrow', 'adan1251-lawah', 'dilɛlɛ')	datasets/adnhc20150923wordlist.tsv		
11	day after tomorrow	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	dilɛl alɔʔ	nan	d i l ɛ l _ a l ɔ ʔ	('day after tomorrow', 'adan1251-otvai', 'dilɛl alɔʔ')	datasets/adnhc20150923wordlist.tsv		
