Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’burɑŋ	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
1.0	sun	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’fed	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
2.0	moon	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’ul	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
3.0	star	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’ibiŋ	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
4.0	night	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’panaʔ	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
5.0	day	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’fed	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
6.0	year	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’tun	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
7.0	morning	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	la’lamiʔ	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
8.0	yesterday	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	u’faŋmiʔ	lit. ‘two days ago’	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
9.0	day before yesterday	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	o ta’rɛŋalo ’miʔ	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
10.0	tomorrow	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	di’lɛl	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
11.0	day after tomorrow	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’alo	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
12.0	twilight; dawn	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’dil la’lamiʔ	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
13.0	cloud	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	ta’fiʔiŋ	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
14.0	wind	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	ha’mɔi	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
15.0	rain	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’nɔi	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
16.0	drizzle	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’nɔi ’reʔreʔ	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
17.0	rainbow	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’haʔ boʔ	da’ʔud =  ‘sound’	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
18.0	thunder	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’buraŋ da’ʔud	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
19.0	lightning	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	la’ʔai	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
20.0	earthquake	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	tafu’fui	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
21.0	fog	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	tafi’ʔiŋ	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
22.0	river; stream	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	mɔl	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
25.0	lake	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’sei la’fɔʔ	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
26.0	mountain	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’doi	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
27.0	hill; ridge	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’doi	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
28.0	village	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’baŋ	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
29.0	land; soil	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	fa’ʔai	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
30.0	Earth	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	pa’liʔ	nan	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
31.0	hole	adan1251-otvai	Adang-Otvai	Timor-Alor-Pantar	3Alor, 1West	’boi	‘small hole’	nan	nan	datasets/adnhcwordlistfulladangtranscribedbymkjune2017.tsv		
