Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	alor1247-baran	Alorese-Baranusa	Austronesian	1Pantar, 1West	'laŋi	nan	ˈl a ŋ i	"('sky', 'alor1247-baran', ""'laŋi"")"	datasets/aolbaranusamk2003wordlist.tsv		
1	sun	alor1247-baran	Alorese-Baranusa	Austronesian	1Pantar, 1West	la'ra	nan	l a 'r - - - - - a -	"('sun', 'alor1247-baran', ""la'ra"")"	datasets/aolbaranusamk2003wordlist.tsv		
2	moon	alor1247-baran	Alorese-Baranusa	Austronesian	1Pantar, 1West	'fulaŋ	nan	'f u l a ŋ	"('moon', 'alor1247-baran', ""'fulaŋ"")"	datasets/aolbaranusamk2003wordlist.tsv		
3	star	alor1247-baran	Alorese-Baranusa	Austronesian	1Pantar, 1West	ta'mala	nan	- - - - t a - 'm a l a -	"('star', 'alor1247-baran', ""ta'mala"")"	datasets/aolbaranusamk2003wordlist.tsv		
4	night	alor1247-baran	Alorese-Baranusa	Austronesian	1Pantar, 1West	ma'reŋ	nan	- - m a 'r - - - e - - ŋ -	"('night', 'abui1241-petle', ""ak.'un"")"	datasets/aolbaranusamk2003wordlist.tsv		
5	day	alor1247-baran	Alorese-Baranusa	Austronesian	1Pantar, 1West	la'ra:	nan	l a 'r a: -	('day', 'abui1241-petle', 'leŋ')	datasets/aolbaranusamk2003wordlist.tsv		
6	year	alor1247-baran	Alorese-Baranusa	Austronesian	1Pantar, 1West	'tu:ŋ	nan	- 't u: - ŋ - - - -	('year', 'abui1241-petle', 'tuŋ')	datasets/aolbaranusamk2003wordlist.tsv		
14	wind	alor1247-baran	Alorese-Baranusa	Austronesian	1Pantar, 1West	'aŋi	nan	- - 'a ŋ - - i - - -	"('wind', 'alor1247-baran', ""'aŋi"")"	datasets/aolbaranusamk2003wordlist.tsv		
22	river; stream	alor1247-baran	Alorese-Baranusa	Austronesian	1Pantar, 1West	'kali	nan	'k a l i -	('river; stream', 'abui1241-fuime', 'lu')	datasets/aolbaranusamk2003wordlist.tsv		
23	ice	alor1247-baran	Alorese-Baranusa	Austronesian	1Pantar, 1West	'ɛs	nan	- 'ɛ s -	"('ice', 'alor1247-baran', ""'ɛs"")"	datasets/aolbaranusamk2003wordlist.tsv		
24	snow	alor1247-baran	Alorese-Baranusa	Austronesian	1Pantar, 1West	salʤu	nan	s a l ʤ - u	('snow', 'alor1247-baran', 'salʤu')	datasets/aolbaranusamk2003wordlist.tsv		
25	lake	alor1247-baran	Alorese-Baranusa	Austronesian	1Pantar, 1West	'danɑu	nan	- 'd a n ɑu -	"('lake', 'alor1247-baran', ""'danɑu"")"	datasets/aolbaranusamk2003wordlist.tsv		
