Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
7	morning	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		na-noka	nan	nan	('morning', 'amar1273-kotos', 'n-meu_n-fiin,_na-noka,_possible_alternation')	nan		
7	morning	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		kiku	nan	nan	('morning', 'amar1273-kotos', 'kiku')	nan		
8	yesterday	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		afi naa	nan	nan	('yesterday', 'adan1251', 'ufami')	nan		
10	tomorrow	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		nokaʔ	nan	nan	('tomorrow', 'amar1273-kotos', 'nokaʔ')	nan		
11	day after tomorrow	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		n-meu	nan	nan	('day after tomorrow', 'amar1273-kotos', 'n-meu')	nan		
12	twilight; dawn	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		nokaʔ snaat	nokaʔ snaat: dawn (lit. tomorrow light)	nan	('twilight; dawn', 'amar1273-kotos', 'nokaʔ_snaat')	nan		
13	cloud	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		nope	nan	nan	"('cloud', 'alor1247-munas', ""'nabaʔ"")"	nan		
14	wind	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		anin	nan	nan	('all', 'adon1237', 'ˈwahã_ˈkaeʔ')	nan		
15	rain	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		uran	nan	nan	('rain', 'adon1237', 'ˈʔurɑŋ')	nan		
17	rainbow	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		enus	nan	nan	('rainbow', 'amar1273-kotos', 'enus')	nan		
18	thunder	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		ʔrotos	nan	nan	('thunder', 'amar1273-kotos', 'ʔrotos')	nan		
19	lightning	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		rimat	nan	nan	('lightning', 'amar1273-kotos', 'rimat')	nan		
20	earthquake	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		tainonus	nan	nan	('earthquake', 'amar1273-kotos', 'tainonus')	nan		
21	fog	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		pupu	possible alternation	nan	"('fog', 'alor1247-munas', ""sə'pu"")"	nan		
21	fog	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		nipuʔ	nan	nan	"('fog', 'alor1247-munas', ""sə'pu"")"	nan		
22	river; stream	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		noe	nan	nan	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan		
25	lake	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		nefo	nan	nan	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan		
26	mountain	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		ʔtoʔef	nan	nan	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan		
27	hill; ridge	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		ʔtubu	nan	nan	('hill; ridge', 'amar1273-kotos', 'ʔtubu')	nan		
28	village	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		kuan	nan	nan	('village', 'adan1251', 'baŋ')	nan		
29	land; soil	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		afu	nan	nan	('land; soil', 'amar1273-kotos', 'afu')	nan		
30	Earth	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		paha ʔpinan	lit. country below	nan	('Earth', 'amar1273-kotos', 'paha_ʔpinan')	nan		
31	hole	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		konaʔ	nan	nan	('hole', 'amar1273-kotos', 'konaʔ')	nan		
32	stone	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		fatu	nan	nan	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan		
34	(coral) reef	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		fatu kruruf	soft.coral	nan	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan		
35	water (fresh)	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		oe	nan	nan	"('water (fresh)', 'adon1237', ""'wɑi"")"	nan		
36	sea; sea water	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		tasi	nan	nan	"('sea; sea water', 'alor1247-besar', ""'tahi"")"	nan		
37	wave	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		okin	nan	nan	('wave', 'amar1273-kotos', 'okin')	nan		
38	foam	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		ʔfuriʔ	nan	nan	('foam', 'adan1251', 'fara')	nan		
39	forest	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		nasi	nan	nan	('forest', 'amar1273-kotos', 'nasi')	nan		
40	field	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		rene	nan	nan	('field', 'amar1273-kotos', 'rene')	nan		
41	island	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		puru	Mal. Loan	nan	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan		
42	rice field	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		ain-oek	nan	nan	('rice field', 'amar1273-kotos', 'ain-oek')	nan		
43	garden	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		poʔon	nan	nan	('garden', 'amar1273-kotos', 'poʔon')	nan		
44	fence	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		bahak	nan	nan	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan		
45	road; path; way	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		ranan	nan	nan	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan		
46	canoe	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		kofaʔ	nan	nan	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan		
51	rope	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		tani	nan	nan	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan		
52	machete	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		benas	nan	nan	('machete', 'amar1273-kotos', 'benas')	nan		
53	axe	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		fani	nan	nan	('axe', 'abui1241-fuime', 'faling')	nan		
54	spear	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		aunu	nan	nan	('spear', 'amar1273-kotos', 'aunu')	nan		
55	burden stick	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		nepat	nan	nan	('burden stick', 'amar1273-kotos', 'nepat')	nan		
56	stick; pole	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		nonoʔ	possible alternation, teas: walking stick, nonoʔ: stick (batang)	nan	('stick; pole', 'amar1273-kotos', 'nonoʔ')	nan		
56	stick; pole	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		teas	nan	nan	('stick; pole', 'amar1273-kotos', 'teas')	nan		
57	digging stick	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		ʔsuak	nan	nan	('digging stick', 'amar1273-kotos', 'ʔsuak')	nan		
59	bow	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		kraut	nan	nan	('bow', 'amar1273-kotos', 'kraut')	nan		
60	arrow	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		kraut	kraut: bow and arrow	nan	('arrow', 'amar1273-kotos', 'kraut')	nan		
61	knife	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		besi	nan	nan	('knife', 'amar1273-kotos', 'besi')	nan		
62	comb	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		soʔit	nan	nan	('comb', 'amar1273-kotos', 'soʔit')	nan		
63	mat	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		ʔnahek	nan	nan	('mat', 'adon1237', 'ˈʔɔhãː')	nan		
64	needle	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		anet	nan	nan	('needle', 'amar1273-kotos', 'anet')	nan		
65	clothing	amar1273-kotos	Amarasi-Uab Meto-Kotos	Austronesian		pake	nan	nan	"('clothing', 'alor1247-besar', ""pa'kiãŋ"")"	nan		
