Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	'buraŋ	check the pronouns or pronominal prefixes in Steinhauer and see where they are used in  the word list	ˈb u r a ŋ - - -	849.0	nan		
1.0	sun	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	wɛd	w=written as v and b, but pronounced as labialized vowel or as /w/	w ɛ d -	2565.0	nan		
2.0	moon	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	uru	onsetless labialized vowel	- u r u -	503.0	nan		
3.0	star	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	jid	onsetless palatalized vowel	j i d -	2438.0	nan		
4.0	night	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	vir 'kua, bir 'kua	nan	v i r _ ˈk u a	3097.0	nan		
5.0	day	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	ta'rɛŋ	nan	t a ˈr ɛ - ŋ -	2959.0	nan		
6.0	year	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	tuŋ	nan	t u ŋ - -	171.0	nan		
7.0	morning	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	'kua 'vɛŋ	nan	ˈk u a _ ˈv ɛ ŋ	2993.0	nan		
8.0	yesterday	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	'malɛŋ	nan	ˈm a l - - ɛ ŋ - - -	282.0	nan		
9.0	day before yesterday	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	bɛnanta'ŋaru	nan	b ɛ n a n t a ˈŋ a r u	3094.0	nan		
10.0	tomorrow	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	'tobaŋ	nan	ˈt o b a - ŋ -	2546.0	nan		
11.0	day after tomorrow	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	bɛnantan 'tue	nan	b ɛ n a n t a n _ ˈt u e	2997.0	nan		
12.0	twilight; dawn	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	ɟala 'abuŋ	nan	- ɟ a l a _ ˈa b - - u ŋ -	3070.0	nan		
13.0	cloud	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	banu	nan	b a n - - u	302.0	nan		
14.0	wind	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	ɛnar	onsetless vowel with small /h/ preceding it	- ɛ n a r	102.0	nan		
15.0	rain	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	a'nuar	onsetless vowel with small /h/ preceding it	- a ˈn u a r	2554.0	nan		
16.0	drizzle	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	a'nuar ka'kiri	nan	a ˈn u a r _ k a - - ˈk i r i	959.0	nan		
17.0	rainbow	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	ka'tambe	nan	k a ˈt a m b e - -	2656.0	nan		
18.0	thunder	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	'buraŋ 'dumuŋ	nan	ˈb u r a ŋ _ ˈd u m u ŋ -	2903.0	nan		
19.0	lightning	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	bir'mɛla	MT pronounces /b/ slightly implosive	b i r ˈm ɛ l - - a -	2607.0	nan		
20.0	earthquake	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	'pɔrta'ɟoa	nan	ˈp ɔ r t a ˈɟ o a	2991.0	nan		
21.0	fog	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	bir ma'nuruŋ	MT pronounces /b/ slightly implosive	b i r _ m a ˈn u r u ŋ	2867.0	nan		
22.0	river; stream	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	moar	nan	m o - a r	2444.0	nan		
23.0	ice	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	ɛs	nan	- ɛ s	161.0	nan		
24.0	snow	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	'mopuŋ	nan	ˈm o p u ŋ	3112.0	nan		
25.0	lake	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	'zalbal, 'jalval	variation in pronunciation of /z,j/ and /b,v/	ˈz a l b a l	2962.0	nan		
26.0	mountain	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	dɔl	nan	- d - ɔ l	3073.0	nan		
27.0	hill; ridge	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	abu	onsetless vowel with small /h/ preceding it	- a - b - - u	1249.0	nan		
28.0	village	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	abaŋ	nan	- a b a ŋ -	538.0	nan		
29.0	land; soil	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	make	nan	m a k - e -	294.0	nan		
30.0	Earth	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	pɔr	nan	p ɔ r	573.0	nan		
31.0	hole	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	bɔr	nan	- - b ɔ r	2713.0	nan		
32.0	stone	pura1258	Blagar-Pura	Timor-Alor-Pantar	2Pura	bar, var, war	variation in pronunciation of initial consonant, unlike in previous word /bor/ 'hole'	b a r -	500.0	nan		
