Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	buna1278-bobon	Bunak-Bobonaro	Timor-Alor-Pantar	4Timor, 2Central	fa:n	The word list contains different dialects. The lexical differences are often between Suai and Bobonaro/Maliana. Phonological differences include: /ph/ in Suai often corresponds to  /f/ in Bobonaro; and  /r/ in Suai may correspond to /l/ in Bobonaro.	- f aː n - - -	(0, 'kula1280-lanto', 'apəŋge(y)a')	nan		
1.0	sun	buna1278-bobon	Bunak-Bobonaro	Timor-Alor-Pantar	4Timor, 2Central	hɔt	nan	- - - - h ɔ t -	(1, 'atim1239', 'wari')	nan		
2.0	moon	buna1278-bobon	Bunak-Bobonaro	Timor-Alor-Pantar	4Timor, 2Central	hul	nan	h u l	(2, 'adan1251', 'ul')	nan		
3.0	star	buna1278-bobon	Bunak-Bobonaro	Timor-Alor-Pantar	4Timor, 2Central	bi:	nan	- - b - iː -	(3, 'atim1239', 'fir')	nan		
4.0	night	buna1278-bobon	Bunak-Bobonaro	Timor-Alor-Pantar	4Timor, 2Central	ɛnɛ	nan	ɛ n ɛ	(4, 'buna1278-bobon', 'ɛnɛ')	nan		
5.0	day	buna1278-bobon	Bunak-Bobonaro	Timor-Alor-Pantar	4Timor, 2Central	lɛ:	nan	l ɛː	(5, 'buna1278-bobon', 'lɛ:')	nan		
6.0	year	buna1278-bobon	Bunak-Bobonaro	Timor-Alor-Pantar	4Timor, 2Central	thɔ:	nan	th ɔː -	(6, 'keda1252', 'tun')	nan		
7.0	morning	buna1278-bobon	Bunak-Bobonaro	Timor-Alor-Pantar	4Timor, 2Central	leigie	nan	l e i g i e	(7, 'lamm1241', 'mabu')	nan		
8.0	yesterday	buna1278-bobon	Bunak-Bobonaro	Timor-Alor-Pantar	4Timor, 2Central	ɛrɛnɔ	nan	ɛ r ɛ n ɔ	(8, 'buna1278-bobon', 'ɛrɛnɔ')	nan		
9.0	day before yesterday	buna1278-bobon	Bunak-Bobonaro	Timor-Alor-Pantar	4Timor, 2Central	hile reiˑno	nan	h i l e _ r e iˑ n o	(9, 'buna1278-bobon', 'hile reiˑno')	nan		
