Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	pha:n	The word list contains different dialects. The lexical differences are often between Suai and Bobonaro/Maliana. Phonological differences include: /ph/ in Suai often corresponds to  /f/ in Bobonaro; and  /r/ in Suai may correspond to /l/ in Bobonaro.	- ph aː n - - -	5682.0	nan		
1.0	sun	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	hɔt	nan	h ɔ t	7881.0	nan		
2.0	moon	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	hul	nan	h u l - - -	1396.0	nan		
3.0	star	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	bi:	nan	- b iː	7812.0	nan		
4.0	night	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	ɛnɛ	nan	- ɛ - n ɛ	7858.0	nan		
5.0	day	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	lɛ:	nan	l ɛː - - -	4976.0	nan		
6.0	year	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	thɔ:	nan	th ɔː - - -	171.0	nan		
7.0	morning	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	leigie	nan	- l e i g i - e	6036.0	nan		
8.0	yesterday	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	ɛrɛnɔ	nan	ɛ r - - ɛ n ɔ	7752.0	nan		
9.0	day before yesterday	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	hile reiˑno	nan	h i l e _ r e iˑ n o	7785.0	nan		
10.0	tomorrow	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	leigie	nan	l e i g i e	7885.0	nan		
11.0	day after tomorrow	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	hile rei	nan	h i l e _ r e i	7649.0	nan		
12.0	twilight; dawn	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	ɛne gɔlˑnɔ	nan	ɛ n e _ g ɔ lˑ n ɔ	7413.0	nan		
13.0	cloud	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	tahɔ, zɛmɛl	nan	t a h ɔ -	4389.0	nan		
14.0	wind	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	bɛl	nan	b ɛ l -	7804.0	nan		
15.0	rain	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	inɛl	nan	- i n ɛ - l	2554.0	nan		
16.0	drizzle	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	inɛl ga:s	nan	i n ɛ l _ g aː s	7756.0	nan		
17.0	rainbow	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	zɛmo	nan	z ɛ m o	1434.0	nan		
18.0	thunder	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	fa:n təlui	nan	f aː - - n _ t ə l u - i	2903.0	nan		
19.0	lightning	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	pha:n mɛrɛn	nan	ph aː n _ m ɛ r ɛ - - - n	2529.0	nan		
20.0	earthquake	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	mu:g thororo	nan	m uː g _ th o r o r o	7761.0	nan		
21.0	fog	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	taho	nan	t a h o -	4133.0	nan		
22.0	river; stream	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	zɔl	nan	z ɔ l	7622.0	nan		
23.0	ice	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	zelu, es	zelu<Portuguese, es<Indonesian	z e l u - - - - -	7260.0	nan		
24.0	snow	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	zelu, salʤu	zelu<Portuguese, salʤu<Indonesian	z e l - - u	182.0	nan		
25.0	lake	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	lokhon	nan	l o kh o n	7872.0	nan		
26.0	mountain	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	lolowa	phous in  Maliana dialect	l o l o w a	7815.0	nan		
27.0	hill; ridge	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	lolowa gɔl	phous gɔl in Maliana dialect 	l o l o w a _ g ɔ l	7486.0	nan		
28.0	village	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	datho	 dusun, dathɔ in Maliana dialect	d a th o	7805.0	nan		
29.0	land; soil	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	mug	nan	m u g - - -	294.0	nan		
30.0	Earth	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	mug	nan	m u g -	7465.0	nan		
31.0	hole	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	horɛɁ	nan	h o r ɛ ʔ	7910.0	nan		
32.0	stone	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	hɔl	nan	h ɔ l	7868.0	nan		
33.0	coral (rock)	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	hɔl phi	hɔl phi in Maliana dialect	h ɔ l - - _ ph i -	3760.0	nan		
34.0	(coral) reef	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	phi	phi in Maliana dialect	ph i	7457.0	nan		
35.0	water (fresh)	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	Ɂil	mɔ = sea	ʔ i l	5261.0	nan		
36.0	sea; sea water	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	mɔ Ɂil	mɔ = sea	m ɔ _ ʔ i l	7726.0	nan		
37.0	wave	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	mɔ ʧue	nan	m ɔ _ ʧ u e	7908.0	nan		
38.0	foam	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	pɔ:	nan	p ɔː -	1475.0	nan		
39.0	forest	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	ɔtɛl mil	ɔtel=wood, athak= forest/green, mil=inside	ɔ t ɛ l _ m i l	7844.0	nan		
40.0	field	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	u: mil	nan	uː _ m i l	7900.0	nan		
41.0	island	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	ila	ila<Portuguese, pulau<Indonesian	- i l a -	3343.0	nan		
42.0	rice field	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	loɛ mug il, loɛ mug sɔ	loɛ=sawah, mug=soil, sɔ=dry, il = wet	l o ɛ _ m u g _ i l	7578.0	nan		
43.0	garden	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	maɁ	nan	- m a ʔ	7810.0	nan		
44.0	fence	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	luʧuk	nan	l u ʧ u k	3095.0	nan		
45.0	road; path; way	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	mɛlɛ	nan	- m ɛ l ɛ	5938.0	nan		
46.0	canoe	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	bɛlɔ	bɛlɔ<Tetun D	b ɛ l ɔ - -	4971.0	nan		
47.0	sail (n.)	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	labu, laŋ, lajar	laŋ<Tetun D, lajar<Indonesian	l a b u	3341.0	nan		
48.0	to sail	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	labu	nan	l a b u	7763.0	nan		
49.0	fishing hook	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	khail	nan	kh a i l	1147.0	nan		
50.0	fish trap	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	rɛnɛ	rɛnɛ= fishnet	r ɛ n ɛ	7563.0	nan		
51.0	rope	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	mun	nan	m u n	7911.0	nan		
52.0	machete	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	ʧuri	nan	ʧ u r i	6633.0	nan		
53.0	axe	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	thaɁ	nan	th a ʔ -	1319.0	nan		
54.0	spear	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	sul	nan	s u l	7802.0	nan		
55.0	burden stick	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	lɔlan	nan	l ɔ l a n	5350.0	nan		
56.0	stick; pole	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	thɛɁo gie, ga-thane	thɛɁo gie = stick, ga-thane=pole, lit. 3s-support	th ɛ ʔ o _ g i - e	3206.0	nan		
57.0	digging stick	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	bari, nut, bɛsi bulu	bari=to plant corn, nut=to dig holes for cassava etc., besi bolu = dongkel batu	b a r i	7746.0	nan		
59.0	bow	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	rama	nan	r a m a -	7503.0	nan		
60.0	arrow	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	rama gɔl	nan	r a m a _ g ɔ - l	6995.0	nan		
61.0	knife	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	ʧuri gɔl	nan	ʧ u r i _ g ɔ l -	7866.0	nan		
62.0	comb	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	sabe	nan	s a b e	7841.0	nan		
63.0	mat	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	pil	nan	p i l - -	511.0	nan		
64.0	needle	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	daun	nan	d a u n -	4839.0	nan		
65.0	clothing	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	bai phata	nan	b a - - i _ ph a t a	5458.0	nan		
67.0	fire	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	ɔtɔ, hɔtɔ	nan	- ɔ t ɔ	2459.0	nan		
68.0	smoke	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	botho	nan	b o th o -	7832.0	nan		
70.0	dust; fine earth	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	(mug) lɔbɔt, ɔtɛl lɔbɔt	mug=fireplace, ɔtɛl lɔbɔt = saw dust; otel = wood	- l ɔ b ɔ t	7735.0	nan		
71.0	fireplace ash	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	(mug) lɔbɔt	nan	- l ɔ b ɔ t	7482.0	nan		
72.0	mud	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	nakha	nan	- - n a kh a -	1367.0	nan		
73.0	clay	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	muk philat	nan	m u k _ ph i l a t	339.0	nan		
74.0	gravel	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	hɔlgɔl	nan	h ɔ l g ɔ l	7822.0	nan		
75.0	sand	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	sɛlɛ	nan	s ɛ l ɛ -	208.0	nan		
76.0	grass; brush	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	u:	nan	uː	7452.0	nan		
77.0	house	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	deu, de	nan	- d e u	7557.0	nan		
78.0	traditional house	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	deu pho, deu masak	pho = taboo, sacred; masak = big	- - d e u _ ph o -	3761.0	nan		
79.0	barn; storage house	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	bai golo, lai golo	bai=barang; lai= taruh, g-olo = 3s-place	b a i _ g o l o	7420.0	nan		
80.0	raised platform	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	baleɁ gol	nan	b a l e ʔ _ g o l	7934.0	nan		
81.0	door	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	tazuh, tazu	nan	t a z u h	7768.0	nan		
82.0	(thatch) roof	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	dou thɛ	dou=house, thɛ=slope	d o u _ th ɛ - -	4270.0	nan		
83.0	roof thatch	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	hut	nan	h u t	6306.0	nan		
84.0	tree	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	ɔtɛl bul, ɔtɛl	nan	ɔ t ɛ l _ b u l	7846.0	nan		
85.0	wood	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	ɔtɛl	nan	- ɔ t ɛ l	1026.0	nan		
86.0	bark (of tree)	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	ɔtɛl giɁ	nan	- ɔ t ɛ l _ g i - - ʔ	7852.0	nan		
87.0	leaf	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	nɔ	nan	n ɔ - -	6725.0	nan		
88.0	branch	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	ɔtɛl sanak	nan	ɔ t ɛ l _ s a n a k	7811.0	nan		
89.0	firewood	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	ɔtɛl tsukha	nan	ɔ t ɛ l _ ts u kh a	6035.0	nan		
90.0	rattan	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	sɛn	nan	s ɛ n	7941.0	nan		
91.0	root	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	4Timor, 2Central	g-ɛthɛl	g- = possessive prefix	g ɛ th ɛ l	7915.0	nan		
