Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	nɛl	nan	n ɛ l	('sky', 'fata1247', 'nɛl')	datasets/ddgmk20160112wordlist.tsv		
1	sun	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	watɕu	written by speaker as 'wachu'	- w a t - - ɕ - u - -	('sun', 'abui1241-fuime', 'wari')	datasets/ddgmk20160112wordlist.tsv		
2	moon	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	uru	nan	- - u r - u -	('moon', 'abui1241-fuime', 'ije')	datasets/ddgmk20160112wordlist.tsv		
3	star	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	i'pinaka	nan	- - - i - 'p i n a k a -	('star', 'abui1241-fuime', 'fɪri')	datasets/ddgmk20160112wordlist.tsv		
4	night	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	'kounɛ	nan	- - - - - - - 'k ou - - n ɛ	"('night', 'abui1241-petle', ""ak.'un"")"	datasets/ddgmk20160112wordlist.tsv		
5	day	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	hara	nan	h a r a -	('day', 'fata1247', 'hara')	datasets/ddgmk20160112wordlist.tsv		
6	year	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	aɟa'ira	nan	a ɟ a 'i r a	"('year', 'fata1247', ""aɟa'ira"")"	datasets/ddgmk20160112wordlist.tsv		
7	morning	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	fata'hara	nan	f a t a 'h a r a	"('morning', 'fata1247', ""fata'hara"")"	datasets/ddgmk20160112wordlist.tsv		
8	yesterday	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	'rahi'nɛ	nan	- 'r a h i 'n ɛ	('yesterday', 'buna1278-bobon', 'ɛrɛnɔ')	datasets/ddgmk20160112wordlist.tsv		
9	day before yesterday	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	'rɔhɔ'nɛ	nan	'r ɔ h ɔ 'n - - ɛ	"('day before yesterday', 'fata1247', ""'rɔhɔ'nɛ"")"	datasets/ddgmk20160112wordlist.tsv		
10	tomorrow	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	nɔpɛ	nan	n ɔ p ɛ	('tomorrow', 'fata1247', 'nɔpɛ')	datasets/ddgmk20160112wordlist.tsv		
11	day after tomorrow	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	ta'tunɛ	nan	t a 't u n ɛ	"('day after tomorrow', 'fata1247', ""ta'tunɛ"")"	datasets/ddgmk20160112wordlist.tsv		
12	twilight; dawn	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	'kifata'hara	nan	'k i f a t a 'h a r a	"('twilight; dawn', 'fata1247', ""'kifata'hara"")"	datasets/ddgmk20160112wordlist.tsv		
13	cloud	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	'mɔuku	nan	'm ɔu k u	"('cloud', 'fata1247', ""'mɔuku"")"	datasets/ddgmk20160112wordlist.tsv		
14	wind	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	pari	nan	- - p a r i	('wind', 'buna1278-bobon', 'bɛl')	datasets/ddgmk20160112wordlist.tsv		
15	rain	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	aija	nan	- - ai - - - j a -	('rain', 'alor1249-sar-a', 'ál')	datasets/ddgmk20160112wordlist.tsv		
16	drizzle	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	aija liri-'liri	nan	ai j a _ l i r i -' l i r	"('drizzle', 'fata1247', ""aija liri-'liri"")"	datasets/ddgmk20160112wordlist.tsv		
17	rainbow	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	ara'wɛi	nan	a r a 'w ɛi	"('rainbow', 'fata1247', ""ara'wɛi"")"	datasets/ddgmk20160112wordlist.tsv		
18	thunder	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	tɕi	nan	t ɕ i	('thunder', 'fata1247', 'tɕi')	datasets/ddgmk20160112wordlist.tsv		
19	lightning	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	tɕi 'kara-'kara	nan	t ɕ i _ 'k a r a -' k a r	('lightning', 'blag1240-warsa', 'galagar')	datasets/ddgmk20160112wordlist.tsv		
20	earthquake	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	'ha.ul	nan	'h a . u	"('earthquake', 'fata1247', ""'ha.ul"")"	datasets/ddgmk20160112wordlist.tsv		
21	fog	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	war	nan	- w a r -	('fog', 'fata1247', 'war')	datasets/ddgmk20160112wordlist.tsv		
22	river; stream	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	ira wɛr	ira=water, wer=river	i r a _ w ɛ r	('river; stream', 'fata1247', 'ira wɛr')	datasets/ddgmk20160112wordlist.tsv		
23	ice	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	ɟɛlu	nan	ɟ ɛ l - - - - - u	('ice', 'buna1278-bobon', 'zelu')	datasets/ddgmk20160112wordlist.tsv		
24	snow	fata1247	Fataluku	Timor-Alor-Pantar	4Timor, 3East	ɟɛlu	nan	ɟ ɛ l - - u	('snow', 'alor1247-baran', 'salʤu')	datasets/ddgmk20160112wordlist.tsv		
