Feature_ID	Language_ID	Value	English	Language name (-dialect)	Family	Region	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	cent2245-hewa	kəleŋ	sky	Hewa	Austronesian	5Flores, 2Central	Hewa has a labiodental fricative /ʋ/ and no bilabial fricative /w/	k ə l e ŋ - - - - -	9189.0			
1.0	cent2245-hewa	ləro	sun	Hewa	Austronesian	5Flores, 2Central		l ə r o	248.0			
2.0	cent2245-hewa	ʋulan	moon	Hewa	Austronesian	5Flores, 2Central		ʋ u l a n	19.0			
3.0	cent2245-hewa	dala	star	Hewa	Austronesian	5Flores, 2Central		d a - - l a	194.0			
4.0	cent2245-hewa	guman	night	Hewa	Austronesian	5Flores, 2Central		g u m - - a n -	2511.0			
5.0	cent2245-hewa	ləron	day	Hewa	Austronesian	5Flores, 2Central		l ə r - o n	177.0			
6.0	cent2245-hewa	liʋan	year	Hewa	Austronesian	5Flores, 2Central		l i ʋ a n	9011.0			
7.0	cent2245-hewa	luʔat	morning	Hewa	Austronesian	5Flores, 2Central		l u ʔ a t	9051.0			
8.0	cent2245-hewa	mərat	yesterday	Hewa	Austronesian	5Flores, 2Central		m ə r a t	8992.0			
9.0	cent2245-hewa	rəma rua ete	day before yesterday	Hewa	Austronesian	5Flores, 2Central		r ə m a _ r u a _ e t e	9117.0			
10.0	cent2245-hewa	ʋahat	tomorrow	Hewa	Austronesian	5Flores, 2Central		ʋ a h a t	8993.0			
11.0	cent2245-hewa	rema rua	day after tomorrow	Hewa	Austronesian	5Flores, 2Central		r e m a _ r u a	9115.0			
12.0	cent2245-hewa	luʔat laʔen	twilight; dawn	Hewa	Austronesian	5Flores, 2Central		l u ʔ a t _ l a ʔ e n	9020.0			
13.0	cent2245-hewa	koʋa	cloud	Hewa	Austronesian	5Flores, 2Central	(= ʋhite cloud; not raincloud)	k o ʋ a -	9184.0			
14.0	cent2245-hewa	anin	wind	Hewa	Austronesian	5Flores, 2Central		- a n i n	102.0			
15.0	cent2245-hewa	uran	rain	Hewa	Austronesian	5Flores, 2Central		- u r a n	7137.0			
16.0	cent2245-hewa	kluʔut	drizzle	Hewa	Austronesian	5Flores, 2Central		k l u ʔ u t	9141.0			
17.0	cent2245-hewa	labi 'jaʋɑn	rainbow	Hewa	Austronesian	5Flores, 2Central		l a b i _ ˈj a ʋ ɑ n	9142.0			
18.0	cent2245-hewa	kleka liar	thunder	Hewa	Austronesian	5Flores, 2Central		k l e k a _ l i a r	9023.0			
19.0	cent2245-hewa	dəɡu	lightning	Hewa	Austronesian	5Flores, 2Central		- - d ə ɡ u	4129.0			
20.0	cent2245-hewa	edɔ	earthquake	Hewa	Austronesian	5Flores, 2Central		e d ɔ -	1671.0			
21.0	cent2245-hewa	apun	fog	Hewa	Austronesian	5Flores, 2Central	also 'deʋ'	a p u n - - -	4403.0			
22.0	cent2245-hewa	napun	river; stream	Hewa	Austronesian	5Flores, 2Central		n a p u n	9150.0			
23.0	cent2245-hewa		ice	Hewa	Austronesian	5Flores, 2Central						
24.0	cent2245-hewa		snow	Hewa	Austronesian	5Flores, 2Central						
25.0	cent2245-hewa	se	lake	Hewa	Austronesian	5Flores, 2Central	This is probably a German loan; there are no lakes in the area.	s e	9076.0			
26.0	cent2245-hewa	ilin	mountain	Hewa	Austronesian	5Flores, 2Central		i l i n	8285.0			
27.0	cent2245-hewa	sot	hill; ridge	Hewa	Austronesian	5Flores, 2Central		s o t	9204.0			
27.0	cent2245-hewa	ʋolon	hill; ridge	Hewa	Austronesian	5Flores, 2Central		ʋ o l o n -	5331.0			
28.0	cent2245-hewa	natar	village	Hewa	Austronesian	5Flores, 2Central		n a t a r	9000.0			
29.0	cent2245-hewa	tana	land; soil	Hewa	Austronesian	5Flores, 2Central		t a n a - -	3972.0			
30.0	cent2245-hewa	nian tana	Earth	Hewa	Austronesian	5Flores, 2Central	earth/soil	n i a n _ t a n a	9212.0			
31.0	cent2245-hewa	boanɡ	hole	Hewa	Austronesian	5Flores, 2Central		b o a n ɡ	3736.0			
31.0	cent2245-hewa	lian	hole	Hewa	Austronesian	5Flores, 2Central		l i a n	9235.0			
32.0	cent2245-hewa	ʋatu	stone	Hewa	Austronesian	5Flores, 2Central		ʋ a t u -	210.0			
33.0	cent2245-hewa	ʋatu ruhɔ	coral (rock)	Hewa	Austronesian	5Flores, 2Central		ʋ a t u _ r u h ɔ -	9181.0			
34.0	cent2245-hewa	ruhɔ	(coral) reef	Hewa	Austronesian	5Flores, 2Central		r u h ɔ -	9021.0			
35.0	cent2245-hewa	ʋair	water (fresh)	Hewa	Austronesian	5Flores, 2Central		ʋ a i r	577.0			
36.0	cent2245-hewa	tahi	sea; sea water	Hewa	Austronesian	5Flores, 2Central		t a h i - - - - -	1001.0			
37.0	cent2245-hewa	ɔlɔʔ	wave	Hewa	Austronesian	5Flores, 2Central		ɔ l ɔ ʔ	9002.0			
38.0	cent2245-hewa	ʋuran	foam	Hewa	Austronesian	5Flores, 2Central		ʋ u r - - a n -	3745.0			
39.0	cent2245-hewa	heri unen	forest	Hewa	Austronesian	5Flores, 2Central	/heri unen/: forest in general; /tuʔan/: ʋery old forest	h e r i _ u n e n	2787.0			
39.0	cent2245-hewa	tuʔan	forest	Hewa	Austronesian	5Flores, 2Central	/heri unen/: forest in general; /tuʔan/: ʋery old forest	t u ʔ a n	8926.0			
40.0	cent2245-hewa	0	field	Hewa	Austronesian	5Flores, 2Central		0	9162.0			
41.0	cent2245-hewa	pulau	island	Hewa	Austronesian	5Flores, 2Central		p u l a u	3343.0			
42.0	cent2245-hewa	uma	rice field	Hewa	Austronesian	5Flores, 2Central		u m a	9138.0			
43.0	cent2245-hewa	uma	garden	Hewa	Austronesian	5Flores, 2Central		u m a -	7810.0			
44.0	cent2245-hewa	niha	fence	Hewa	Austronesian	5Flores, 2Central		n i h a -	9169.0			
45.0	cent2245-hewa	laran	road; path; way	Hewa	Austronesian	5Flores, 2Central	road/path	l a r a n	5943.0			
46.0	cent2245-hewa	tena	canoe	Hewa	Austronesian	5Flores, 2Central		- - t e n a -	5.0			
47.0	cent2245-hewa	layar	sail (n.)	Hewa	Austronesian	5Flores, 2Central		l a - y a r	4242.0			
48.0	cent2245-hewa	berlayar	to sail	Hewa	Austronesian	5Flores, 2Central	laʋutu=go fishing	b e r l a y a r	9222.0			
49.0	cent2245-hewa	'kaʋir	fishing hook	Hewa	Austronesian	5Flores, 2Central		ˈk a ʋ i r -	1422.0			
50.0	cent2245-hewa	hɛrɛ iʔɑn	fish trap	Hewa	Austronesian	5Flores, 2Central		h ɛ r ɛ _ i ʔ ɑ n	9042.0			
51.0	cent2245-hewa	tali	rope	Hewa	Austronesian	5Flores, 2Central		t a - l i -	230.0			
52.0	cent2245-hewa	poron	machete	Hewa	Austronesian	5Flores, 2Central		p o r o n	9031.0			
53.0	cent2245-hewa	'kapak	axe	Hewa	Austronesian	5Flores, 2Central		ˈk a p a k	9081.0			
54.0	cent2245-hewa	'hupɛr	spear	Hewa	Austronesian	5Flores, 2Central		ˈh u p ɛ r	466.0			
55.0	cent2245-hewa	leba	burden stick	Hewa	Austronesian	5Flores, 2Central	Used to carry things, rests on the shoulder	- - l e b a -	8697.0			
56.0	cent2245-hewa	loreŋ	stick; pole	Hewa	Austronesian	5Flores, 2Central		l o r e ŋ	9170.0			
56.0	cent2245-hewa	ʔai anak	stick; pole	Hewa	Austronesian	5Flores, 2Central		ʔ a i _ - a n a k -	6302.0			
57.0	cent2245-hewa	teʔen	digging stick	Hewa	Austronesian	5Flores, 2Central	Stick used to dig in the soil (not a shovel or a knife/parang but a wooden stick). Another instrument in Hewa is a Poron wa'an (lit. parang rumput)	t e ʔ e n	8330.0			
58.0	cent2245-hewa	teʔen	dibble stick	Hewa	Austronesian	5Flores, 2Central		t e ʔ e n	9145.0			
59.0	cent2245-hewa	ʋuhur	bow	Hewa	Austronesian	5Flores, 2Central		ʋ u h u r	8953.0			
60.0	cent2245-hewa	huper	arrow	Hewa	Austronesian	5Flores, 2Central		h u p e r	9207.0			
60.0	cent2245-hewa	liʋi	arrow	Hewa	Austronesian	5Flores, 2Central		l i ʋ i	9205.0			
61.0	cent2245-hewa	tudi	knife	Hewa	Austronesian	5Flores, 2Central		t u d i -	2543.0			
62.0	cent2245-hewa	ʔurut	comb	Hewa	Austronesian	5Flores, 2Central		ʔ u r u t	8482.0			
63.0	cent2245-hewa	oha?	mat	Hewa	Austronesian	5Flores, 2Central		o h a ?	9048.0			
64.0	cent2245-hewa	luhir	needle	Hewa	Austronesian	5Flores, 2Central		l u h i r	9186.0			
65.0	cent2245-hewa	labu	clothing	Hewa	Austronesian	5Flores, 2Central		l a b u	6327.0			
65.0	cent2245-hewa	pakaian	clothing	Hewa	Austronesian	5Flores, 2Central		p a k a i a n	4260.0			
66.0	cent2245-hewa	li?at	oven	Hewa	Austronesian	5Flores, 2Central	li'at = the stones on which the pot rests, lurang = the fireplace	l i ? a t	9116.0			
66.0	cent2245-hewa	lurang	oven	Hewa	Austronesian	5Flores, 2Central	li'at = the stones on which the pot rests, lurang = the fireplace	l u r a n g	4694.0			
67.0	cent2245-hewa	api	fire	Hewa	Austronesian	5Flores, 2Central		- a p i -	38.0			
68.0	cent2245-hewa	(api) nuhin	smoke	Hewa	Austronesian	5Flores, 2Central	smoke (of a fire)	n u h i n	9185.0			
69.0	cent2245-hewa	aʋu	ash	Hewa	Austronesian	5Flores, 2Central		a ʋ u	9233.0			
70.0	cent2245-hewa	aʋu	dust; fine earth	Hewa	Austronesian	5Flores, 2Central	/avu/ also means 'ash'	a ʋ u	214.0			
70.0	cent2245-hewa	pua	dust; fine earth	Hewa	Austronesian	5Flores, 2Central	/avu/ also means 'ash'	- p u a	5892.0			
71.0	cent2245-hewa	aʋu	fireplace ash	Hewa	Austronesian	5Flores, 2Central		a ʋ u -	9028.0			
72.0	cent2245-hewa	kisak	mud	Hewa	Austronesian	5Flores, 2Central		- k i s a k	1321.0			
73.0	cent2245-hewa	tana liat	clay	Hewa	Austronesian	5Flores, 2Central		t a n a _ l i a t	9156.0			
74.0	cent2245-hewa	ʋatu blutuk	gravel	Hewa	Austronesian	5Flores, 2Central	blutuk=very small	ʋ a t u _ b l u t u k	9022.0			
75.0	cent2245-hewa	nen	sand	Hewa	Austronesian	5Flores, 2Central	 /nen/: on the beach; /ʔəda/: building sand	n e n	257.0			
75.0	cent2245-hewa	ʔəda	sand	Hewa	Austronesian	5Flores, 2Central	 /nen/: on the beach; /ʔəda/: building sand	ʔ ə d a	8848.0			
76.0	cent2245-hewa	ʋaʔan	grass; brush	Hewa	Austronesian	5Flores, 2Central		ʋ a ʔ a n	9224.0			
77.0	cent2245-hewa	ləpo	house	Hewa	Austronesian	5Flores, 2Central		l ə p o	6691.0			
78.0	cent2245-hewa	ləpɔ puʔan	traditional house	Hewa	Austronesian	5Flores, 2Central		l ə p ɔ _ p u ʔ a n	9006.0			
79.0	cent2245-hewa	orin	barn; storage house	Hewa	Austronesian	5Flores, 2Central		- o r i n -	887.0			
80.0	cent2245-hewa	tepi	raised platform	Hewa	Austronesian	5Flores, 2Central		t e p i	1079.0			
81.0	cent2245-hewa	uhe	door	Hewa	Austronesian	5Flores, 2Central		- u h e -	3696.0			
81.0	cent2245-hewa	uhe	door	Hewa	Austronesian	5Flores, 2Central		- u h e -	3696.0			
82.0	cent2245-hewa	ataʔ	(thatch) roof	Hewa	Austronesian	5Flores, 2Central	thatch/roof	a t a ʔ -	1763.0			
83.0	cent2245-hewa	riʔi	roof thatch	Hewa	Austronesian	5Flores, 2Central		r i ʔ i	9147.0			
84.0	cent2245-hewa	ʔai	tree	Hewa	Austronesian	5Flores, 2Central		ʔ a - i -	6604.0			
85.0	cent2245-hewa	ʔai	wood	Hewa	Austronesian	5Flores, 2Central		ʔ a i	6989.0			
86.0	cent2245-hewa	ʔai klokok	bark (of tree)	Hewa	Austronesian	5Flores, 2Central		ʔ a i _ k l o k o k	7011.0			
87.0	cent2245-hewa	roun	leaf	Hewa	Austronesian	5Flores, 2Central		r o u n	6671.0			
88.0	cent2245-hewa	kleren	branch	Hewa	Austronesian	5Flores, 2Central	branch (the branch itself, not the fork of the branch)	k - l e r e n	6083.0			
89.0	cent2245-hewa	ʔai aur	firewood	Hewa	Austronesian	5Flores, 2Central		ʔ a i _ a u r	9025.0			
90.0	cent2245-hewa	ue	rattan	Hewa	Austronesian	5Flores, 2Central		u e	6908.0			
91.0	cent2245-hewa	ramut	root	Hewa	Austronesian	5Flores, 2Central		- - - - r a m u t	228.0			
