Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'buluŋ	nan	nan	nan	datasets/kaeranew2016.tsv		
1.0	sun	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	wɛr	nan	nan	nan	datasets/kaeranew2016.tsv		
2.0	moon	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	ur	nan	nan	nan	datasets/kaeranew2016.tsv		
3.0	star	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	iplaqx	slight fricative sound following the uvular stop	nan	nan	datasets/kaeranew2016.tsv		
4.0	night	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'iqano	nan	nan	nan	datasets/kaeranew2016.tsv		
5.0	day	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	wɛr	nan	nan	nan	datasets/kaeranew2016.tsv		
6.0	year	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	tuŋ	nan	nan	nan	datasets/kaeranew2016.tsv		
7.0	morning	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	qa'naŋ	nan	nan	nan	datasets/kaeranew2016.tsv		
8.0	yesterday	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	mi'a:g	nan	nan	nan	datasets/kaeranew2016.tsv		
9.0	day before yesterday	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'gɛtraxo	nan	nan	nan	datasets/kaeranew2016.tsv		
10.0	tomorrow	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	u'ruŋ	nan	nan	nan	datasets/kaeranew2016.tsv		
11.0	day after tomorrow	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	'tɛraxo	nan	nan	nan	datasets/kaeranew2016.tsv		
12.0	twilight; dawn	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	qa'naŋ-qa'naŋ	nan	nan	nan	datasets/kaeranew2016.tsv		
13.0	cloud	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	bə'na:b	nan	nan	nan	datasets/kaeranew2016.tsv		
14.0	wind	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	1Pantar, 1West	qɛu	nan	nan	nan	datasets/kaeranew2016.tsv		
