Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	keda1252	Kedang	Austronesian	8Lembata	ʔɛ'leŋ	There is a phonemic distinction between initial syllables that have an onsetless vowel, and initial syllables that have a glottal stop onset. There is no phonemic distinction between e'ɛ and o'ɔ and i'ɪ.		nan			
1.0	sun	keda1252	Kedang	Austronesian	8Lembata	lɔ'jɔ	nan		a			
2.0	moon	keda1252	Kedang	Austronesian	8Lembata	wu'la	nan		m			
3.0	star	keda1252	Kedang	Austronesian	8Lembata	ma'le	nan		b			
4.0	night	keda1252	Kedang	Austronesian	8Lembata	u'bɛn	nan		d			
5.0	day	keda1252	Kedang	Austronesian	8Lembata	lɔ'jɔ	nan		n			
6.0	year	keda1252	Kedang	Austronesian	8Lembata	tun	nan		1			
7.0	morning	keda1252	Kedang	Austronesian	8Lembata	ʔɛ'jəŋ	nan		c			
8.0	yesterday	keda1252	Kedang	Austronesian	8Lembata	ʔɛ'wɪn	nan		b			
9.0	day before yesterday	keda1252	Kedang	Austronesian	8Lembata	numɛn 'ɛwin	nan		c			
10.0	tomorrow	keda1252	Kedang	Austronesian	8Lembata	lu'ʔa	nan		a			
11.0	day after tomorrow	keda1252	Kedang	Austronesian	8Lembata	'wɛŋ'suwe	nan		d			
12.0	twilight; dawn	keda1252	Kedang	Austronesian	8Lembata	heʔa'naun	nan		nan			
13.0	cloud	keda1252	Kedang	Austronesian	8Lembata	ʔɔ'wa	nan		y			
14.0	wind	keda1252	Kedang	Austronesian	8Lembata	aː'ŋin	nan		a			
15.0	rain	keda1252	Kedang	Austronesian	8Lembata	u'ja	nan		a			
16.0	drizzle	keda1252	Kedang	Austronesian	8Lembata	rɪtɪʔ	nan		b			
17.0	rainbow	keda1252	Kedang	Austronesian	8Lembata	nado, tado	nan		y			
18.0	thunder	keda1252	Kedang	Austronesian	8Lembata	nɛ'duŋ	bunyinya		y			
19.0	lightning	keda1252	Kedang	Austronesian	8Lembata	'nilaʔ, 'kilaʔ	kilatan, cahaya		x			
20.0	earthquake	keda1252	Kedang	Austronesian	8Lembata	nɛju	nan		y			
21.0	fog	keda1252	Kedang	Austronesian	8Lembata	ʔɔwa	kabut = fog, NOT embun = air yang menetes dari daun di pagi hari		x			
22.0	river; stream	keda1252	Kedang	Austronesian	8Lembata	wɛi	nan		nan			
25.0	lake	keda1252	Kedang	Austronesian	8Lembata	da'nɑu	nan		p			
26.0	mountain	keda1252	Kedang	Austronesian	8Lembata	(j)ili	nan		m			
27.0	hill; ridge	keda1252	Kedang	Austronesian	8Lembata	bɔ'tiʔ	nan		nan			
28.0	village	keda1252	Kedang	Austronesian	8Lembata	'lewu	nan		b			
29.0	land; soil	keda1252	Kedang	Austronesian	8Lembata	ʔauʔ	nan		nan			
30.0	Earth	keda1252	Kedang	Austronesian	8Lembata	ʔauʔ	nan		nan			
31.0	hole	keda1252	Kedang	Austronesian	8Lembata	uɔʔ	nan		p			
32.0	stone	keda1252	Kedang	Austronesian	8Lembata	waʔ	nan		m			
33.0	coral (rock)	keda1252	Kedang	Austronesian	8Lembata	waʔ 'mitəŋ	batu (rock) di pantai		m			
34.0	(coral) reef	keda1252	Kedang	Austronesian	8Lembata	'ruhu	karang (reef) di dasar laut		1			
35.0	water (fresh)	keda1252	Kedang	Austronesian	8Lembata	wei	nan		m			
36.0	sea; sea water	keda1252	Kedang	Austronesian	8Lembata	ta'hiʔ	nan		nan			
37.0	wave	keda1252	Kedang	Austronesian	8Lembata	ɔ'jɔʔ	nan		m			
38.0	foam	keda1252	Kedang	Austronesian	8Lembata	wuran	nan		4			
39.0	forest	keda1252	Kedang	Austronesian	8Lembata	tu'wɛn	nan		w			
40.0	field	keda1252	Kedang	Austronesian	8Lembata	'wuru	nan		o			
41.0	island	keda1252	Kedang	Austronesian	8Lembata	ʔauʔ	nan		nan			
42.0	rice field	keda1252	Kedang	Austronesian	8Lembata	'lumɑr, sawa	nan		2			
43.0	garden	keda1252	Kedang	Austronesian	8Lembata	'lumɑr	nan		n			
44.0	fence	keda1252	Kedang	Austronesian	8Lembata	ni'hɛ	nan		1			
45.0	road; path; way	keda1252	Kedang	Austronesian	8Lembata	'lala	nan		nan			
46.0	canoe	keda1252	Kedang	Austronesian	8Lembata	'tɛnɛ	nan		m			
47.0	sail (n.)	keda1252	Kedang	Austronesian	8Lembata	'lajɑr	nan		m			
48.0	to sail	keda1252	Kedang	Austronesian	8Lembata	keu tɛnɛ	keu=on top of, tɛnɛ=boat		c			
49.0	fishing hook	keda1252	Kedang	Austronesian	8Lembata	'ʔawil	nan		1			
50.0	fish trap	keda1252	Kedang	Austronesian	8Lembata	'ɛrɛ	nima = fish container; dibuat dari bambu untuk menangkap ikan yang ditinggal. NOT fish net or fish line.		1			
51.0	rope	keda1252	Kedang	Austronesian	8Lembata	wa'dɛʔ	nan		n			
52.0	machete	keda1252	Kedang	Austronesian	8Lembata	pɛ'daʔ	nan		1			
53.0	axe	keda1252	Kedang	Austronesian	8Lembata	ba'liʔ	nan		2			
54.0	spear	keda1252	Kedang	Austronesian	8Lembata	'kala	nan		n			
55.0	burden stick	keda1252	Kedang	Austronesian	8Lembata	no'ɛl	nan		m			
56.0	stick; pole	keda1252	Kedang	Austronesian	8Lembata	du'ʔa	nan		nan			
57.0	digging stick	keda1252	Kedang	Austronesian	8Lembata	dɔ'kaʔ	nan		y			
59.0	bow	keda1252	Kedang	Austronesian	8Lembata	'wur	nan		m			
60.0	arrow	keda1252	Kedang	Austronesian	8Lembata	na'mɛʔ	nan		n			
61.0	knife	keda1252	Kedang	Austronesian	8Lembata	'mɛiʔ	nan		n			
62.0	comb	keda1252	Kedang	Austronesian	8Lembata	'pilir	nan		n			
63.0	mat	keda1252	Kedang	Austronesian	8Lembata	napa	nan		n			
64.0	needle	keda1252	Kedang	Austronesian	8Lembata	ba'tur	nan		1			
65.0	clothing	keda1252	Kedang	Austronesian	8Lembata	pa'kejan	nan		4			
65.0	clothing	keda1252	Kedang	Austronesian	8Lembata	pakejan	nan		4			
67.0	fire	keda1252	Kedang	Austronesian	8Lembata	a'pi	nan		m			
68.0	smoke	keda1252	Kedang	Austronesian	8Lembata	'rubu	nan		n			
70.0	dust; fine earth	keda1252	Kedang	Austronesian	8Lembata	ʔauʔ 'bɔŋ	nan		nan			
71.0	fireplace ash	keda1252	Kedang	Austronesian	8Lembata	'ɛwɔl	NOT 'debu' (dust, after you have been sweeping)		nan			
72.0	mud	keda1252	Kedang	Austronesian	8Lembata	ɔ'paʔ	nan		o			
73.0	clay	keda1252	Kedang	Austronesian	8Lembata	ʔauʔ 'kiuʔ	nan		o			
74.0	gravel	keda1252	Kedang	Austronesian	8Lembata	waʔ 'weriʔ	waʔ=stone, weriʔ=small		[m1]			
75.0	sand	keda1252	Kedang	Austronesian	8Lembata	'ʔerah	nan		n			
76.0	grass; brush	keda1252	Kedang	Austronesian	8Lembata	'wuru	nan		nan			
77.0	house	keda1252	Kedang	Austronesian	8Lembata	we'taʔ	nan		o			
78.0	traditional house	keda1252	Kedang	Austronesian	8Lembata	'ʔebaŋ	nan		p			
79.0	barn; storage house	keda1252	Kedang	Austronesian	8Lembata	'ʔebaŋ	nan		nan			
80.0	raised platform	keda1252	Kedang	Austronesian	8Lembata	li'pu	nan		3			
81.0	door	keda1252	Kedang	Austronesian	8Lembata	welɔʔ	nan		p			
82.0	(thatch) roof	keda1252	Kedang	Austronesian	8Lembata	nɛ'hiŋ	nan		2			
83.0	roof thatch	keda1252	Kedang	Austronesian	8Lembata	nɛ'hiŋ 'wuru	nɛhiŋ̩=root, uru=grass		6			
84.0	tree	keda1252	Kedang	Austronesian	8Lembata	'ʔai	nan		m			
85.0	wood	keda1252	Kedang	Austronesian	8Lembata	'ʔai	nan		7			
86.0	bark (of tree)	keda1252	Kedang	Austronesian	8Lembata	ʔai 'ʔamaʔ	nan		[op]			
87.0	leaf	keda1252	Kedang	Austronesian	8Lembata	'lɔlɔn	nan		o			
88.0	branch	keda1252	Kedang	Austronesian	8Lembata	li'maʔ	cabang pohon		p			
89.0	firewood	keda1252	Kedang	Austronesian	8Lembata	'ʔai 'japi	nan		m			
90.0	rattan	keda1252	Kedang	Austronesian	8Lembata	wua'wɛi, 'wɛi	nan		m			
91.0	root	keda1252	Kedang	Austronesian	8Lembata	ramuʔ	nan		1			
92.0	fruit	keda1252	Kedang	Austronesian	8Lembata	uan	nan		n			
93.0	seed	keda1252	Kedang	Austronesian	8Lembata	ʔu'luʔ	nan		h			
94.0	grain; cereal	keda1252	Kedang	Austronesian	8Lembata	ʔa'nɛn	nan		nan			
96.0	husked rice; uncooked rice	keda1252	Kedang	Austronesian	8Lembata	ʔa'nɛn	nan		nan			
97.0	rice grains (unhusked) (raw from field)	keda1252	Kedang	Austronesian	8Lembata	ʔa'nɛn	nan		8			
98.0	cooked rice	keda1252	Kedang	Austronesian	8Lembata	la'laʔ	nan		o			
99.0	rice plant	keda1252	Kedang	Austronesian	8Lembata	ʔa'nɛn	nan		p			
100.0	to plant (yam)	keda1252	Kedang	Austronesian	8Lembata	mi'waʔ ʔa'lɛuʔ	nan		o			
101.0	to plant (rice)	keda1252	Kedang	Austronesian	8Lembata	mi'waʔ ʔa'nɛn	nan		o			
102.0	betel nut; areca	keda1252	Kedang	Austronesian	8Lembata	'uwe	nan		nan			
103.0	betel vine	keda1252	Kedang	Austronesian	8Lembata	'mal	nan		2			
104.0	lime	keda1252	Kedang	Austronesian	8Lembata	'apur	nan		m			
105.0	chew betel	keda1252	Kedang	Austronesian	8Lembata	ka uwe 'mal	nan		[m27]			
106.0	sweet potato	keda1252	Kedang	Austronesian	8Lembata	ʔa'lɛuʔ sawa	nan		[rp]			
107.0	cassava	keda1252	Kedang	Austronesian	8Lembata	ʔa'lɛuʔ uwaʔ	nan		[qo]			
108.0	taro	keda1252	Kedang	Austronesian	8Lembata	'ʔodɛl	nan		o			
109.0	sago	keda1252	Kedang	Austronesian	8Lembata	'saɡu	nan		8			
110.0	millet	keda1252	Kedang	Austronesian	8Lembata	wɛ'rɛʔ	nan		9			
111.0	sugarcane	keda1252	Kedang	Austronesian	8Lembata	tɛ'hu	nan		2			
112.0	corn; maize	keda1252	Kedang	Austronesian	8Lembata	'wɑtɑr	nan		nan			
113.0	cooked corn	keda1252	Kedang	Austronesian	8Lembata	lalaʔ 'wɑtɑr, wɑtɑr tun	lalaʔ=rice, tun=prepared		[p1]			
114.0	coconut	keda1252	Kedang	Austronesian	8Lembata	taʔ	nan		3			
115.0	gwang	keda1252	Kedang	Austronesian	8Lembata	x	nan		*			
116.0	lontar palm	keda1252	Kedang	Austronesian	8Lembata	ʔɔ'rɔ	nan		o			
117.0	sugar palm	keda1252	Kedang	Austronesian	8Lembata	pɔ'le	nan		4			
118.0	marungga	keda1252	Kedang	Austronesian	8Lembata	'mɔtɔŋ	nan		2			
119.0	gum tree; eucalyptus	keda1252	Kedang	Austronesian	8Lembata	ʔaju 'bujaʔ	nan		nan			
120.0	bamboo	keda1252	Kedang	Austronesian	8Lembata	pe'ruŋ, be'riŋ, aur	larɡe, medium, small bamboo		2			
121.0	banana	keda1252	Kedang	Austronesian	8Lembata	mu'ʔ̚ũ	nan		1			
122.0	mango	keda1252	Kedang	Austronesian	8Lembata	'peu	nan		1			
123.0	papaya	keda1252	Kedang	Austronesian	8Lembata	wa'ja	nan		m			
124.0	jackfruit	keda1252	Kedang	Austronesian	8Lembata	wɛ'raʔ	nan		1			
125.0	breadfruit	keda1252	Kedang	Austronesian	8Lembata	bɔ'rɔʔ	nan		p			
126.0	bean	keda1252	Kedang	Austronesian	8Lembata	u'tan	nan		6			
127.0	honey	keda1252	Kedang	Austronesian	8Lembata	lani 'wɛrɛŋ	wɛrɛŋ= water		2			
128.0	milk	keda1252	Kedang	Austronesian	8Lembata	tuʔu 'wɛrɛŋ	not 'breast'		[67]			
129.0	salt	keda1252	Kedang	Austronesian	8Lembata	te'ʔu	nan		4			
130.0	fat	keda1252	Kedang	Austronesian	8Lembata	wɔ'jaʔ	nan		m			
131.0	flesh; meat	keda1252	Kedang	Austronesian	8Lembata	na'ʔɛn	nan		nan			
132.0	bone	keda1252	Kedang	Austronesian	8Lembata	lu'rin	nan		m			
133.0	rib	keda1252	Kedang	Austronesian	8Lembata	haraʔ lu'rin	nan		[no]			
134.0	sweat	keda1252	Kedang	Austronesian	8Lembata	re'wun	nan		m			
135.0	tear	keda1252	Kedang	Austronesian	8Lembata	lun	nan		m			
136.0	blood	keda1252	Kedang	Austronesian	8Lembata	wɛiʔ	nan		1			
138.0	heart	keda1252	Kedang	Austronesian	8Lembata	taʔ'mutiʔ	nan		n			
139.0	liver	keda1252	Kedang	Austronesian	8Lembata	ha'tɛn	nan		o			
140.0	kidney	keda1252	Kedang	Austronesian	8Lembata	taʔ'kubaŋ	nan		o			
141.0	guts	keda1252	Kedang	Austronesian	8Lembata	'tein	nan		r			
142.0	excrement	keda1252	Kedang	Austronesian	8Lembata	dɛ'ruʔ	nan		n			
143.0	lungs	keda1252	Kedang	Austronesian	8Lembata	pa'ko	nan		o			
144.0	stomach; belly	keda1252	Kedang	Austronesian	8Lembata	bɔ'tin	nan		nan			
145.0	head	keda1252	Kedang	Austronesian	8Lembata	tu'bar	nan		m			
146.0	hair	keda1252	Kedang	Austronesian	8Lembata	ʔu'ha	nan		d			
147.0	body hair	keda1252	Kedang	Austronesian	8Lembata	'wurun	nan		m			
148.0	eye	keda1252	Kedang	Austronesian	8Lembata	'mato	nan		m			
149.0	ear	keda1252	Kedang	Austronesian	8Lembata	til	nan		m			
150.0	nose	keda1252	Kedang	Austronesian	8Lembata	niŋ	nan		n			
151.0	mouth	keda1252	Kedang	Austronesian	8Lembata	'nunu	nan		o			
152.0	chin	keda1252	Kedang	Austronesian	8Lembata	'ʔimɛn	nan		n			
153.0	lips	keda1252	Kedang	Austronesian	8Lembata	'wiwir	nan		4			
154.0	teeth	keda1252	Kedang	Austronesian	8Lembata	'ʔawar	nan		d			
155.0	tongue	keda1252	Kedang	Austronesian	8Lembata	'ebel	nan		b			
156.0	neck	keda1252	Kedang	Austronesian	8Lembata	'bɔŋan	nan		s			
157.0	shoulder	keda1252	Kedang	Austronesian	8Lembata	'wali	nan		n			
158.0	body	keda1252	Kedang	Austronesian	8Lembata	'wɛʔ	nan		m			
159.0	forehead	keda1252	Kedang	Austronesian	8Lembata	'wau	nan		o			
160.0	nostril	keda1252	Kedang	Austronesian	8Lembata	niŋ 'bakur	nan		m			
161.0	mucus	keda1252	Kedang	Austronesian	8Lembata	niŋ 'tein	nan		n			
162.0	cheek	keda1252	Kedang	Austronesian	8Lembata	'pipin	nan		m			
163.0	arm	keda1252	Kedang	Austronesian	8Lembata	liŋ	nan		m			
164.0	hand	keda1252	Kedang	Austronesian	8Lembata	liŋ	nan		2			
165.0	palm of hand	keda1252	Kedang	Austronesian	8Lembata	liŋ 'lɑlɛŋ	lɑlɛŋ=inside		[mp]			
166.0	finger	keda1252	Kedang	Austronesian	8Lembata	liŋ 'utun	utun=small		[np]			
167.0	fingernail	keda1252	Kedang	Austronesian	8Lembata	'uruŋ	nan		m			
168.0	breast	keda1252	Kedang	Austronesian	8Lembata	'tuʔu	nan		2			
169.0	chest	keda1252	Kedang	Austronesian	8Lembata	ɔ'rɔʔ	nan		n			
170.0	navel	keda1252	Kedang	Austronesian	8Lembata	pu'hɛː	nan		3			
171.0	penis	keda1252	Kedang	Austronesian	8Lembata	wu'ti	Kemaluan laki-laki. Often taboo. Be sensitive, explain: ini sehingga anggota tubuh semua  bisa dimasukkan dalam dalam kamus, itu saja, jangan marah bapak? If they still remain silent, skip.		m			
172.0	vagina	keda1252	Kedang	Austronesian	8Lembata	te'reʔ	Kemaluan perempuan, same as above.		n			
173.0	testicles	keda1252	Kedang	Austronesian	8Lembata	la'hɛʔ	nan		o			
174.0	leg	keda1252	Kedang	Austronesian	8Lembata	lei	nan		n			
175.0	foot	keda1252	Kedang	Austronesian	8Lembata	lei	nan		d			
176.0	heel of foot	keda1252	Kedang	Austronesian	8Lembata	lei 'ʔapan	nan		p			
