Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	kema1243	Kemak	Austronesian	4Timor, 2Central	'baʔe'mɔ:	nan	'b a ʔ e 'm ɔ:	"('sky', 'kema1243', ""'baʔe'mɔ:"")"	datasets/kemmk2002wordlist.tsv		
1.0	sun	kema1243	Kemak	Austronesian	4Timor, 2Central	'lɛlɔ 'mɑtɑn	sun day	'l ɛ l ɔ _ 'm ɑ t ɑ n	"('sun', 'alor1247-baran', ""la'ra"")"	datasets/kemmk2002wordlist.tsv		
2.0	moon	kema1243	Kemak	Austronesian	4Timor, 2Central	'hula	nan	- - 'h u l - - - - - - - - - a - -	('moon', 'adan1251-lawah', 'hu:l')	datasets/kemmk2002wordlist.tsv		
3.0	star	kema1243	Kemak	Austronesian	4Timor, 2Central	'hitu	nan	'h i t u	('star', 'baka1276', 'id')	datasets/kemmk2002wordlist.tsv		
4.0	night	kema1243	Kemak	Austronesian	4Timor, 2Central	'lɛlə 'bɔ:	night; dark	'l ɛ l ə _ 'b ɔ:	"('night', 'kema1243', ""'lɛlə 'bɔ:"")"	datasets/kemmk2002wordlist.tsv		
4.0	night	kema1243	Kemak	Austronesian	4Timor, 2Central	'rɑe meta'ma:	night; dark	- 'r ɑe _ m e t a 'm a:	"('night', 'kema1243', ""'rɑe meta'ma:"")"	datasets/kemmk2002wordlist.tsv		
5.0	day	kema1243	Kemak	Austronesian	4Timor, 2Central	'ʔare	day; light	'ʔ a r e -	('day', 'fata1247', 'hara')	datasets/kemmk2002wordlist.tsv		
5.0	day	kema1243	Kemak	Austronesian	4Timor, 2Central	ha'lɑŋ	day; light	h a 'l ɑ ŋ	('day', 'fata1247', 'hara')	datasets/kemmk2002wordlist.tsv		
6.0	year	kema1243	Kemak	Austronesian	4Timor, 2Central	'tɔnɑn	nan	- 't ɔ - n ɑ - - n	('year', 'abui1241-petle', 'tuŋ')	datasets/kemmk2002wordlist.tsv		
13.0	cloud	kema1243	Kemak	Austronesian	4Timor, 2Central	'tahɔ	nan	't a - - - h ɔ -	"('cloud', 'abui1241-takal', ""tä.be̞ä.'kil"")"	datasets/kemmk2002wordlist.tsv		
14.0	wind	kema1243	Kemak	Austronesian	4Timor, 2Central	'ʔɑgi	nan	- 'ʔ ɑ g - - i - - -	"('wind', 'alor1247-baran', ""'aŋi"")"	datasets/kemmk2002wordlist.tsv		
15.0	rain	kema1243	Kemak	Austronesian	4Timor, 2Central	'ʔusa	nan	- 'ʔ u - s a - - - - -	"('rain', 'alor1247-besar', ""'uraŋ"")"	datasets/kemmk2002wordlist.tsv		
21.0	fog	kema1243	Kemak	Austronesian	4Timor, 2Central	'tahɔ	mist; mist closed	't a h ɔ	('fog', 'buna1278-bobon', 'taho')	datasets/kemmk2002wordlist.tsv		
21.0	fog	kema1243	Kemak	Austronesian	4Timor, 2Central	'tahɔ 'ʔupu	mist; mist closed	- 't a - h ɔ _ 'ʔ u p u -	"('fog', 'alor1247-munas', ""sə'pu"")"	datasets/kemmk2002wordlist.tsv		
22.0	river; stream	kema1243	Kemak	Austronesian	4Timor, 2Central	'hɔlan	nan	'h ɔ l a n	"('river; stream', 'kema1243', ""'hɔlan"")"	datasets/kemmk2002wordlist.tsv		
23.0	ice	kema1243	Kemak	Austronesian	4Timor, 2Central	'bia 'ʔisin	water stone	'b ia _ 'ʔ i s i n	"('ice', 'kema1243', ""'bia 'ʔisin"")"	datasets/kemmk2002wordlist.tsv		
