Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky		Baipito	Austronesian	8Lembata	kəlã	nan				133. Langit 
1	sun		Baipito	Austronesian	8Lembata	rəra	nan				134. Matahari 
3	star		Baipito	Austronesian	8Lembata	pətala	nan				135. Bintang 
4	night		Baipito	Austronesian	8Lembata	noko	nan				171. Malam 
5	day		Baipito	Austronesian	8Lembata	rərõ	nan				173. Hari 
6	year		Baipito	Austronesian	8Lembata	sũ	nan				172. Tahun 
13	cloud		Baipito	Austronesian	8Lembata	kowa	nan				136. Awan 
14	wind		Baipito	Austronesian	8Lembata	aŋi	nan				140. Angin 
15	rain		Baipito	Austronesian	8Lembata	urã	nan				138. Hujan 
23	ice		Baipito	Austronesian	8Lembata	—	nan				124. Es 
24	snow		Baipito	Austronesian	8Lembata	—	nan				139. Salju 
25	lake		Baipito	Austronesian	8Lembata	suŋe	nan				129. Danau 
26	mountain		Baipito	Austronesian	8Lembata	ile	nan				131. Gunung 
32	stone		Baipito	Austronesian	8Lembata	wato	nan				120. Batu 
39	forest		Baipito	Austronesian	8Lembata	newa onã	nan				132. Hutan
51	rope		Baipito	Austronesian	8Lembata	tale	nan				65. Tali
65	clothing		Baipito	Austronesian	8Lembata	agopake	nan				68. Pakaian 
67	fire		Baipito	Austronesian	8Lembata	ape	nan				148. Api 
68	smoke		Baipito	Austronesian	8Lembata	nuhũ	nan				150. Asap 
75	sand		Baipito	Austronesian	8Lembata	wəra	nan				121. Pasir 
84	tree		Baipito	Austronesian	8Lembata	kajo	nan				110. Pohon 
87	leaf		Baipito	Austronesian	8Lembata	ləpa	nan				112. Daun 
91	root		Baipito	Austronesian	8Lembata	amut	nan				114. Akar 
92	fruit		Baipito	Austronesian	8Lembata	wuã	nan				117. Buah 
93	seed		Baipito	Austronesian	8Lembata	kuluk	nan				115. Biji 
95	flower		Baipito	Austronesian	8Lembata	puhũ	nan				116. Bunga 
129	salt		Baipito	Austronesian	8Lembata	siʔa	nan				128. Garam 
130	fat		Baipito	Austronesian	8Lembata	wora	nan				104. Lemak 
132	bone		Baipito	Austronesian	8Lembata	riʔuk	nan				19. Tulang
136	blood		Baipito	Austronesian	8Lembata	mei	nan				26. Darah
138	heart		Baipito	Austronesian	8Lembata	pəwuã	nan				22. Jantung
139	liver		Baipito	Austronesian	8Lembata	atẽ	nan				21. Hati
145	head		Baipito	Austronesian	8Lembata	kotət	nan				27. Kepala
146	hair		Baipito	Austronesian	8Lembata	rata	nan				29. Rambut
148	eye		Baipito	Austronesian	8Lembata	mata	nan				47. Mata
149	ear		Baipito	Austronesian	8Lembata	tilu	nan				45. Telinga
150	nose		Baipito	Austronesian	8Lembata	iru	nan				30. Hidung
151	mouth		Baipito	Austronesian	8Lembata	wəwat	nan				33. Mulut
155	tongue		Baipito	Austronesian	8Lembata	wewe	nan				35. Lidah
156	neck		Baipito	Austronesian	8Lembata	wuli	nan				28. Leher
164	hand		Baipito	Austronesian	8Lembata	lima	nan				1. Tangan
175	foot		Baipito	Austronesian	8Lembata	lei	nan				4. Kaki
179	back		Baipito	Austronesian	8Lembata	hurut	nan				17. Punggung
182	skin		Baipito	Austronesian	8Lembata	kulit	nan				16. Kulit
190	person		Baipito	Austronesian	8Lembata	atadikə	nan				53. Orang
191	name		Baipito	Austronesian	8Lembata	narã	nan				63. Nama
192	child		Baipito	Austronesian	8Lembata	ana	nan				56. Anak
193	man		Baipito	Austronesian	8Lembata	bəlaki	nan				54. Laki-laki
194	woman		Baipito	Austronesian	8Lembata	bərwãi	nan				55. Wanita
195	husband		Baipito	Austronesian	8Lembata	lakẽ	nan				57. Suami
196	wife		Baipito	Austronesian	8Lembata	kəwae	nan				58. Isteri
197	mother		Baipito	Austronesian	8Lembata	əmaʔ	nan				59. Ibu
198	father		Baipito	Austronesian	8Lembata	bapaʔ	nan				60. Bapak
199	older sibling		Baipito	Austronesian	8Lembata	kakaʔ	nan				61. Kakak
200	younger sibling		Baipito	Austronesian	8Lembata	adeʔ	nan				62. Adik
203	1sg		Baipito	Austronesian	8Lembata	goʔe	nan				184. Saya 
206	3sg		Baipito	Austronesian	8Lembata	naʔe	nan				186. Dia 
210	3pl		Baipito	Austronesian	8Lembata	raʔe	nan				189. Mereka 
212	and		Baipito	Austronesian	8Lembata	nõ	nan				197. Dan 
213	because		Baipito	Austronesian	8Lembata	pukã	nan				199. Sebab 
214	if		Baipito	Austronesian	8Lembata	kalu	nan				200. Jikalau 
215	with		Baipito	Austronesian	8Lembata	nõ	nan				198. Dengan
223	this		Baipito	Austronesian	8Lembata	pi	nan				179. Ini 
224	that		Baipito	Austronesian	8Lembata	pe	nan				180. Itu 
227	here		Baipito	Austronesian	8Lembata	tiwi	nan				177. Di sini 
228	there		Baipito	Austronesian	8Lembata	tewe	nan				178. Di situ 
234	all		Baipito	Austronesian	8Lembata	wakaŋkae	nan				196. Semua 
235	many		Baipito	Austronesian	8Lembata	aja	nan				194. Banyak 
236	animal		Baipito	Austronesian	8Lembata	binataŋ	nan				102. Binatang 
238	dog		Baipito	Austronesian	8Lembata	aho	nan				96. Anjing 
250	fish		Baipito	Austronesian	8Lembata	ikã	nan				109. Ikan 
259	bird		Baipito	Austronesian	8Lembata	kolõ	nan				97. Burung 
260	wing		Baipito	Austronesian	8Lembata	kəpiʔ	nan				100. Sayap 
262	feather		Baipito	Austronesian	8Lembata	rawuk	nan				99. Bulu 
264	snake		Baipito	Austronesian	8Lembata	ulaʔ	nan				106. Ular 
266	egg		Baipito	Austronesian	8Lembata	təluk	nan				98. Telur 
281	big		Baipito	Austronesian	8Lembata	beleʔ	nan				158. Besar 
282	small		Baipito	Austronesian	8Lembata	kəne	nan				157. Kecil 
288	hot		Baipito	Austronesian	8Lembata	pəlate	nan				142. Panas 
289	cold		Baipito	Austronesian	8Lembata	gələtã	nan				143. Dingin 
290	good		Baipito	Austronesian	8Lembata	mae	nan				168. Baik 
291	bad		Baipito	Austronesian	8Lembata	maehala	nan				169. Jelek
294	near		Baipito	Austronesian	8Lembata	dahe	nan				181. Dekat 
295	far		Baipito	Austronesian	8Lembata	doã	nan				182. Jauh 
296	wet		Baipito	Austronesian	8Lembata	kədəmu	nan				145. Basah 
297	dry		Baipito	Austronesian	8Lembata	mara	nan				144. Kering 
299	long		Baipito	Austronesian	8Lembata	bəlahã	nan				160. Panjang 
301	short		Baipito	Austronesian	8Lembata	kərũ	nan				159. Pendek 
305	thick		Baipito	Austronesian	8Lembata	bate	nan				162. Tebal 
309	dirty		Baipito	Austronesian	8Lembata	milã	nan				14. Kotor
311	sharp		Baipito	Austronesian	8Lembata	dəkət	nan				81. Tajam 
313	heavy		Baipito	Austronesian	8Lembata	baʔat	nan				147. Berat 
315	straight		Baipito	Austronesian	8Lembata	mopa	nan				165. Lurus 
316	wide		Baipito	Austronesian	8Lembata	bəlapa	nan				164. Luas 
317	narrow		Baipito	Austronesian	8Lembata	gələgipət	nan				163. Sempit 
321	rotten		Baipito	Austronesian	8Lembata	wãu	nan				111. Busuk 
329	black		Baipito	Austronesian	8Lembata	mitən	nan				152. Hitam 
330	white		Baipito	Austronesian	8Lembata	buraʔ	nan				153. Putih 
331	red		Baipito	Austronesian	8Lembata	meʔa	nan				154. Merah 
332	green		Baipito	Austronesian	8Lembata	ijon	nan				156. Hijau 
334	yellow		Baipito	Austronesian	8Lembata	kuniŋ	nan				155. Kuning 
341	scared		Baipito	Austronesian	8Lembata	takut	nan				25. Takut
343	to see		Baipito	Austronesian	8Lembata	tədə	nan				48. Melihat
345	to smell		Baipito	Austronesian	8Lembata	siõ	nan				32. Membaui
346	to think		Baipito	Austronesian	8Lembata	hukut	nan				24. Pikir
347	to know		Baipito	Austronesian	8Lembata	koi	koi, moiː different inflections				23. Tahu
348	to say		Baipito	Austronesian	8Lembata	mari	nan				64. Bilang
352	to lie down		Baipito	Austronesian	8Lembata	—	nan				50. Rebah
353	to sleep		Baipito	Austronesian	8Lembata	turu	nan				49. Tidur
358	to sit		Baipito	Austronesian	8Lembata	tobo	nan				51. Duduk
359	to stand		Baipito	Austronesian	8Lembata	deʔi	nan				52. Berdiri
360	to walk		Baipito	Austronesian	8Lembata	pana	nan				6. Berjalan
363	to swim		Baipito	Austronesian	8Lembata	naŋe	nan				10. Berenang
364	to fly		Baipito	Austronesian	8Lembata	bəka	nan				101. Terbang 
368	to drink		Baipito	Austronesian	8Lembata	tenu	nan				42. Minum
369	to eat		Baipito	Austronesian	8Lembata	kã	kã, goː different inflections				40. Makan
370	to cook		Baipito	Austronesian	8Lembata	biho	nan				41. Masak
371	to wash		Baipito	Austronesian	8Lembata	baha	nan				11. Mencuci
372	to sew		Baipito	Austronesian	8Lembata	hawu	nan				67. Menjahit 
374	to breathe		Baipito	Austronesian	8Lembata	harinaĩ	nan				31. Bernapas
375	to work		Baipito	Austronesian	8Lembata	gəriã	nan				83. Bekerja 
377	to give		Baipito	Austronesian	8Lembata	nei	nan				91. Memberi 
378	to wipe		Baipito	Austronesian	8Lembata	teʔu	nan				12. Hapus
379	to come		Baipito	Austronesian	8Lembata	səga	nan				8. Datang
380	to laugh		Baipito	Austronesian	8Lembata	geka	nan				36. Tertawa
381	to cry		Baipito	Austronesian	8Lembata	tani	nan				37. Menangis
382	to dance		Baipito	Austronesian	8Lembata	soka	nan				86. Menari 
383	to sing		Baipito	Austronesian	8Lembata	ñañi	nan				85. Menyanyi
389	to suck		Baipito	Austronesian	8Lembata	tuho	nan				44. Menetek
390	to blow		Baipito	Austronesian	8Lembata	bu	nan				141. Bertiup 
391	to spit		Baipito	Austronesian	8Lembata	pərino	nan				39. Meludah
392	to vomit		Baipito	Austronesian	8Lembata	muta	nan				38. Muntah
393	to rub		Baipito	Austronesian	8Lembata	doru	nan				13. Gosok
394	to scratch		Baipito	Austronesian	8Lembata	ragu	nan				77. Menggaruk 
399	to bite		Baipito	Austronesian	8Lembata	gike	nan				43. Gigit
400	to cut		Baipito	Austronesian	8Lembata	belo	nan				78. Memotong
402	to split		Baipito	Austronesian	8Lembata	bəlah	nan				80. Membelah 
404	to stab		Baipito	Austronesian	8Lembata	tubak	nan				71. Menikam 
406	to fight		Baipito	Austronesian	8Lembata	gəni(wəki)	nan				73. berkelahi 
408	to throw		Baipito	Austronesian	8Lembata	geba	nan				94. Melempar 
409	to hunt		Baipito	Austronesian	8Lembata	hewãbati	nan				69. Berburu
410	to kill		Baipito	Austronesian	8Lembata	belo	nan				74. Membunuh 
414	to dig		Baipito	Austronesian	8Lembata	gəlĩ	nan				90. Menggali 
416	to flow		Baipito	Austronesian	8Lembata	ba	nan				125. Mengalir 
417	to float		Baipito	Austronesian	8Lembata	bao	nan				126. Terapung 
418	to freeze		Baipito	Austronesian	8Lembata	—	nan				123. Membeku 
419	to hold		Baipito	Austronesian	8Lembata	pehe	nan				89. Memegang
420	to tie		Baipito	Austronesian	8Lembata	puĩ	nan				66. Mengikat 
421	to play		Baipito	Austronesian	8Lembata	gənəku	nan				84. Bermain 
422	to pull		Baipito	Austronesian	8Lembata	gehã	nan				92. Menarik
423	to push		Baipito	Austronesian	8Lembata	odo	nan				93. Mendorong 
430	to squeeze		Baipito	Austronesian	8Lembata	ikut	nan				88. Memeras 
441	to bark		Baipito	Austronesian	8Lembata	k. kulit	nan				113. Kulit kayu
442	to shoot		Baipito	Austronesian	8Lembata	pasak	nan				70. Menembak 
599	left		Baipito	Austronesian	8Lembata	nekĩ	nan				2. Kiri
600	right		Baipito	Austronesian	8Lembata	wana	nan				3. Kanan
601	footprint		Baipito	Austronesian	8Lembata	l. əpã	nan				5. Kaki
602	road		Baipito	Austronesian	8Lembata	rarã	nan				7. Jalan
603	return		Baipito	Austronesian	8Lembata	gəwali	nan				9. Balik
604	dust		Baipito	Austronesian	8Lembata	nuhũ	nan				15. Debu
604	dust		Baipito	Austronesian	8Lembata	kəawuk	nan				151. Abu 
605	belly		Baipito	Austronesian	8Lembata	ale	nan				18. Perut
606	stomach		Baipito	Austronesian	8Lembata	tãikəboti	nan				20. Isi perut
607	tooth		Baipito	Austronesian	8Lembata	ipət	nan				34. Gigi
608	listen		Baipito	Austronesian	8Lembata	bãi	nan				46. Dengar
609	fist		Baipito	Austronesian	8Lembata	dəgo	nan				72. Bertinju 
610	dead		Baipito	Austronesian	8Lembata	mata	nan				75. Mati 
611	alive		Baipito	Austronesian	8Lembata	mori	nan				76. Hidup 
612	stem		Baipito	Austronesian	8Lembata	pukən	nan				79. Batang 
613	blunt		Baipito	Austronesian	8Lembata	gãhala	nan				82. Tumpul 
614	swollen		Baipito	Austronesian	8Lembata	baʔa	nan				87. Bengkak
615	fall		Baipito	Austronesian	8Lembata	loʔu	nan				95. Jatuh 
616	meat		Baipito	Austronesian	8Lembata	mənakẽ	nan				103. Daging 
617	tale		Baipito	Austronesian	8Lembata	ikũ	nan				105. Ekor 
618	worm		Baipito	Austronesian	8Lembata	kəbeŋə	nan				107. Cacing 
619	louse		Baipito	Austronesian	8Lembata	kuto	nan				108. Kutu 
620	grass		Baipito	Austronesian	8Lembata	kərəmət	nan				118. Rumput 
621	earth		Baipito	Austronesian	8Lembata	tana	nan				119. Tanah 
622	water		Baipito	Austronesian	8Lembata	wai	nan				122. Air 
623	sea		Baipito	Austronesian	8Lembata	tahik	nan				127. Laut 
624	river		Baipito	Austronesian	8Lembata	wai ba	nan				130. Sungai 
625	dew		Baipito	Austronesian	8Lembata	apu	nan				137. Embun 
626	flat, smooth		Baipito	Austronesian	8Lembata	əbʔã	nan				146. Rata 
627	burn		Baipito	Austronesian	8Lembata	səru	nan				149. Membakar 
628	thin		Baipito	Austronesian	8Lembata	mənipi	nan				161. Tipis 
629	old		Baipito	Austronesian	8Lembata	tənue	nan				166. Tua 
630	new		Baipito	Austronesian	8Lembata	wuʔũ	nan				167. Baru 
631	right, correct		Baipito	Austronesian	8Lembata	mu	nan				170. Betul 
632	when		Baipito	Austronesian	8Lembata	arəmpira	nan				174. Bilamana 
633	in		Baipito	Austronesian	8Lembata	di	nan				175. Di 
634	inside		Baipito	Austronesian	8Lembata	bəlomə	nan				176. Dalam 
635	where		Baipito	Austronesian	8Lembata	təga	nan				183. Di mana 
636	2sg;2pl		Baipito	Austronesian	8Lembata	moʔe	nan				185. Engkau/ kamu 
636	2sg;2pl		Baipito	Austronesian	8Lembata	mio	nan				185. Engkau/ kamu 
637	1pl.inc		Baipito	Austronesian	8Lembata	tite	nan				187. Kita 
638	1pl.exc		Baipito	Austronesian	8Lembata	kame	nan				188. Kami 
639	what		Baipito	Austronesian	8Lembata	a	nan				190. Apa 
640	who		Baipito	Austronesian	8Lembata	hege	nan				191. Siapa 
641	other		Baipito	Austronesian	8Lembata	geha	nan				192. Lain
642	some		Baipito	Austronesian	8Lembata	bopira	nan				193. Beberapa 
643	few		Baipito	Austronesian	8Lembata	sələ	nan				195. Sedikit 
