Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky		Bama	Austronesian	8Lembata	kəlã	nan				133. Langit 
1	sun		Bama	Austronesian	8Lembata	ləra	nan				134. Matahari 
3	star		Bama	Austronesian	8Lembata	pətala	nan				135. Bintang 
4	night		Bama	Austronesian	8Lembata	rəma	nan				171. Malam 
5	day		Bama	Austronesian	8Lembata	lərõ	nan				173. Hari 
6	year		Bama	Austronesian	8Lembata	sũ	nan				172. Tahun 
13	cloud		Bama	Austronesian	8Lembata	kowa	nan				136. Awan 
14	wind		Bama	Austronesian	8Lembata	aŋi	nan				140. Angin 
15	rain		Bama	Austronesian	8Lembata	urã	nan				138. Hujan 
23	ice		Bama	Austronesian	8Lembata	—	nan				124. Es 
24	snow		Bama	Austronesian	8Lembata	—	nan				139. Salju 
25	lake		Bama	Austronesian	8Lembata	liwo	nan				129. Danau 
26	mountain		Bama	Austronesian	8Lembata	ile	nan				131. Gunung 
32	stone		Bama	Austronesian	8Lembata	wato	nan				120. Batu 
39	forest		Bama	Austronesian	8Lembata	woʔonã	nan				132. Hutan
51	rope		Bama	Austronesian	8Lembata	tale	nan				65. Tali
65	clothing		Bama	Austronesian	8Lembata	agopake	nan				68. Pakaian 
67	fire		Bama	Austronesian	8Lembata	ape	nan				148. Api 
68	smoke		Bama	Austronesian	8Lembata	nuhu	nan				150. Asap 
75	sand		Bama	Austronesian	8Lembata	wəra	nan				121. Pasir 
84	tree		Bama	Austronesian	8Lembata	kayo	nan				110. Pohon 
87	leaf		Bama	Austronesian	8Lembata	lolõ	nan				112. Daun 
91	root		Bama	Austronesian	8Lembata	ramut	nan				114. Akar 
92	fruit		Bama	Austronesian	8Lembata	wuã	nan				117. Buah 
93	seed		Bama	Austronesian	8Lembata	kuluʔ	nan				115. Biji 
95	flower		Bama	Austronesian	8Lembata	puhũ	nan				116. Bunga 
129	salt		Bama	Austronesian	8Lembata	siʔa	nan				128. Garam 
130	fat		Bama	Austronesian	8Lembata	wora	nan				104. Lemak 
132	bone		Bama	Austronesian	8Lembata	riʔu	nan				19. Tulang
136	blood		Bama	Austronesian	8Lembata	mei	nan				26. Darah
138	heart		Bama	Austronesian	8Lembata	puhũ	nan				22. Jantung
139	liver		Bama	Austronesian	8Lembata	atẽ	nan				21. Hati
145	head		Bama	Austronesian	8Lembata	kote	nan				27. Kepala
146	hair		Bama	Austronesian	8Lembata	rata	nan				29. Rambut
148	eye		Bama	Austronesian	8Lembata	mata	nan				47. Mata
149	ear		Bama	Austronesian	8Lembata	tilu	nan				45. Telinga
150	nose		Bama	Austronesian	8Lembata	irũ	nan				30. Hidung
151	mouth		Bama	Austronesian	8Lembata	wəwa	nan				33. Mulut
155	tongue		Bama	Austronesian	8Lembata	wewel	nan				35. Lidah
156	neck		Bama	Austronesian	8Lembata	wuli	nan				28. Leher
164	hand		Bama	Austronesian	8Lembata	lima	nan				1. Tangan
175	foot		Bama	Austronesian	8Lembata	lei	nan				4. Kaki
179	back		Bama	Austronesian	8Lembata	uhuk	nan				17. Punggung
182	skin		Bama	Austronesian	8Lembata	kama	nan				16. Kulit
